iter,compute_ns,wake_lag_ns,e2e_ns
0,2185245,21358,2223881
1,1522848,26036,1558939
2,1499885,20732,1529969
3,1469755,20928,1499388
4,1474274,22213,1505062
5,1510589,20483,1539424
6,1493996,20291,1522639
7,1506552,20487,1535557
8,1501737,20961,1531031
9,1547273,22190,1577852
10,1516403,20479,1545141
11,1524867,21564,1554763
12,1522607,20464,1551237
13,1526866,22415,1557467
14,1535699,21630,1565477
15,1539292,20345,1567933
16,1569458,20319,1598073
17,1590495,20422,1619269
18,1582995,22596,1614035
19,1575402,20625,1604417
20,1578773,20655,1607724
21,1574699,20684,1603753
22,1580624,21729,1610816
23,1583366,20591,1612586
24,1590736,20750,1619801
25,1596180,20780,1625275
26,1598809,20495,1627526
27,1596476,21483,1626163
28,1601735,20439,1630470
29,1607421,20524,1636203
30,1605069,20294,1633862
31,1726956,21709,1757701
32,1754067,20868,1785582
33,1657698,20860,1686983
34,1662827,20649,1692291
35,1637921,20641,1667024
36,1622902,22278,1653421
37,1623717,20752,1652672
38,1627180,20652,1656183
39,1625662,20441,1654546
40,1625254,22874,1656294
41,1630494,20422,1659102
42,1630902,20655,1659964
43,1636383,20352,1664994
44,1634457,20640,1663394
45,1632421,22148,1663086
46,1635828,20325,1664449
47,1635161,20503,1663830
48,1640068,20273,1668619
49,1642975,21799,1672682
50,1641124,20514,1669730
51,1643994,20469,1672667
52,1654272,22054,1684585
53,1640957,20343,1669319
54,1658975,21943,1689122
55,1652346,20639,1681411
56,1651180,20576,1680033
57,1696123,20717,1725229
58,1663401,23058,1694644
59,1652939,20495,1681877
60,1663865,20450,1692647
61,1654994,20535,1683973
62,1658327,20528,1687077
63,1657401,22350,1687825
64,1869268,20435,1898203
65,1717956,24242,1751568
66,1680327,20698,1709672
67,1706827,22705,1737994
68,1697900,20623,1727098
69,1696363,20745,1725887
70,1685975,20442,1714842
71,1680587,20267,1709057
72,1685882,23145,1717176
73,1685123,20156,1713372
74,1684475,20538,1712975
75,1683846,20419,1712227
76,1680104,23148,1711568
77,1759289,20493,1789467
78,1709826,20596,1738608
79,1703012,20589,1731878
80,1701011,20415,1729556
81,1695289,24126,1727638
82,1698956,20452,1727204
83,1700067,20537,1728734
84,1700901,20418,1729633
85,1689549,23666,1721382
86,1698345,20492,1727078
87,1699604,20299,1727978
88,1695216,20458,1723970
89,1708771,20470,1737796
90,1700919,23569,1733100
91,1707919,20562,1736703
92,1707382,20443,1735807
93,1707049,20528,1736151
94,1700882,23332,1732381
95,1703511,20528,1732132
96,1705660,20836,1734606
97,1708049,20754,1737284
98,1701567,20691,1730591
99,1705734,23439,1737506
100,1715901,20709,1744832
101,1719030,20628,1747676
102,1754289,20305,1783113
103,1735585,23776,1767935
104,1759937,20750,1789334
105,1727363,20872,1756809
106,1740103,20494,1769060
107,1721456,20320,1750146
108,1727234,23753,1759468
109,1729326,20912,1758405
110,1732529,20479,1761138
111,1723697,20545,1752371
112,1730289,23645,1762267
113,1730289,20545,1758779
114,1733178,20278,1761827
115,1740474,20530,1769319
116,1736178,20800,1765478
117,1730752,22993,1761745
118,1742752,20652,1771645
119,1740307,20570,1769174
120,1738141,20470,1766907
121,1741548,22496,1772248
122,1743845,20581,1772722
123,1746344,20296,1774844
124,1745474,20233,1773596
125,1746567,20762,1775477
126,1769881,23696,1801873
127,1761992,20392,1791180
128,1831435,20273,1860190
129,1784362,20377,1813073
130,1756918,23792,1788932
131,1754548,20432,1783165
132,1757622,20314,1786399
133,1762493,20343,1791280
134,1759048,20743,1788402
135,1759863,24121,1792780
136,1754751,20465,1784032
137,1754270,20476,1783024
138,1763567,20580,1792813
139,1760882,23532,1793042
140,1758103,20746,1787257
141,1763862,20480,1792583
142,1766918,20416,1795835
143,1781344,20557,1810253
144,1781252,22509,1812445
145,1776937,20427,1805808
146,1771122,20494,1800116
147,1779122,20505,1808108
148,1776640,22883,1807930
149,1790918,20412,1819774
150,1794658,20349,1823304
151,1781029,20564,1809982
152,1787232,20353,1816048
153,1790658,23693,1823222
154,1786715,20389,1815492
155,1784899,20567,1813818
156,1789732,20430,1818588
157,1789844,22826,1821059
158,1793677,21133,1823255
159,1793344,20607,1822192
160,1794640,20304,1823110
161,1819881,20611,1849732
162,1801770,23711,1833943
163,1800770,20222,1829288
164,1807806,20418,1836743
165,1801788,20540,1830513
166,1804566,23362,1836391
167,1805214,20744,1834606
168,1798862,20496,1827746
169,1801622,20507,1830146
170,1809232,20499,1837991
171,1808344,23192,1840276
172,1980304,20721,2010210
173,1885102,26639,1922852
174,1841324,24021,1874567
175,1843991,25695,1878723
176,1843788,22002,1874734
177,1831824,21976,1862060
178,1830603,20783,1859590
179,1835084,20572,1864026
180,1829121,24561,1861886
181,1858899,20442,1888304
182,1835714,21435,1865648
183,1833695,20594,1862659
184,1831602,23694,1863482
185,1823862,20353,1852789
186,1818973,20623,1847967
187,1822288,20375,1851570
188,1823177,20331,1851674
189,1820936,23542,1853015
190,1826418,20479,1854933
191,1819899,20564,1848870
192,1824232,20334,1853048
193,1827066,22989,1858184
194,1821936,20501,1850659
195,1822566,20437,1851299
196,1822121,20208,1850940
197,1823399,20422,1851988
198,1821270,23133,1852643
199,1831029,20274,1859839
200,1825880,20581,1854702
201,1821492,20352,1850102
202,1821547,23026,1853054
203,1827658,20370,1856287
204,1829066,20233,1857576
205,1822843,20262,1851161
206,1821325,20570,1849950
207,1827473,23521,1859420
208,1821528,20384,1849950
209,1826417,20247,1854702
210,1835473,20129,1863638
211,1823899,23377,1855164
212,1819084,20517,1847824
213,1825455,20658,1854057
214,1818769,20447,1847216
215,1819121,20495,1847579
216,1821455,23447,1852642
217,1825158,20476,1853930
218,1834750,20487,1862923
219,1830862,20720,1859823
220,1826362,23561,1857904
221,1819362,20350,1847471
222,1822344,20416,1851463
223,1819288,20372,1848048
224,1824250,20475,1852893
225,1822510,22816,1853493
226,1823140,20420,1851893
227,1819695,20320,1848293
228,1818770,20497,1847729
229,1818269,23227,1849978
230,1821825,20608,1850803
231,1820602,20453,1849518
232,1821047,20538,1849825
233,1821566,20401,1850577
234,1821065,23075,1852307
235,1822807,20271,1851558
236,1824065,20152,1852625
237,1817139,20422,1846525
238,1818881,23504,1850773
239,1825195,20367,1853895
240,1817917,20378,1846517
241,1818232,20074,1846528
242,1818584,20196,1846984
243,1820362,23481,1852121
244,1822214,20326,1850854
245,1819936,20337,1849087
246,1815844,20607,1844857
247,1819640,23336,1851420
248,1822491,20514,1851598
249,1813843,20469,1842572
250,1819603,20610,1848361
251,1822640,20473,1851446
252,1823065,23591,1855083
253,1821677,20306,1850316
254,1821565,20262,1850179
255,1824121,20550,1852968
256,1833269,22761,1864549
257,1825973,20624,1854875
258,1816158,20487,1845034
259,1821233,20294,1849860
260,1819491,20398,1848167
261,1821195,23331,1853304
262,1820806,20583,1850334
263,1816547,20316,1845382
264,1836695,20179,1865059
265,1827991,22909,1859585
266,1821214,20327,1849744
267,1822158,20209,1850570
268,1825695,20349,1854248
269,1831084,20194,1860018
270,1820010,23293,1851859
271,1826677,20286,1855444
272,1818806,20204,1847066
273,1823955,20271,1852318
274,1821695,23519,1853621
275,1811603,20252,1839929
276,1816658,20282,1844773
277,1815362,20478,1843951
278,1815991,20341,1844610
279,1817639,22570,1848488
280,1818918,20248,1847036
281,1815862,20315,1844362
282,1816306,20344,1845039
283,1813917,22444,1844213
284,1818491,20363,1846984
285,1818621,20466,1847143
286,1818714,20366,1847191
287,1839028,20266,1867424
288,1832621,23144,1864172
289,1819992,20247,1848220
290,1820973,20592,1849787
291,1821806,20306,1850187
292,1818287,23906,1850472
293,1822287,20121,1850723
294,1829214,20317,1857697
295,1820065,20847,1849227
296,1819381,20506,1848071
297,1822287,22921,1853560
298,1821417,20320,1849738
299,1822899,20350,1851267
300,1825435,20583,1854204
301,1818788,23202,1850526
302,1820547,20361,1849241
303,1817529,20539,1846419
304,1819528,20290,1847763
305,1824454,20135,1852848
306,1818047,23105,1849374
307,1817084,20338,1845311
308,1822084,20164,1850304
309,1814547,20231,1842981
310,1825122,22682,1855951
311,1971378,20860,2002349
312,1894009,23241,1926695
313,1880861,23234,1912669
314,1878972,22930,1910606
315,1880898,23993,1913761
316,1892971,22930,1925587
317,1883194,22922,1915246
318,1885695,24044,1919127
319,1877713,24089,1910579
320,1882546,22600,1914313
321,1875195,22741,1906824
322,1877102,22233,1908205
323,1935601,22874,1968363
324,1874713,24529,1908075
325,1875583,23207,1907494
326,1866695,21977,1897709
327,1830676,19562,1858257
328,1835213,23921,1867413
329,1835029,20395,1863590
330,1836139,20369,1864972
331,1844640,20603,1873982
332,1827325,20428,1855846
333,1831751,23214,1863205
334,1839621,20595,1868530
335,1830547,20217,1858986
336,1854899,20747,1884349
337,1884657,23884,1917615
338,1870527,22820,1902848
339,1870528,22406,1901396
340,1879083,22509,1910074
341,1909490,23668,1941918
342,1892694,25083,1926610
343,1885287,23835,1917788
344,1871695,22624,1902410
345,1872639,20098,1900959
346,1869750,23494,1901244
347,1872268,18560,1898921
348,1868583,16479,1892932
349,1874213,21601,1903851
350,1866417,21908,1896362
351,1867935,23693,1899851
352,1863824,16612,1888732
353,1866880,20438,1895280
354,1864453,22041,1894550
355,1873194,22845,1904187
356,1862879,21245,1891865
357,1868176,21348,1897765
358,1862083,19693,1889887
359,2335428,21426,2365613
360,1878565,413853,2301325
361,1874935,24129,1907231
362,1875712,23752,1907798
363,1872806,23170,1904420
364,1863750,24214,1896075
365,1868787,21299,1898475
366,1872287,22088,1902486
367,1867306,20396,1895775
368,1887231,21629,1917564
369,1876769,24210,1909071
370,1868898,25480,1902823
371,1868065,21658,1897908
372,1871287,25002,1904808
373,1868176,23510,1899908
374,1872342,17058,1897937
375,1870880,16958,1896152
376,1869065,24265,1901626
377,1871528,21906,1901748
378,1867732,23524,1899348
379,1865991,25165,1899248
380,1869361,22528,1900222
381,1869232,17631,1894881
382,1866954,23398,1898481
383,1871121,23724,1902899
384,1861250,21457,1890874
385,1885990,20931,1914995
386,1879694,23275,1911655
387,1873028,23264,1904606
388,1867213,20423,1895877
389,1870676,23045,1901888
390,1869564,21593,1899121
391,1868306,23453,1899777
392,1871954,17575,1897695
393,1869009,24919,1901817
394,1870750,25449,1904235
395,1869694,22552,1900061
396,1871898,23763,1903606
397,1869768,19960,1897673
398,1866787,24934,1899776
399,1867676,22871,1898473
400,1867732,23545,1899387
401,1871102,16093,1895306
402,1863472,21604,1893317
403,1868991,19467,1896365
404,1870510,23274,1902061
405,1870991,24134,1903161
406,1876287,20497,1904969
407,1870750,23156,1902258
408,1863343,20852,1892287
409,1869565,22915,1900684
410,1865695,17741,1891565
411,1862491,21400,1892169
412,1866343,22911,1897235
413,1864028,22126,1894135
414,1869509,23652,1901217
415,1865843,17311,1891191
416,1861565,21026,1890906
417,1864898,21519,1894343
418,1862250,24267,1894684
419,1866121,21519,1895454
420,1864324,20048,1892021
421,1862880,20985,1891921
422,1859417,23570,1890876
423,1866157,24096,1898532
424,1863713,24941,1896691
425,1869713,20082,1897906
426,1896731,16778,1921861
427,1876084,23267,1907683
428,1865065,23148,1896065
429,1869269,22215,1899613
430,1863806,23874,1896087
431,1863584,24089,1895969
432,1868787,23874,1900717
433,1868546,17330,1893987
434,1862899,21693,1892443
435,1866731,25148,1899750
436,1860139,22785,1891054
437,1863102,21111,1892028
438,1868602,22104,1898946
439,1860843,22707,1891457
440,1864176,20904,1892857
441,1866342,23726,1898291
442,1861935,24330,1894598
443,1881750,18526,1908609
444,1868954,22296,1899213
445,1868046,23600,1900091
446,1865546,17074,1890768
447,1870139,21326,1899613
448,1861639,20559,1890198
449,1868583,21348,1897987
450,1872843,22985,1904179
451,1868898,21070,1898061
452,1868472,24674,1901072
453,1865361,24092,1897268
454,1870861,23248,1902794
455,1870713,19389,1898342
456,1865676,16992,1891020
457,1864491,21929,1894531
458,1866102,16774,1891320
459,1863861,23466,1895328
460,1861880,21200,1891061
461,1866454,24340,1898702
462,1864472,22148,1894416
463,1863546,22915,1894535
464,1870528,21148,1899787
465,1863935,22492,1894557
466,1863158,21263,1892402
467,1869343,15922,1893376
468,1862991,23485,1894476
469,1864954,21311,1894098
470,1864602,24803,1897405
471,1874768,22296,1905138
472,1910157,23007,1941923
473,1892490,23833,1924805
474,1878269,23344,1909649
475,1874472,21448,1904253
476,1881176,23755,1913097
477,1868639,24096,1900864
478,1877139,18514,1903764
479,1870213,22322,1900572
480,1871917,18926,1899064
481,1877250,23322,1908923
482,1871306,24851,1904138
483,1866454,21714,1896501
484,1869750,25040,1902790
485,1864473,22107,1894912
486,1865528,23744,1897642
487,1867009,22514,1897709
488,1865102,21840,1894979
489,1864325,22129,1894472
490,1869176,22970,1899979
491,1863509,16944,1888620
