iter,compute_ns,wake_lag_ns,e2e_ns
0,1915845,20511,1957522
1,1485606,26370,1522032
2,1478828,20471,1508799
3,1480068,20923,1510547
4,1492569,25082,1526892
5,1494291,20738,1524492
6,1495791,20820,1525499
7,1501995,20735,1531433
8,1507476,20779,1536959
9,1519309,23624,1551785
10,1521087,20817,1550515
11,1528661,20695,1557949
12,1531939,20554,1561197
13,1531587,23269,1563505
14,1544624,20870,1573901
15,1556106,20525,1585149
16,1565753,20607,1595305
17,1560198,20615,1589628
18,1566865,23108,1598732
19,1568420,20412,1597350
20,1572883,20345,1602006
21,1571995,20445,1600958
22,1575568,22623,1607025
23,1582976,20427,1612144
24,1590957,20861,1620540
25,1596698,20554,1626252
26,1609180,20284,1638130
27,1611513,23202,1643233
28,1613494,20654,1642963
29,1612679,20403,1641489
30,1610827,20633,1639756
31,1612457,22922,1643842
32,1629031,20596,1658275
33,1621717,20567,1650820
34,1626401,20500,1655420
35,1639772,20508,1668798
36,1646957,23926,1679680
37,1630624,21156,1660761
38,1629569,20905,1659102
39,1626790,20357,1655906
40,1633050,22738,1664010
41,1634309,21265,1663944
42,1645290,20550,1674248
43,1646087,20576,1674996
44,1644772,20436,1673689
45,1640291,23577,1672663
46,1641939,20566,1670930
47,1640050,20499,1668938
48,1650642,20526,1679760
49,1644346,23203,1676327
50,1644290,20526,1673483
51,1645568,20719,1674509
52,1648754,20634,1677906
53,1667698,20845,1697080
54,1655086,23338,1687461
55,1657309,20531,1686228
56,1654012,20575,1682829
57,1658179,20490,1686947
58,1659198,23242,1690866
59,1656401,20639,1685614
60,1661753,20665,1690844
61,1661901,20488,1691167
62,1655679,20310,1684174
63,1660309,23247,1691982
64,1870752,20144,1899878
65,1729512,25207,1764423
66,1690457,20418,1719690
67,1727993,23522,1760183
68,1712346,20993,1742505
69,1697753,20389,1726828
70,1753253,20693,1783150
71,1714808,20738,1744806
72,1693864,24046,1726984
73,1693494,20442,1722584
74,1691716,20376,1720573
75,1698086,20495,1727025
76,1687772,23561,1719592
77,1692753,20699,1721655
78,1695494,20391,1724182
79,1694253,20473,1723152
80,1698105,20666,1726901
81,1699420,23455,1731319
82,1698864,20259,1727253
83,1697623,20193,1726390
84,1698457,20460,1727361
85,1695717,23100,1727446
86,1698383,20497,1727194
87,1698994,20282,1727480
88,1702808,20420,1731599
89,1708698,20205,1737829
90,1712216,23346,1744099
91,1714234,20317,1742977
92,1713772,20195,1742448
93,1711012,20591,1740048
94,1711253,23306,1742911
95,1713327,20203,1742215
96,1714939,20136,1743611
97,1713753,20459,1742675
98,1713957,20411,1742923
99,1714864,23996,1747397
100,1717568,20689,1746720
101,1720827,20178,1749339
102,1760067,20667,1789716
103,1727364,22993,1759209
104,1727031,20316,1755791
105,1723753,20509,1752669
106,1730123,20572,1759177
107,1721197,20172,1749814
108,1727383,23128,1758973
109,1735809,20210,1765055
110,1732123,20217,1760822
111,1735216,20317,1763922
112,1732827,24440,1765545
113,1769586,20188,1798348
114,1768493,20437,1797893
115,1756382,20185,1784901
116,1748179,20415,1776649
117,1746660,24111,1779031
118,1748661,20249,1777001
119,1740105,19904,1768028
120,1746179,20208,1774535
121,1745253,24053,1777584
122,1751309,20468,1780017
123,1753623,20494,1782543
124,1748586,20168,1776940
125,1752882,20380,1781614
126,1756567,23632,1788477
127,1769883,20658,1798744
128,1844179,20314,1873177
129,1792993,22618,1824037
130,1765901,23796,1798160
131,1767586,20192,1796112
132,1766716,20200,1795342
133,1763882,20671,1792794
134,1762827,20567,1791987
135,1763568,23430,1795498
136,1769105,20345,1798024
137,1772790,20205,1801272
138,1780105,20249,1809058
139,1771086,22853,1802532
140,1772086,20639,1801299
141,1776975,20332,1805621
142,1774901,20247,1803481
143,1777752,20365,1806322
144,1783882,23580,1815703
145,1783864,20440,1812619
146,1786382,20096,1814571
147,1791124,20326,1819838
148,1781216,23318,1812682
149,1779623,20381,1808116
150,1792771,20111,1821364
151,1791105,20323,1819687
152,1792049,20219,1820602
153,1794550,23397,1826131
154,1793067,20534,1821898
155,1794753,20264,1822906
156,1795271,20365,1823617
157,1800586,23487,1832221
158,1800772,20421,1829303
159,1796697,20576,1825292
160,1798216,20417,1827114
161,1826235,20443,1855066
162,1809938,23603,1841837
163,1810326,20536,1839382
164,1812735,20359,1841278
165,1817531,20367,1846008
166,1820475,22637,1851445
167,1815141,20441,1843638
168,1806753,20597,1835572
169,1819438,20382,1848394
170,1885327,20427,1914142
171,1845937,24198,1879228
172,1906030,22316,1937383
173,1861975,25231,1896299
174,1837346,20776,1866843
175,1838123,24435,1871095
176,1839400,20776,1869159
177,1834215,20784,1863592
178,1830345,20384,1859489
179,1839142,20503,1868756
180,1835105,24348,1868360
181,1837845,20522,1867052
182,1844215,20641,1873930
183,1830789,20574,1860049
184,1834271,23326,1866264
185,1830716,21204,1860198
186,1824789,20564,1853650
187,1828382,20423,1857509
188,1831827,20190,1860943
189,1836863,23516,1869084
190,1836919,20654,1865832
191,1833160,20291,1861840
192,1831771,20484,1861051
193,1831957,23902,1864581
194,1830938,20466,1859774
195,1829715,20547,1858856
196,1836697,20481,1865659
197,1841586,20359,1870334
198,1833438,23111,1864975
199,1832142,20582,1861056
200,1830642,20756,1859786
201,1827920,20319,1856442
202,1826567,22886,1858139
203,1836697,20282,1865350
204,1832623,20494,1861580
205,1833364,20520,1862495
206,1828808,20528,1857614
207,1831290,23150,1862995
208,1831382,20324,1860614
209,1828123,20388,1856548
210,1843345,20340,1871963
211,1834956,22795,1866104
212,1828938,20266,1857407
213,1826401,20274,1854878
214,1827826,20226,1856275
215,1835364,20363,1864208
216,1826549,22689,1857627
217,1844419,20363,1872820
218,1834494,20686,1863383
219,1834623,20379,1863557
220,1826808,23131,1858161
221,1831512,20287,1860113
222,1826197,20220,1854695
223,1826012,20580,1855017
224,1835512,20272,1864192
225,1824864,23376,1856370
226,1829789,20402,1858340
227,1829660,20651,1858570
228,1847771,20529,1876263
229,1841475,24170,1874219
230,1835290,22122,1865578
231,1828512,20685,1857345
232,1825641,20508,1854019
233,1826864,20071,1855138
234,1827438,23119,1858668
235,1830938,20534,1859435
236,1828030,20320,1856276
237,1827697,20235,1855895
238,1833197,22764,1864258
239,1829512,20457,1857988
240,1832494,20187,1860662
241,1837179,20602,1865651
242,1829142,20017,1856881
243,1824011,22825,1854985
244,1828864,20481,1857474
245,1827716,20544,1856130
246,1827567,20514,1856563
247,1827900,22600,1858667
248,1826438,20311,1855119
249,1822956,20226,1851220
250,1826715,20308,1855061
251,1858030,20204,1886753
252,1852012,24197,1884857
253,1834568,22834,1866254
254,1835975,20601,1865021
255,1830235,20276,1858695
256,1839808,22805,1870984
257,1827345,20684,1856214
258,1826772,20173,1855277
259,1829327,20125,1857988
260,1832309,20318,1861089
261,1827808,23255,1859415
262,1833253,20374,1862052
263,1825142,20252,1853819
264,1835604,20518,1864475
265,1825272,22993,1856393
266,1831419,20204,1860142
267,1828808,20286,1857409
268,1828808,20386,1857379
269,1830975,20301,1859702
270,1829901,23053,1861435
271,1831401,20579,1860239
272,1827567,20439,1856191
273,1825586,20317,1853977
274,1828789,22476,1859581
275,1854160,20373,1883607
276,1835753,21417,1865577
277,1830771,20499,1859585
278,1831382,20377,1860093
279,1830456,23148,1861789
280,1837345,20563,1866093
281,1829401,20182,1857860
282,1839345,20485,1868145
283,1826327,22886,1857620
284,1826419,20319,1855146
285,1838215,20290,1866857
286,1832327,20168,1860920
287,1830974,20138,1859447
288,1829419,23057,1861032
289,1831512,20602,1860151
290,1832642,20609,1861677
291,1830253,20358,1859018
292,1827030,22943,1858122
293,1828494,20247,1857129
294,1830679,20255,1859248
295,1830734,20059,1859163
296,1827271,20363,1855930
297,1831549,22818,1862719
298,2003530,21826,2039078
299,1870105,25426,1904827
300,1851660,24286,1884483
301,1846197,24742,1879235
302,1861975,21583,1891946
303,1846012,24887,1879509
304,1837290,22653,1868369
305,1845920,20883,1875136
306,1830993,23672,1863314
307,1837789,20402,1866451
308,1839234,20373,1867977
309,1830846,20140,1859189
310,1826271,22688,1857256
311,1835345,20603,1864615
312,1827290,20518,1856308
313,1831623,20693,1860297
314,1830123,20441,1859231
315,1830438,24286,1862761
316,1839104,20627,1868194
317,1833845,20394,1862406
318,1846716,25846,1881932
319,1833086,24542,1866128
320,1835698,20346,1864117
321,1859271,20632,1888866
322,1835290,21732,1865651
323,1839271,20369,1867974
324,1833234,23769,1865318
325,1837179,20648,1866178
326,1833605,20470,1862519
327,1836493,20533,1865212
328,1836104,23415,1867649
329,1836753,20571,1866101
330,1836734,20356,1865498
331,1832197,20345,1860839
332,1839197,20520,1867865
333,1830475,24068,1862987
334,1831993,20557,1860865
335,1826808,20787,1855614
336,1826475,20239,1855084
337,1835864,23399,1867429
338,1831826,20443,1860289
339,1833660,20451,1862000
340,1833919,20162,1862322
341,1862697,20540,1891589
342,1833494,24404,1866582
343,1840456,20300,1868923
344,1831308,20289,1859838
345,1840049,20445,1868679
346,1834086,23456,1865765
347,1829771,20538,1858828
348,1833178,20379,1862261
349,1836271,20424,1865084
350,1832383,21117,1862147
351,1833605,23424,1865195
352,1828919,20395,1857907
353,1831789,20403,1860711
354,1845956,20281,1874811
355,1845993,23218,1877952
356,1847104,21744,1877237
357,1841327,21085,1871449
358,1831993,21408,1862438
359,2307565,20712,2337833
360,1846457,389129,2244400
361,1840901,24045,1873539
362,1833160,20831,1862213
363,1832234,20394,1860721
364,1825863,22683,1856621
365,1827845,20468,1856647
366,1830605,20680,1859136
367,1880568,20354,1910384
368,1842956,23843,1875633
369,1842957,23984,1875644
370,1835105,22566,1866170
371,1838327,20611,1867419
372,1838919,20230,1867149
373,1832845,23852,1864882
374,1830456,20600,1859334
375,1840105,20478,1868842
376,1832809,20486,1861553
377,1833086,20568,1861894
378,1827382,22949,1858517
379,1830567,20605,1859747
380,1829678,20261,1858310
381,1828567,20472,1857707
382,1833234,23428,1865403
383,1839142,20232,1867855
384,1830123,20147,1858807
385,1835493,20210,1864759
386,1826308,20237,1855008
387,1825549,23285,1857352
388,1825160,20496,1854508
389,1832420,20282,1860960
390,1835900,20512,1864635
391,1827198,23190,1859090
392,1830716,20253,1859228
393,1823641,20390,1852698
394,1829401,20342,1858299
395,1828623,20128,1857380
396,1829067,22658,1860132
397,1831975,20276,1861066
398,1841808,20451,1870703
399,1844030,20366,1872526
400,1829494,23359,1861296
401,1829772,20385,1858137
402,1829771,20078,1857867
403,1832697,20289,1861245
404,1828493,20334,1856883
405,1825031,23160,1856412
406,1830308,20223,1858402
407,1826419,20471,1855224
408,1827531,20331,1856176
409,1829660,22861,1860836
410,1829271,20646,1858454
411,1827919,20654,1857092
412,1829679,20162,1858840
413,1829716,20447,1858885
414,1824660,23255,1856248
415,1827716,20484,1856441
416,1826919,20177,1855467
417,1829104,20463,1858030
418,1822697,22956,1853875
419,1825456,20408,1853957
420,1830327,20564,1858927
421,1830475,20516,1859268
422,1828586,20431,1857257
423,1829846,23238,1861472
424,1833937,20042,1862276
425,1828956,20198,1857469
426,1828530,20391,1857144
427,1832012,23384,1863636
428,1828734,20114,1857274
429,1833141,20325,1861837
430,1825660,20425,1854363
431,1823161,20766,1852019
432,1827919,22796,1858975
433,1829956,20582,1859353
434,1823457,20126,1851934
435,1831419,20245,1860201
436,1847883,23682,1880157
437,1835198,22431,1866294
438,1831975,20716,1861376
439,1831734,20483,1860365
440,1825309,20176,1853743
441,1833252,23798,1865403
442,1829068,20399,1857670
443,1829567,20406,1858492
444,1831568,20303,1860407
445,1834253,22740,1865474
446,1830753,20322,1859500
447,1830549,20441,1859397
448,1828345,20670,1857701
449,1830679,20345,1859912
450,1825512,23356,1857868
451,1829179,20401,1858061
452,1826549,20260,1855087
453,1827197,20379,1856002
454,1824382,23261,1855791
455,1825420,20435,1853928
456,1825272,20350,1853973
457,1824753,20524,1853703
458,1830846,20477,1859433
459,1822141,23469,1853852
460,1822845,20866,1851841
461,1829827,20281,1858423
462,1827252,20455,1855782
463,1824160,22707,1854941
464,1825957,20215,1854320
465,1824938,20315,1852975
466,1823419,20619,1852372
467,1825827,20201,1854120
468,1821568,22712,1852409
469,1827827,20405,1856862
470,1825049,20283,1853425
471,1824975,20476,1853544
472,1824086,22598,1854888
473,1832512,20569,1861525
474,1823012,20392,1851774
475,1823827,20307,1852319
476,1839901,21222,1869974
477,1829734,24677,1862726
478,1831938,20630,1861216
479,1831957,20304,1860297
480,1833863,20515,1862712
481,1828716,23434,1860427
482,1884438,20479,1913361
483,1836771,23875,1869591
484,1836031,20364,1864432
485,1834678,20483,1863458
486,1835400,24161,1867729
487,1843475,20447,1872310
488,1831882,20232,1860392
489,1828253,20647,1857085
490,1833623,23473,1865448
491,1831012,20537,1859734
492,1831271,20266,1859741
493,1832179,20274,1860564
494,1829327,20393,1858164
495,1830641,23275,1862138
496,1832420,20208,1861239
497,1831734,20271,1860450
498,1829937,20057,1858643
499,1831919,22568,1863061
500,1830290,20354,1859236
501,1828623,20213,1856799
502,1828049,20517,1857288
503,1828642,20469,1857518
504,1830716,24258,1863418
505,1830160,20192,1858852
506,1831530,20292,1859971
507,1829271,20003,1857219
508,1827772,23311,1859341
509,1833382,20689,1862405
510,1832512,20530,1861209
511,1830123,20593,1859364
512,1861382,20601,1890798
513,1842457,23594,1874346
514,1841215,20731,1870428
515,1829716,20554,1858751
516,1836068,20580,1864869
517,1832141,23239,1863825
518,1831975,20728,1860814
519,1835086,20680,1863970
520,1837512,20281,1865793
521,1832549,20066,1860671
522,1823623,23781,1855515
523,1836493,20307,1865023
524,1836327,20352,1864771
525,1829289,20397,1857890
526,1827790,22853,1859179
527,1829789,20305,1858187
528,1827531,20238,1856139
529,1829734,20301,1858536
530,1834160,20124,1862636
531,1827697,22969,1858721
532,1828864,20513,1857896
533,1840345,20465,1868996
534,1844956,20418,1873652
535,1835864,23207,1867570
536,1835586,20529,1864300
537,1829253,20407,1857715
538,1831401,20433,1860056
539,1834179,20237,1862879
540,1830363,23878,1862890
541,1827715,20460,1856435
542,1827363,20375,1856165
543,1835789,20475,1864432
544,1832160,23135,1863795
545,1830660,20161,1859099
546,1824957,20409,1853569
547,1826198,20565,1854799
548,1836346,20443,1864844
549,1826864,23417,1858448
550,1832975,20481,1861530
551,1855475,20507,1884352
552,1842678,22144,1873675
553,1835937,24341,1869093
554,1836957,20348,1866194
555,1829716,20430,1858572
556,1832401,20308,1861320
557,1826400,20501,1855309
558,1829327,24309,1862302
559,1828660,20335,1857643
560,1832216,20305,1861039
561,1829235,20258,1857621
562,1828512,23991,1861281
563,1827845,20684,1857270
564,1827234,20210,1856074
565,1828530,20366,1857304
566,1823567,20337,1852293
567,1818030,23218,1849860
568,1822123,20355,1851219
569,1825179,20548,1854301
570,1822604,20630,1851438
571,1823160,22734,1854320
572,1823475,20316,1851976
573,1826142,20546,1855113
574,1827604,20220,1856491
575,1828679,20265,1857240
576,1828512,24165,1860936
577,1830438,20413,1859388
578,1830419,20217,1858970
579,1831790,20151,1860366
580,1847215,23125,1878804
581,1838104,22411,1868978
582,1842882,20974,1872319
583,1835790,20426,1864641
584,1828290,20434,1857242
585,1830346,23389,1862272
586,1830642,20341,1859279
587,1829623,20423,1858379
588,1833160,20301,1861980
589,1825105,22720,1856158
590,1825030,20246,1853554
591,1828178,20513,1857099
592,1828771,20706,1858162
593,1822734,20343,1851466
594,1824475,23299,1856218
595,1826623,20658,1855670
596,1830641,20462,1859345
597,1827475,20489,1855963
598,1834290,22852,1865475
599,1830012,20415,1858612
600,1826456,20163,1854675
601,1829623,20245,1857961
602,1826993,20086,1855339
603,1822234,22671,1853165
604,1828679,20290,1856932
605,1827678,20483,1856143
606,1824235,20269,1852688
607,1825197,23354,1856699
608,1828531,20473,1857003
609,1830679,20406,1859233
610,1824716,20618,1853130
611,1824493,20070,1852637
612,1825289,23118,1856741
613,1822772,20255,1850878
614,1824530,20282,1852812
615,1822864,20215,1851375
616,1825326,23134,1856498
617,1825382,20253,1853728
618,1826327,20297,1855180
619,1819420,20324,1847632
620,1868049,20424,1897176
621,1836252,23472,1868632
622,1837734,20517,1866436
623,1832956,20469,1862018
624,1829197,20180,1857452
625,1831975,23432,1863555
626,1831438,20236,1859878
627,1829271,20337,1857719
628,1821086,20233,1849504
629,1827975,20611,1857419
630,1824049,23326,1855579
631,1834271,20001,1862772
632,1829901,20527,1858631
633,1826975,20294,1855361
634,1845975,24435,1879058
635,1831864,21850,1861954
636,1827345,20469,1856203
637,1830567,20310,1859358
638,1825160,20151,1853551
639,1825012,23088,1856618
640,1898160,20429,1927218
641,1970326,23714,2005874
642,1885382,22740,1917659
643,1871419,23048,1903375
644,1895863,24296,1929419
645,1860346,22249,1891390
646,1855753,23127,1887638
647,1859308,24449,1892313
648,1846642,22164,1877528
649,1863864,20894,1893813
650,1846382,21679,1877210
651,1866605,21224,1896902
652,1849734,21995,1880988
653,1845346,21225,1875403
654,1855567,20399,1884503
655,1842900,21407,1873344
656,1848845,22136,1879852
657,1838641,22870,1870011
658,1846642,20378,1875686
659,1837956,21996,1868490
660,1846123,20949,1875701
661,1838049,22367,1869342
662,1836937,20468,1865868
663,1844289,20327,1873043
664,1840734,20168,1869699
665,1843031,20343,1871984
666,1870420,23187,1902791
667,1861827,25732,1896595
668,1855160,19017,1883122
669,1847975,22507,1879778
670,1844085,23018,1875919
671,1844253,23118,1876315
672,1844716,22718,1876712
673,1838604,22893,1870423
674,1852420,20382,1881653
675,1858734,23541,1891238
676,1847586,21549,1878228
677,1841716,21983,1872550
678,1845493,20546,1875002
679,1839215,22298,1870125
680,1845141,20250,1874077
681,1836252,20739,1865622
682,1873271,20136,1902074
683,1855678,22866,1887489
684,1838678,22303,1869519
685,1843512,20533,1872823
686,1844308,20300,1873090
687,1848771,20271,1877523
688,1836919,22504,1868312
