iter,compute_ns,wake_lag_ns,e2e_ns
0,1917562,19526893,21465455
1,1497368,18533475,20041195
2,1475885,17092085,18577415
3,1467329,15622601,17098912
4,1479404,15141283,16629298
5,1497590,13672985,15179685
6,1498885,12226223,13733720
7,1498441,10778240,12285866
8,1503312,9328293,10840290
9,1509145,8883106,10401066
10,1509423,7444104,8961991
11,1520164,6003103,7531804
12,1523997,4573990,6106395
13,1521701,4148544,5678949
14,1532386,2720635,4261800
15,1533442,1303689,2845650
16,1567850,26210,1602931
17,1600091,20814,1630554
18,1571757,23674,1604747
19,1575128,20687,1604815
20,1578388,20440,1607975
21,1580369,20396,1609543
22,1584129,23108,1615977
23,1589832,20657,1620082
24,1593573,20262,1622224
25,1609500,20422,1639070
26,1607148,20323,1636693
27,1605943,23758,1638831
28,1610444,20640,1639806
29,1608851,20596,1638280
30,1612888,20367,1641847
31,1612203,23393,1644114
32,1625481,20219,1654237
33,1624573,20527,1653730
34,1622518,20390,1651982
35,1620925,20494,1649974
36,1615369,23316,1647686
37,1626147,20587,1655475
38,1625925,20394,1655431
39,1641425,20442,1670924
40,1689519,23357,1722877
41,1643962,20758,1673313
42,1646037,20565,1675213
43,1642166,20410,1671521
44,1637741,20440,1666902
45,1635518,24873,1669317
46,1634407,20236,1663680
47,1634055,20525,1663469
48,1646148,20500,1675666
49,1641592,23544,1674433
50,1647241,20592,1676722
51,1644241,20270,1673381
52,1641093,20300,1670689
53,1644833,20404,1674219
54,1647704,24190,1681264
55,1642500,20756,1672089
56,1644907,20231,1674267
57,1653111,20464,1682797
58,1652389,23249,1684268
59,1648074,20668,1677020
60,1676890,20402,1707124
61,1657056,20635,1686672
62,1664834,20332,1693813
63,1664148,24154,1697469
64,2105176,20202,2134361
65,1713723,25047,1748956
66,1692649,20503,1722022
67,1712853,26547,1748771
68,1704297,20818,1734838
69,1703612,20940,1733812
70,1730020,20748,1760694
71,1704575,20555,1734501
72,1692445,26434,1728101
73,1696889,20297,1725946
74,1694593,20549,1723790
75,1692983,20560,1722042
76,1690463,24697,1723920
77,1686445,20486,1716357
78,1693242,20405,1722480
79,1695704,20342,1724750
80,1702389,20835,1732558
81,1702500,24231,1734973
82,1702797,20446,1731558
83,1733594,20532,1764108
84,1705038,20450,1734581
85,1704112,23976,1737033
86,1756687,20728,1788138
87,1709557,20610,1739611
88,1710057,20492,1739826
89,1710686,20633,1740208
90,1708279,24807,1742067
91,1716297,20355,1746579
92,1716520,20589,1746498
93,1711742,20359,1741212
94,1709612,24404,1742924
95,1709927,20563,1739657
96,1709872,20241,1739224
97,1719613,20401,1748865
98,1711242,20245,1740302
99,1715279,24772,1748828
100,1735539,20431,1765136
101,1732594,20553,1761907
102,1759983,20453,1789826
103,1734075,24943,1767648
104,1780429,20454,1810216
105,1757373,20484,1788560
106,1743724,20643,1773608
107,1731501,20432,1760656
108,1735243,25255,1769071
109,1735854,20173,1765045
110,1734020,20333,1763631
111,1735150,20214,1764512
112,1741447,24666,1775483
113,1740132,20418,1769439
114,1745632,20596,1774765
115,1743965,20274,1773017
116,1736465,20304,1765899
117,1740724,25330,1775240
118,1739390,20323,1768714
119,1736576,20205,1765299
120,1751557,20068,1780848
121,1745076,23946,1778170
122,1750391,20605,1780644
123,1753521,20561,1783156
124,1750743,20313,1779797
125,1756428,20232,1785586
126,1760651,24498,1793927
127,1764595,20584,1794253
128,1772984,20651,1802968
129,1772632,20495,1801979
130,1766335,24021,1799691
131,1768391,20310,1797887
132,1791873,20044,1822028
133,1777336,20555,1807169
134,1775502,20307,1805180
135,1776058,24685,1810281
136,1776725,20363,1806255
137,1783466,20652,1813137
138,1791558,20682,1821537
139,1777947,23449,1810803
140,1776392,20201,1805426
141,1777521,20268,1807530
142,1786411,20946,1816634
143,1786743,20605,1817275
144,1792206,24872,1826338
145,1789706,20735,1819701
146,1797929,20172,1827694
147,1791688,20202,1821094
148,1792596,24284,1825991
149,1793651,20295,1823187
150,1787281,20547,1816976
151,1792836,20595,1822784
152,1801985,20366,1831832
153,1800688,24318,1834118
154,1803818,20533,1833481
155,1803244,20526,1833085
156,1798948,20500,1828948
157,1802763,24174,1836511
158,1805410,20482,1835207
159,1838430,22123,1869868
160,1823374,22208,1854823
161,1817133,20664,1847279
162,1813559,24597,1846953
163,1811355,20516,1840538
164,1809855,20787,1839568
165,1810929,20539,1840320
166,1819818,24157,1853013
167,1821466,20206,1850969
168,1814429,20439,1844443
169,1820429,20302,1850473
170,1817911,20388,1847910
171,1819615,24914,1854140
172,1823799,20203,1853966
173,1828689,20733,1859181
174,1833541,20522,1863340
175,1840838,24714,1875256
176,1837615,23207,1870471
177,1834430,20404,1863871
178,1833911,20415,1863641
179,1834040,20574,1863764
180,1829819,24397,1863253
181,1842800,20167,1872431
182,1838763,20604,1868498
183,1838059,20190,1867268
184,1833467,23660,1866405
185,1834041,20246,1863250
186,1831300,20350,1860854
187,1838911,20620,1869069
188,1834355,20409,1864247
189,1832245,23954,1865088
190,1830985,20095,1860377
191,1833948,20551,1863480
192,1830652,20284,1860195
193,1836300,24495,1869648
194,1825559,20192,1854899
195,1830374,20407,1860077
196,1832115,20362,1861607
197,1834596,20263,1863767
198,1830837,24604,1864626
199,1832634,20189,1862174
200,1832689,20311,1861649
201,1832615,20082,1861678
202,1830060,25071,1863853
203,1835800,20341,1865309
204,1835208,20445,1864320
205,1833985,20234,1862775
206,1831893,20283,1861120
207,1835208,23605,1867887
208,1829967,20542,1859120
209,1833189,20146,1862002
210,1847022,20287,1876754
211,1829856,24369,1863188
212,1835318,20528,1864884
213,1836430,20225,1865766
214,1830986,20162,1860184
215,1832930,20229,1862659
216,1830893,24755,1864796
217,1821948,20525,1851307
218,1834745,20166,1864226
219,1831041,20492,1860515
220,1829578,23815,1862930
221,1835022,20400,1864293
222,1827337,20374,1856360
223,1829523,20367,1858593
224,1874986,20656,1905495
225,1836689,25349,1871020
226,1841726,20490,1871420
227,1833245,20427,1862913
228,1832986,20327,1862313
229,1832134,24168,1865080
230,1831893,20642,1861258
231,1833707,20265,1863065
232,1831300,20628,1860799
233,1833596,20325,1862421
234,1830245,25332,1864206
235,1834430,20195,1863570
236,1834745,20355,1864062
237,1826929,20144,1855870
238,1826448,24744,1859581
239,1825837,20126,1855370
