iter,compute_ns,wake_lag_ns,e2e_ns
0,2019843,21399,2053594
1,1526975,23183,1560065
2,1523679,20818,1553941
3,1479364,20935,1509132
4,1477790,23186,1509550
5,1511623,20858,1540907
6,1494827,20493,1524413
7,1498734,20147,1527548
8,1499549,20708,1529035
9,1555086,22292,1586249
10,1518457,20502,1547569
11,1521419,20100,1550131
12,1525734,20273,1554525
13,1530808,22264,1561869
14,1532105,20122,1560541
15,1542105,20294,1571047
16,1568790,20337,1597126
17,1590531,20324,1619039
18,1583512,22760,1614494
19,1570438,20247,1599203
20,1574364,20345,1603431
21,1577271,20851,1606548
22,1579642,22620,1610928
23,1596234,20033,1624767
24,1594086,20984,1623273
25,1590623,20397,1619279
26,1599271,20421,1627766
27,1599771,22487,1630702
28,1604401,20159,1632801
29,1608253,20184,1636603
30,1607456,20300,1635701
31,1606252,22588,1637118
32,1672900,20316,1701587
33,1622956,20526,1651852
34,1620141,20476,1648802
35,1624437,20463,1653271
36,1621290,22418,1651985
37,1619382,20516,1648250
38,1623493,20207,1652052
39,1624197,20472,1653058
40,1651030,22278,1681846
41,1638234,20284,1667166
42,1637160,20401,1666061
43,1637530,20407,1666770
44,1636049,20283,1664943
45,1634068,22645,1665490
46,1632327,20299,1661199
47,1633438,20638,1662742
48,1641530,20236,1670229
49,1642993,22117,1673999
50,1641678,20363,1670468
51,1644215,20295,1673362
52,1648308,20505,1677405
53,1642326,20270,1671133
54,1644567,22502,1675569
55,1647697,20304,1676538
56,1645456,20236,1674284
57,1647974,20223,1676290
58,1653085,22233,1683615
59,1651733,20591,1680361
60,1667049,20504,1695960
61,1658011,20306,1686632
62,1661438,20478,1690082
63,1672160,23211,1704166
64,1864918,20605,1894412
65,1714623,19833,1743215
66,1680011,20209,1709184
67,1703901,23053,1735583
68,1681492,20244,1710477
69,1681752,20490,1710483
70,1694474,20367,1723341
71,1683178,20224,1711902
72,1680586,23086,1712431
73,1684697,20499,1713585
74,1688826,20264,1717257
75,1683734,20566,1712670
76,1684993,21965,1715328
77,1687234,20138,1715649
78,1688326,20218,1716896
79,1692734,20242,1721105
80,1692493,20322,1721018
81,1693955,21850,1724436
82,1697938,20282,1726497
83,1694771,20492,1723688
84,1700512,20145,1729472
85,1695937,21970,1726333
86,1764141,20458,1793524
87,1715641,20167,1745382
88,1706548,20469,1735795
89,1708456,20568,1737727
90,1705696,23355,1737941
91,1707307,20620,1736446
92,1710881,20385,1739897
93,1713030,20373,1741995
94,1709381,22123,1740283
95,1711659,20592,1740789
96,1716919,20561,1746239
97,1719937,20493,1748874
98,1718955,20350,1748010
99,1718030,22471,1749112
100,1718993,20588,1748451
101,1718159,20613,1747216
102,1760178,20341,1788926
103,1724474,22943,1755880
104,1728511,20245,1757164
105,1722011,20122,1750503
106,1723863,20276,1752564
107,1727993,20318,1757163
108,1726826,22254,1757636
109,1732863,20464,1761808
110,1735012,20284,1763536
111,1732826,20568,1761820
112,1730789,22689,1761663
113,1736048,20528,1764632
114,1735048,20312,1763564
115,1739363,20281,1768051
116,1737900,20305,1766779
117,1733881,22352,1764974
118,1739825,20339,1768721
119,1739214,20271,1768078
120,1741826,20184,1770640
121,1751714,22602,1782761
122,1746493,20218,1775137
123,1747307,20095,1775439
124,1755197,20100,1783593
125,1756418,20310,1784784
126,1755678,22153,1786424
127,1754289,20529,1783003
128,1827807,20424,1856361
129,1784067,20282,1812830
130,1768197,22884,1799303
131,1766345,20223,1794883
132,1796789,19952,1825036
133,1780233,20050,1809246
134,1768362,20593,1797548
135,1777919,22584,1808706
136,1777808,20201,1806657
137,1770382,20318,1798736
138,1783103,20083,1811205
139,1768862,22797,1800160
140,1769252,20321,1797832
141,1781066,20419,1810023
142,1779344,20148,1807918
143,1772845,20413,1801368
144,1786455,22978,1817545
145,1785900,20095,1814310
146,1779770,20305,1808630
147,1792585,20329,1821025
148,1782066,22913,1813202
149,1781177,20234,1809337
150,1787066,20202,1815621
151,1784252,20041,1812663
152,1788844,19992,1816947
153,1794011,22520,1824642
154,1798437,20433,1826963
155,1838344,20347,1867283
156,1820418,20260,1849567
157,1809251,23288,1841132
158,1809511,20313,1838138
159,1808288,20133,1836403
160,1812641,20232,1841187
161,1831437,22923,1863026
162,1821047,23581,1853147
163,1814048,20272,1842986
164,1813141,20259,1842288
165,1812640,20265,1841387
166,1814789,22923,1845897
167,1815955,20262,1844532
168,1816362,20101,1845297
169,1817048,20144,1845673
170,1815993,20242,1844846
171,1821474,22827,1852541
172,1855381,20518,1884380
173,1831177,22171,1861923
174,1832196,21011,1861706
175,1830715,23298,1862439
176,1832233,20712,1861370
177,1830974,20643,1860469
178,1834492,20445,1863364
179,1837918,20340,1866740
180,1832326,22665,1863639
181,1832215,20374,1860904
182,1839622,20251,1868372
183,1834048,20516,1862619
184,1829992,23248,1861388
185,1828270,20365,1856987
186,1824863,20463,1853733
187,1828066,20321,1856776
188,1836048,20586,1865208
189,1830418,22855,1861533
190,1832862,20583,1862186
191,1831900,20070,1860600
192,1834307,20150,1862828
193,1830104,22586,1861097
194,1832603,20092,1861121
195,1825474,20209,1854090
196,1831178,20326,1859911
197,1831437,20443,1860046
