iter,compute_ns,wake_lag_ns,e2e_ns
0,1910654,19444237,21375742
1,1486675,18411390,19907361
2,1479397,16962008,18450331
3,1478675,15498183,16985468
4,1481453,15030968,16520772
5,1484897,13566272,15059650
6,1494656,12104817,13607880
7,1503804,10650565,12162777
8,1502249,9207110,10717821
9,1529470,8761673,10299495
10,1537563,7346273,8892021
11,1530933,5936336,7475880
12,1540508,4519991,6069036
13,1537749,4112887,5658969
14,1541212,2702135,4251884
15,1542785,1295087,2846187
16,1571600,25482,1605767
17,1574785,20757,1604413
18,1571729,23799,1604362
19,1573118,20592,1601989
20,1584303,20516,1613115
21,1581841,20568,1610668
22,1587100,23295,1618524
23,1593877,20626,1622837
24,1608488,20549,1637463
25,1605396,20509,1634294
26,1611488,20414,1640180
27,1613766,23789,1645962
28,1616470,20379,1645182
29,1615859,20469,1645068
30,1618433,20762,1647269
31,1614618,23600,1646237
32,1627748,20542,1656382
33,1621415,20483,1650065
34,1631803,20351,1660136
35,1632414,20552,1660948
36,1636210,23483,1667638
37,1632155,20276,1660728
38,1633099,20699,1661614
39,1639007,20641,1667907
40,1636914,23109,1668023
41,1639007,20402,1667576
42,1635785,20122,1664092
43,1644062,20026,1672830
44,1644173,20357,1672957
45,1642896,24065,1675091
46,1641414,20377,1669977
47,1642767,20597,1671770
48,1651063,20539,1679786
49,1649359,23802,1681439
50,1649488,20337,1677973
51,1656025,20353,1684526
52,1654359,20331,1682875
53,1661155,20292,1690298
54,1661025,23796,1693469
55,1665433,20479,1694263
56,1673284,20494,1702501
57,1665840,19973,1694165
58,1672914,24329,1705558
59,1668673,20364,1697722
60,1671117,20269,1699979
61,1680377,19895,1708717
62,1677470,20300,1706159
63,1669674,22879,1700978
64,2095781,20487,2124972
65,1712432,23559,1744880
66,1701062,20408,1730192
67,1710617,24431,1743104
68,1695914,20243,1724249
69,1698228,20296,1726895
70,1715507,20293,1744781
71,1701339,20401,1729797
72,1694414,23480,1726023
73,1688284,20329,1717021
74,1691747,20234,1720111
75,1688525,20157,1716904
76,1688637,23773,1720557
77,1692174,19955,1720480
78,1697858,20286,1726588
79,1698377,20265,1726864
80,1706155,20595,1734879
81,1723692,24266,1755754
82,1737469,20338,1766770
83,1720321,20168,1748712
84,1713359,20888,1742561
85,1705173,24670,1738528
86,1705618,19982,1733711
87,1709321,20054,1737616
88,1706062,20236,1734317
89,1715154,20270,1743795
90,1705247,24034,1737578
91,1710080,20254,1738890
92,1717507,20177,1746128
93,1714933,20693,1744069
94,1716543,23475,1748166
95,1716766,20380,1745608
96,1716784,20247,1745272
97,1719858,20022,1748029
98,1723691,19983,1752137
99,1730507,23709,1762512
100,1722876,20151,1751324
101,1732543,20074,1761044
102,1765951,20312,1794374
103,1731729,24335,1764508
104,1740358,20240,1768580
105,1741728,20552,1770355
106,1739117,20401,1767574
107,1731210,20288,1759683
108,1733654,23496,1765280
109,1739376,20289,1767721
110,1736988,20361,1765478
111,1738377,20580,1767086
112,1743729,24214,1776054
113,1742821,20323,1771292
114,1740599,20320,1769030
115,1751691,20503,1780435
116,1750358,20796,1779469
117,1744858,24078,1777381
118,1752098,20205,1780341
119,1747395,20184,1775764
120,1747802,20459,1776428
121,1755173,23908,1787488
122,1757654,20146,1786060
123,1760561,20236,1788705
124,1758525,20456,1786888
125,1765340,20416,1793885
126,1761173,24124,1793260
