iter,compute_ns,wake_lag_ns,e2e_ns
0,1923253,21013,1965637
1,1502473,25626,1538395
2,1470084,20960,1500377
3,1476491,20831,1506508
4,1493584,25067,1527428
5,1506195,20920,1536189
6,1495991,21087,1525578
7,1502325,20940,1531598
8,1506029,21126,1535525
9,1515195,23454,1547038
10,1521121,20844,1550298
11,1522991,20975,1552059
12,1525269,20772,1554504
13,1534676,23470,1566314
14,1535213,21082,1564796
15,1544807,21158,1574538
16,1557510,20825,1586539
17,1562047,20956,1591133
18,1555714,23117,1587164
19,1610640,20766,1640221
20,1584752,20786,1614130
21,1583047,20861,1612353
22,1584751,23800,1616829
23,1585084,21208,1614441
24,1597548,20876,1626646
25,1595881,20747,1624887
26,1602511,20934,1631666
27,1610270,23261,1641550
28,1608325,20559,1636921
29,1610159,20634,1638904
30,1621455,20728,1650257
31,1620233,24185,1652714
32,1628622,20705,1657549
33,1629567,20835,1658846
34,1624936,20966,1654328
35,1626011,20967,1655237
36,1626381,23536,1658491
37,1625807,20870,1654955
38,1626992,20964,1656474
39,1629418,20613,1658753
40,1625566,23015,1657081
41,1630826,20682,1659989
42,1657918,20628,1687139
43,1636678,20721,1665658
44,1637733,20685,1667178
45,1640437,23643,1672580
46,1641418,20866,1670655
47,1640733,20589,1669674
48,1644029,20646,1673435
49,1647992,23141,1679855
50,1647696,20660,1676541
51,1653307,20809,1682468
52,1653937,20736,1683080
53,1651826,20645,1680841
54,1655548,23787,1687743
55,1653659,20714,1682873
56,1659567,20697,1688745
57,1651122,20587,1680005
58,1659307,23248,1690796
59,1660399,20730,1689538
60,1653437,20750,1682557
61,1657696,20732,1686651
62,1658826,20641,1687837
63,1664696,23691,1696665
64,1859734,20692,1889260
65,1758178,23304,1791019
66,1693622,20879,1723909
67,1712826,23115,1744459
68,1721919,21134,1752090
69,1687511,20783,1717516
70,1717252,20914,1747481
71,1688493,20730,1718259
72,1685437,23965,1718254
73,1688918,20818,1717959
74,1686992,20782,1715886
75,1684677,20635,1713516
76,1690752,24037,1722974
77,1688993,20686,1717734
78,1690937,20891,1720068
79,1694529,20632,1723569
80,1700808,20948,1730163
81,1693863,23313,1725454
82,1688308,20814,1717455
83,1696196,21093,1725474
84,1692363,20742,1721049
85,1695640,24033,1727637
86,1697548,20812,1726452
87,1701289,20609,1730009
88,1729882,20888,1758807
89,1711715,20741,1741085
90,1701178,23180,1733061
91,1705141,20681,1734247
92,1710585,20626,1739415
93,1714178,20609,1743527
94,1710270,22733,1741503
95,1711733,20549,1740412
96,1710085,20679,1739024
97,1720955,20810,1750044
98,1712178,20811,1741415
99,1714974,23139,1746539
100,1714844,20677,1743799
101,1710807,20641,1739523
102,1757289,20475,1785783
103,1724529,23600,1756426
104,1716733,20804,1745649
