iter,compute_ns,wake_lag_ns,e2e_ns
0,1919294,22890,1964312
1,1481767,1027768,2520219
2,1452326,569398,2030964
3,1457658,1075218,2541876
4,1474342,1582927,3066231
5,1476064,1107948,2593085
6,1484785,1634859,3128476
7,1487303,1169916,2665644
8,1491303,1705140,3204627
9,1498821,2244123,3751535
10,1501858,1790476,3301054
11,1510449,2341217,3859924
12,1511042,1901290,3420960
13,1519614,2460993,3988848
14,1522596,3028473,4559142
15,1532298,2598767,4139176
16,1553722,3179598,4741745
17,1546704,2782722,4337703
18,1544594,3378365,4931402
19,1547779,3971713,5527953
20,1553500,3568042,5130115
21,1563055,4171425,5742553
22,1559388,4782771,6350528
23,1565925,4391431,5965651
24,1572905,5006443,6587570
25,1577071,4627843,6213192
26,1588663,5253947,6850553
27,1590051,5891604,7489970
28,1590496,5530502,7129460
29,1596144,6169215,7773673
30,1592107,5814298,7414608
31,1596254,6455066,8059968
32,1604995,7100205,8713346
33,1626344,6753564,8387889
34,1619326,7433199,9060913
35,1621455,7103760,8733696
36,1618290,7775692,9402480
37,1611975,8444420,10064857
38,1609290,8105871,9723531
39,1613086,8764749,10386371
40,1618068,9426700,11053137
41,1620271,9094373,10723069
42,1620085,9764953,11393408
43,1621734,9435755,11065432
44,1619197,10107520,11735234
45,1627306,10777063,12412758
46,1626881,10454661,12089893
47,1625048,11132129,12765380
48,1626289,10806357,12440681
49,1632695,11481455,13121834
50,1637565,12163885,13809912
51,1635195,11852204,13496083
52,1632399,12537986,14178477
53,1634566,12218898,13861611
54,1637991,12902218,14548245
55,1640972,13589222,15238471
56,1638732,13280577,14928086
57,1647898,13970063,15626311
58,1642546,14669454,16320666
59,1643824,14362476,16014595
60,1644694,15056221,16709913
61,1641380,14750983,16400880
62,1643509,15441265,17093310
63,1649527,16134305,17792146
64,1842599,15832678,17684091
65,1704021,16736122,18449994
66,1685690,16496952,18191770
67,1665285,17236654,18910585
68,1688726,17952414,19649769
69,1676486,17697283,19383065
70,1677968,18425764,20112416
71,1679172,18157485,19845452
72,1681523,18890299,20580544
73,1690374,19625928,21325023
74,1675190,19369500,21053153
75,1673246,20095222,21776968
76,1672061,20818037,22498616
77,1667950,20540223,22216580
78,1670969,21256983,22936173
79,1672209,20975650,22656081
80,1685393,21697317,23391506
81,1678820,22435075,24122616
82,1671284,22165630,23845469
83,1679560,22885705,24573450
84,1680745,22614556,24303542
85,1683078,23344908,25036319
86,1680394,24077314,25766115
87,1685541,23807258,25501058
88,1690281,24542350,26241020
89,1684319,24281552,25974500
90,1683542,25015051,26706999
91,1685226,25747680,27441036
92,1684319,25481253,27174016
93,1692004,26214938,27915237
94,1693485,26956769,28658809
95,1690004,26699656,28398400
96,1686930,27438322,29133769
97,1697133,27174154,28879786
98,1697503,27920596,29626468
99,1695262,28667260,30370707
100,1692115,28412332,30112650
101,1696689,29153423,30858351
102,1746294,28898551,30653511
103,1709520,29696617,31414914
104,1703892,30457039,32169244
105,1704540,30210407,31923204
106,1710206,30964441,32683071
107,1711502,30724307,32444271
108,1712038,31485914,33206952
109,1709909,32247040,33965300
110,1707891,32005352,33721686
111,1708280,32762163,34478608
112,1710761,33520067,35239290
113,1719001,33278749,35005878
114,1710001,34046300,35764948
115,1715056,33804518,35527944
116,1720185,34567773,36296181
117,1779754,35336806,37125058
118,1737425,35174905,36921217
119,1726241,35965324,37700156
120,1735999,35742244,37486853
121,1738239,36531182,38277568
122,1735535,37320434,39064451
123,1732018,37106502,38846871
124,1732980,37888607,39630012
125,1739072,37671693,39419006
126,1739740,38459890,40207925
127,1744053,39248698,41001417
128,1827952,39042580,40878660
129,1758922,39925174,41692725
130,1761181,40736480,42506364
131,1753497,40549878,42311837
132,1753534,41354054,43115791
133,1755256,41158953,42922412
134,1760126,41965241,43733847
135,1761107,42777046,44546819
136,1758182,42589056,44355514
137,1759571,43396917,45164950
138,1766792,43207056,44982292
139,1771643,44025268,45805318
140,1769995,44848721,46627215
141,1769236,44668933,46446687
142,1779346,45531455,47320189
143,1777031,45365166,47151326
144,1777309,46194266,47980204
145,1773161,47022644,48804304
146,1779754,46846633,48635034
147,1776939,47677474,49463226
148,1772736,48506333,50287623
149,1777439,48329970,50116038
150,1783067,49157478,50949193
151,1787179,48991170,50786866
152,1802917,49830399,51641982
153,1797752,50689681,52496339
154,1787475,50539926,52335974
155,1794697,51378266,53181702
156,1791160,51224253,53024227
157,1786234,52066685,53861455
158,1788141,52905803,54702128
159,1785623,52745161,54539357
160,1793826,53581297,55383678
161,1795751,53427654,55231683
162,1798029,54273697,56079873
163,1796418,55122258,56927157
164,1799807,54969967,56778514
165,1803881,55820120,57632555
166,1828045,56674903,58511372
167,1806380,56556441,58371617
168,1804066,57416205,59228640
169,1810213,57272635,59091329
170,1809583,58135269,59953703
171,1805251,58995587,60809263
172,1807677,58851370,60667527
173,1816713,59710892,61536771
174,1828322,59578914,61415773
175,1812898,60459527,62281183
176,1815139,61324827,63148316
177,1820175,61191071,63020134
178,1817101,62063777,63889878
179,1822046,61931670,63762510
180,1817397,62805802,64631606
181,1823397,63674435,65506497
182,1823138,63550511,65382518
183,1820490,64425736,66254632
184,1816194,65297794,67122320
185,1823471,65165057,66997027
186,1835748,66039466,67883750
187,1848764,65929023,67786638
188,1829489,66832522,68670455
189,1822212,67713561,69544568
190,1834248,67586990,69429866
191,1820768,68472676,70302073
192,1813398,68344679,70166465
193,1818842,69208461,71035542
194,1816601,70077871,71902805
195,1814453,69945671,71768660
196,1814360,70810822,72633571
197,1815361,70676566,72500426
198,1819583,71542218,73370226
199,1825138,72413517,74246765
200,1815879,72289908,74113824
201,1812121,73155930,74976679
202,1809991,74018675,75836813
203,1807269,73879938,75695910
204,1808417,74739053,76555599
205,1805047,74598132,76411493
206,1809269,75453581,77271311
207,1820712,76313807,78143111
208,1819009,76186550,78014225
209,1812028,77056572,78876691
210,1815620,76918279,78742213
211,1811769,77783098,79603384
212,1812398,78646842,80467628
213,1807732,78510587,80326966
214,1807566,79369794,81185785
215,1810269,79228280,81047196
216,1812602,80089858,81910941
217,1808324,80954010,82770778
218,1811065,80812699,82632078
219,1806121,81674833,83489490
220,1811990,82531689,84352420
221,1838136,82395452,84242198
222,1815139,83290156,85114257
223,1817787,83158419,84984963
224,1818304,84028181,85855300
225,1816824,84899017,86724617
226,1810398,84768909,86588029
227,1813324,85632172,87454347
228,1816657,85496787,87321795
229,1820564,86365919,88194982
230,1828137,87238700,89075910
231,1819545,87119461,88947691
232,1820323,87990149,89819305
233,1821397,87862393,89692104
234,1818971,88735229,90562588
235,1813232,89605009,91426425
236,1812973,89467976,91289318
237,1818990,90330813,92158099
238,1819638,91201853,93030046
239,1812843,91072393,92893457
240,1807213,91935175,93750387
241,1810658,91792549,93611465
242,1809472,92654053,94472099
243,1809694,93514150,95332418
244,1811139,93374210,95193977
245,1810658,94236176,96055259
246,1811398,94096458,95916189
247,1811176,94958184,96778082
248,1812861,95820059,97641363
249,1813749,95684692,97506719
250,1814398,96548714,98371407
251,1814620,96414236,98237244
252,1809731,97279166,99097285
253,1808510,98139003,99955975
254,1812676,97998414,99819608
255,1842265,98864029,100715182
256,1833785,99762103,101605035
257,1819841,99649697,101477890
258,1815342,100522459,102346541
259,1819082,100389684,102217025
260,1808750,101259595,103076381
261,1814157,102118766,103941070
262,1809880,101982788,103801130
263,1818767,102842607,104669929
264,1821360,102712406,104542395
265,1813621,103585760,105408120
266,1812472,104452153,106272994
267,1806398,104315842,106130813
268,1809898,105174309,106992521
269,1809083,105035017,106852488
270,1810565,105895150,107714011
271,1807214,106757191,108572978
272,1808861,106616584,108434241
273,1805695,107476273,109290394
274,1808269,108333037,110149750
275,1813583,108191652,110013698
276,1808787,109056712,110874424
277,1808010,108917049,110733743
278,1819879,109819660,111648982
279,1808288,110694051,112510782
280,1814379,110553592,112376822
281,1811269,111421706,113241696
282,1805954,111284229,113098386
283,1805696,112140567,113954798
284,1805602,112997682,114812080
285,1823322,112855760,114687842
286,1816212,113731615,115556715
287,1812657,113600247,115420959
288,1805029,114464492,116277871
289,1831470,115320848,117161391
290,1833877,115210349,117053559
291,1816268,116099017,117924191
292,1811213,116968372,118788084
293,1812287,116831653,118652809
294,1812602,117695472,119516406
295,1801214,117558253,119368392
296,1801640,118411036,120221156
297,1806269,119263300,121078513
298,1807510,119119249,120935387
299,1805695,119976550,121791281
300,1805047,119833424,121647026
301,1810324,120688947,122507567
302,1805232,121549729,123363775
303,1806843,121405882,123221224
304,1805732,122263756,124078451
305,1807972,122120890,123937733
306,1811676,122979339,124799292
307,1812305,123842065,125663036
308,1806584,123704513,125519411
309,1804843,124561962,126374916
310,1810972,125417319,127236883
311,1832303,125279434,127120273
312,1820564,126165768,127994776
313,1818879,126038530,127866001
314,1815380,126909681,128733967
315,1819434,127778425,129606359
316,1810639,127648410,129467751
317,1810639,128510580,130329644
318,1811473,128371732,130191741
319,1812879,129234032,131055689
320,1811676,130097721,131918100
321,1807658,129960910,131776789
322,1811194,130819285,132639163
323,1810991,130682344,132501797
324,1828248,131543922,133380688
325,1817897,132426442,134252931
326,1808935,132295093,134112361
327,1811861,133155061,134975810
328,1814305,134018805,135841461
329,1809250,133883975,135701724
330,1816768,134743627,136568802
331,1807750,134612519,136429102
332,1811417,135471968,137291939
333,1813009,136335657,138157128
334,1808325,136199512,138016651
335,1809750,137058498,138877525
336,1810676,136919558,138738973
337,1809972,137781635,139600440
338,1808417,138642306,140459481
339,1809306,138501403,140319486
340,1812713,139361055,141182360
341,1868022,139225040,141102080
342,1816194,140149926,141974656
343,1812250,141018300,142838827
344,1812343,140882544,142703423
345,1809973,141746770,143565093
346,1809083,142607348,144424894
347,1807862,142468130,144284435
348,1812898,143327486,145148679
349,1808806,143190342,145007813
350,1808047,144050327,145866725
351,1807787,144908887,146724914
352,1809565,144766502,146584585
353,1804640,145626432,147439312
354,1803251,145482363,147293983
355,1803658,146336201,148148266
356,1805288,147191446,149004900
357,1811065,147047691,148867311
358,1806750,147909621,149724741
359,1813139,147767144,149588671
360,1807658,148630981,150446934
361,1814528,149490374,151313104
362,1810398,149355063,151173868
363,1806824,150216585,152031557
364,1810565,151074478,152893542
365,1808139,150935853,152752843
366,1810417,151794838,153613921
367,1807177,151655861,153471685
368,1808640,152515754,154332911
369,1810287,153375036,155194211
370,1809621,153236466,155054289
371,1809973,154096747,155915349
372,1813176,153956992,155778889
373,1806491,154820940,156635912
374,1807769,155678037,157494324
375,1812601,155536079,157357439
376,1810565,156399971,158219202
377,1808065,156261586,158078447
378,1804750,157121257,158934192
379,1806880,157976799,159792307
380,1809565,157834803,159652923
381,1810102,158696159,160514445
382,1805825,159557644,161372023
383,1815583,159414704,161238638
384,1806899,160281133,162096513
385,1811843,160138878,161958813
386,1808584,161000549,162817854
387,1814602,161859405,163682728
388,1807955,161724427,163540991
389,1810843,162582709,164402032
390,1809621,162444343,164262814
391,1802825,163303884,165115338
392,1903610,164156870,166069887
393,1864708,164127251,166001846
394,1835581,165048526,166893477
395,1835284,164938064,166782663
396,1823137,165827417,167659684
397,1841024,166703568,168553314
398,1838988,166600623,168448703
399,1819657,167494550,169322761
400,1821953,168366386,170196449
401,1811824,168240666,170060582
402,1815231,169103226,170926808
403,1826378,168969229,170804310
404,1843969,169851527,171704828
405,1822934,170749971,172581830
406,1829193,170663470,172501717
407,1820342,171545342,173374183
408,1820212,171416141,173245000
409,1821082,172288144,174118096
410,1815490,173159573,174983636
411,1808324,173024335,174841400
412,1815898,173883080,175707607
413,1815990,173750917,175575295
414,1815639,174617846,176442243
415,1812269,175483664,177304210
416,1812231,175345798,177166843
417,1811176,176208431,178028069
418,1812138,177071139,178891536
419,1808972,176934791,178752299
420,1818268,177794850,179621673
421,1815323,177664076,179487602
422,1809787,178530357,180348606
423,1813768,179390583,181213165
424,1810916,179255809,181075558
425,1806732,180117183,181932933
426,1821212,179974021,181804010
427,1824711,180848023,182681956
428,1815453,181724952,183548941
429,1810584,181590492,183409871
430,1813991,182450829,184273467
431,1811435,182316481,184136675
432,1811176,183178578,184998197
433,1804751,184039211,185852646
434,1813101,183894456,185716483
435,1809806,184758127,186576487
436,1806583,185617835,187432899
437,1812676,185475395,187296421
438,1811657,186338991,188159203
439,1815009,186201698,188025336
440,1808991,187068165,188885433
441,1811343,187927595,189747066
442,1814916,187789802,189613162
443,1810584,188655250,190474055
444,1807399,188517199,190332781
445,1807269,189374962,191190878
446,1813676,190232503,192054919
447,2096164,190096822,192202355
448,2136180,191281995,193430618
449,2138033,191514849,193664992
450,2086724,192734429,194833837
451,2171418,193915273,196099060
452,2124368,194146333,196282404
453,2058208,195336676,197407383
454,2185714,196486059,198684271
455,2109425,196762819,198884057
456,2108332,197974603,200095157
457,2151532,198164871,200328069
458,2126330,199380193,201518244
459,2182954,200584608,202780246
460,2152532,200854164,203019065
461,2095816,202068652,204176392
462,2165789,202226294,204404027
463,2067615,203452410,205532598
464,2158661,204600998,206771972
465,2194971,204851482,207058267
466,2158698,206106855,208277736
467,2078854,206331286,208421898
468,2201063,207489428,209704175
469,2138996,208781797,210932847
470,2045765,209018449,211076509
471,1903484,210141058,212055615
472,1861729,211107517,212978393
473,1832362,211028388,212869822
474,1868951,211916799,213795322
475,1869024,211850169,213729118
476,1844768,212778835,214632676
477,1831455,213679930,215520365
478,1841953,213564046,215414498
479,1871061,214460752,216341387
480,1837010,214391882,216237686
481,1858470,215283052,217150058
482,1826825,216200331,218035748
483,1820345,216080928,217909494
484,1817696,216953452,218779703
485,1820455,216822865,218651487
486,1818641,217696315,219523326
487,1811512,218567358,220387332
