ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784385984,0.46,259724,3616016,37972
1784385986,0.46,279604,3595988,38459
1784385987,0.82,278364,3597228,37972
1784385988,0.82,278320,3597272,39433
1784385989,0.82,278320,3597272,38946
1784385990,0.82,278320,3597272,39433
1784385991,0.82,278320,3597272,38946
1784385992,1.08,278320,3597272,40407
1784385993,1.08,278572,3597020,38946
1784385994,1.08,278668,3596924,39920
1784385995,1.08,278008,3597584,39433
1784385996,1.08,280336,3595360,39920
1784385997,1.31,279744,3595848,39920
1784385998,1.31,278200,3597392,38946
1784385999,1.31,277892,3597700,40407
1784386000,1.31,276900,3598692,38946
1784386001,1.53,277108,3598484,38946
1784386002,1.53,276568,3599172,38946
1784386003,1.53,275872,3599720,39433
1784386004,1.53,276016,3599576,39920
1784386006,1.53,275180,3600160,40407
1784386007,1.73,275656,3599988,40407
1784386008,1.73,275988,3599604,39920
1784386009,1.73,275844,3599896,40407
1784386010,1.73,275392,3599948,39920
1784386011,1.73,275092,3600500,40407
1784386012,1.91,283276,3592444,40407
1784386013,1.91,282948,3592392,39433
1784386014,1.91,283148,3592444,38946
1784386015,1.91,282956,3592460,40894
1784386016,1.91,283224,3592368,39920
1784386017,2.08,283040,3592300,40894
1784386018,2.08,283252,3592340,40894
1784386019,2.08,283104,3592488,40407
1784386020,2.08,283464,3592172,40407
1784386021,2.23,283604,3592180,40894
1784386022,2.23,283324,3592016,40894
1784386023,2.23,283160,3592432,40407
