iter,compute_ns,wake_lag_ns,e2e_ns
0,1919551,47360728,49300872
1,1485830,46366076,47862332
2,1471460,44910183,46391791
3,1470960,43436625,44917269
4,1476830,42960362,44446377
5,1485145,41487507,42981763
6,1487497,40021541,41518167
7,1493904,38557556,40060127
8,1502831,37100849,38612420
9,1511700,36652864,38173139
10,1514812,35213453,36736654
11,1519534,33777524,35305595
12,1522108,32344687,33875091
13,1533182,31915554,33457477
14,1533015,30498588,32040307
15,1540571,29080881,30629896
16,1554960,27669618,29233207
17,1552626,26273670,27834667
18,1573774,25874926,27457386
19,1571552,24500497,26080845
20,1566700,23121604,24696971
21,1570830,21737379,23316542
22,1577682,21355746,22941742
23,1585589,19981927,21575924
24,1587145,18616479,20211957
25,1591292,17251180,18850510
26,1597293,15890028,17495987
27,1599386,15534950,17142873
28,1601867,14182280,15792832
29,1605312,12832703,14446884
30,1613608,11486495,13108807
31,1606478,11148992,12763896
32,1622052,9803192,11433874
33,1624219,8474688,10107555
34,1624700,7149351,8782737
35,1622015,5822718,7453548
36,1618515,5493585,7121063
37,1619701,4161211,5789652
38,1624645,2829967,4463352
39,1627793,1502482,3138941
40,1630052,1178645,2817697
41,1643200,25215,1677656
42,1667367,20783,1697760
43,1651071,20369,1680328
44,1643145,20270,1672229
45,1642422,22525,1673651
46,1648181,20537,1677552
47,1657774,20419,1687082
48,1654626,20265,1683798
49,1651274,22983,1682979
50,1661182,20272,1690324
51,1672608,20470,1702392
52,1665256,20426,1694515
53,1659441,20068,1688472
54,1653626,22656,1684949
55,1657737,20205,1686850
56,1660626,20347,1689677
57,1662774,20378,1691726
58,1662645,22966,1693981
59,1678330,20126,1707752
60,1669811,20157,1699209
61,1669015,20114,1698128
62,1667867,20126,1697381
63,1667885,22807,1699562
64,2103940,19911,2133073
65,1717682,23701,1751975
66,1695015,20324,1724580
67,1720312,24042,1753446
68,1699163,20351,1728643
69,1688959,20159,1718007
70,1717478,20171,1746945
71,1693681,20350,1723031
72,1693237,23049,1725157
73,1693514,20061,1722410
74,1702108,20111,1730996
75,1698015,20493,1727193
76,1696681,22841,1728133
77,1698403,20371,1727275
78,1692626,20050,1721380
79,1705126,20506,1734392
80,1709441,20537,1738959
81,1697311,22662,1728862
82,1699571,20212,1728578
83,1704237,20224,1733479
84,1704329,20051,1733121
85,1706608,23287,1738783
86,1702829,20095,1731740
87,1704793,20108,1733474
88,1711811,20083,1740320
89,1711422,20169,1740295
90,1709571,22739,1741087
91,1711386,20454,1740599
92,1709182,20207,1737870
93,1712348,19997,1740790
94,1712923,22493,1743804
95,1716626,20190,1745872
96,1726478,20165,1755217
97,1734274,20233,1763488
98,1719441,20152,1748537
99,1714533,23055,1746552
100,1719144,20160,1748230
101,1723163,20061,1752002
102,1760644,19981,1789458
103,1726126,23106,1758102
104,1724145,20285,1753429
105,1731071,20223,1760052
106,1732144,20105,1760898
107,1729848,20099,1759188
108,1733663,23206,1765350
109,1737959,19977,1766640
110,1732182,20211,1760893
111,1733052,20186,1761775
112,1727941,22793,1759604
113,1740182,20231,1769190
114,1731867,20002,1760295
115,1730330,20070,1758696
116,1749866,20230,1778467
117,1752385,22522,1783982
118,1748348,19923,1777123
119,1744885,20232,1773913
120,1754922,19985,1783888
121,1749589,22795,1780958
122,1753848,20048,1782137
123,1760015,20005,1788797
124,1755015,20035,1783568
125,1756607,19862,1784858
126,1757996,22728,1789169
127,1761145,20055,1789996
128,1777625,20160,1806823
129,1765885,20042,1794983
130,1771478,23168,1803238
131,1770978,20106,1799768
132,1769737,20025,1798243
133,1767459,20037,1796811
134,1777811,20105,1806990
135,1774181,23063,1805912
136,1779459,20094,1808257
137,1780496,19847,1809325
138,1770626,19989,1799300
139,1780811,22429,1812203
140,1788033,19978,1816844
141,1785107,20046,1814486
142,1780978,20298,1810572
143,1786719,19848,1815603
144,1782755,21843,1813599
145,1791608,20022,1820555
146,1790033,20034,1818771
147,1784811,19954,1813339
148,1781719,22857,1813631
149,1787366,20073,1816180
150,1789737,20140,1818859
151,1796811,19875,1825482
152,1795126,19979,1824142
153,1795589,22549,1827082
154,1808218,20043,1836816
155,1817199,22666,1849958
156,1804996,20270,1834118
157,1801367,23081,1833318
158,1807589,20186,1836756
159,1802885,20050,1832064
160,1806422,20173,1835299
161,1809663,20092,1838477
162,1807089,22033,1838140
163,1818978,20174,1847967
164,1813663,20149,1842942
165,1817422,20235,1846769
166,1814552,22490,1846079
167,1816107,20391,1845610
168,1814959,20070,1844159
169,1817459,19897,1846375
170,1820829,20317,1849905
171,1819867,22349,1851697
172,1819255,20065,1848209
173,1819107,20114,1848184
174,1828774,20145,1858160
175,1829014,22752,1860618
176,1831274,19968,1860093
177,1831163,20072,1860068
178,1824441,19955,1853192
179,1835015,19930,1863555
180,1831904,22222,1863070
181,1836903,20123,1865748
182,1829329,20227,1858205
183,1829700,19943,1858865
184,1834626,22198,1865750
185,1838681,20247,1868077
186,1833903,20630,1863830
187,1830829,19938,1859638
188,1927644,20006,1956539
189,1922088,30261,1962868
190,1874477,25069,1909121
191,1854533,23433,1886911
192,1863311,21038,1893589
193,1851274,24089,1884585
194,1853885,21416,1884431
195,1857515,20854,1888146
196,1839311,23125,1871603
197,1843459,20341,1872837
198,1839996,23578,1873407
199,1852867,20164,1882345
200,1855699,21398,1886320
201,1845422,17984,1873110
202,1836996,23258,1869698
203,1837496,19992,1866507
204,1838663,20152,1868093
205,1837311,20090,1866494
