iter,compute_ns,wake_lag_ns,e2e_ns
0,550904,20480532,21043492
1,363572,20091714,20458249
2,354998,19495878,19853635
3,350943,18890820,19244374
4,354109,18280207,18637168
5,357461,17672909,18033074
6,359220,17069758,17431553
7,358220,16468016,16828958
8,357739,15864625,16224993
9,361109,15261437,15625195
10,361646,14660861,15025155
11,363220,14061488,14427301
12,363609,13463394,13829632
13,363535,12865373,13231482
14,369017,12268445,12640073
15,367275,11676035,12045811
16,373239,11081718,11457605
17,374702,10494198,10871399
18,373998,9906936,10283453
19,378794,9319860,9701265
20,375812,8736765,9115170
21,380183,8151355,8534094
22,379795,7570409,7952721
23,380795,6987740,7371052
24,383016,6407423,6793013
25,388961,5828050,6219585
26,389498,5254677,5646675
27,387906,4682805,5073265
28,386202,4108599,4497393
29,386054,3533207,3921798
30,385627,2956705,3344796
31,386683,2380277,2769608
32,385554,1806089,2194124
33,388683,1229050,1620270
34,387461,656196,1046194
35,386164,81360,470062
36,390294,22040,414890
37,389497,21165,413385
38,389313,21122,413009
39,388183,21080,411744
40,386924,20482,409961
41,387887,20791,411233
42,386683,23101,412339
43,388627,21743,413000
44,388868,21331,412810
45,387924,20510,411082
46,387331,20523,410392
47,386869,20592,409997
48,387813,20772,411177
49,387128,20526,410209
50,386609,21891,411055
51,385942,21793,410254
52,386016,20769,409285
53,386461,20467,409484
54,387610,20499,410663
55,389313,20604,412454
56,385609,20414,408560
57,387090,20334,409980
58,386831,21755,411142
59,387072,21768,411396
60,386646,20707,409872
61,387480,20498,410459
62,390313,20752,413657
63,389109,20672,412448
64,385331,20482,408294
65,385572,20791,408900
66,384331,22082,409024
67,387239,21540,411389
68,386368,20738,409828
69,386553,20399,409545
70,385572,20357,408466
71,385257,20351,408053
72,384813,20439,407825
73,385905,20544,408968
74,385517,21428,409426
75,386183,21459,410235
76,385554,20824,408896
77,385479,20671,408669
78,388572,20610,411904
79,387090,20641,410362
80,385609,20543,408634
81,384868,20445,407814
82,385480,21866,409790
83,386905,21361,410821
84,385553,20837,408946
85,386072,20405,408977
86,384738,20493,407750
87,384924,20672,408096
88,385424,20630,408554
89,385943,20328,408771
90,385201,21489,409173
91,385776,21614,409908
92,386368,20664,409477
93,385627,20677,408842
94,383924,20338,406725
95,385147,20296,407905
96,384961,20642,408048
97,386775,20674,409894
98,384794,21965,409259
99,385479,21441,409420
100,384646,20639,407785
101,387424,20430,410409
102,386646,20425,409552
103,385423,20493,408399
104,386942,20803,410319
105,385646,20723,408888
106,384998,21625,409105
107,384924,21231,408636
108,384461,20466,407409
109,386757,20442,409737
110,385072,20567,408157
111,385961,20561,408967
112,384257,20630,407406
113,387887,20365,410641
114,385720,21693,409913
115,386165,21299,409982
116,387554,20793,410717
117,386146,20621,409267
118,387072,20412,410095
119,386331,20444,409201
120,385554,20513,408566
121,385776,20489,408727
122,385238,21687,409426
123,385961,21570,410031
124,385110,20676,408378
125,386775,20393,409724
126,385442,20684,408645
127,386294,20567,409362
128,386275,20414,409134
129,385628,20408,408555
130,385405,21718,409697
131,387146,21287,411025
132,386998,20633,410131
133,385794,20516,408663
134,406146,21326,430194
135,388702,20524,411800
136,384331,20537,407276
137,386183,20291,408900
138,384998,22397,409876
139,386849,21373,410704
140,385386,20627,408514
141,386849,20621,409971
142,386183,20523,409132
143,384775,20500,407738
144,385998,20587,409066
145,385535,20618,408672
146,386720,21928,411166
147,386368,21533,410346
148,384720,20695,407896
149,384757,20467,407761
150,383979,20425,406811
151,383646,20530,406565
152,385183,20469,408171
153,384776,20501,407703
154,384887,21959,409419
155,385090,21305,408859
156,386220,20522,409261
157,383461,20479,406422
158,386016,20326,408861
159,384702,20358,407652
160,384202,20352,407091
161,385553,20699,408771
162,385072,21934,409506
163,386498,21169,410130
164,386572,20479,409588
165,384461,20510,407434
166,385849,20449,408744
167,385553,20629,408757
168,389183,20494,412362
169,383942,20544,407024
170,385869,21854,410222
171,386498,21293,410439
172,384776,20491,407804
173,384258,20615,407372
174,384887,20665,408089
175,384053,20623,407158
176,385165,20377,408041
177,383739,20353,406666
178,384905,21718,409105
179,386109,21342,410007
180,384591,20707,407798
181,384572,20850,407940
182,383720,20493,406731
183,384795,20450,407726
184,383054,20352,405887
185,383294,20476,406159
186,385294,21952,409728
187,385665,21447,409612
188,385534,21164,409125
189,384647,20436,407564
190,389109,20375,412225
191,388535,20611,411646
192,385350,20624,408399
193,385627,20507,408542
194,385128,21409,409092
195,384979,21145,408717
196,384701,20695,407952
197,383294,20356,406095
198,384665,20406,407552
199,385128,20623,408213
200,384183,20377,407023
201,385590,20575,408740
202,384331,21699,408512
203,384609,21194,408340
204,385202,20577,408261
205,385664,20350,408514
206,384035,20585,407139
207,384035,20413,406911
208,385238,20648,408313
209,384535,20532,407622
210,385405,21656,409487
211,384202,21299,407926
212,384961,20497,407977
213,385128,20381,408027
214,383924,20431,406892
215,384701,20500,407627
216,385461,20550,408566
217,383739,20563,406801
218,384924,21446,408815
219,385350,21330,409142
220,385183,20824,408489
221,386238,20486,409150
222,385665,20777,408904
223,384924,20271,407565
224,384146,20506,407171
225,385109,20446,408092
226,385035,21792,409197
227,384461,21379,408303
228,384831,20503,407835
229,384257,20517,407255
230,384443,20474,407416
231,384331,20265,407041
232,384072,20408,406924
233,383868,20495,406863
234,384757,21712,408950
235,385812,21299,409667
236,385553,20368,408273
237,384387,20455,407323
238,384294,20375,407151
239,383275,20462,406127
240,385183,20550,408140
241,384498,20452,407413
242,385054,21446,408926
243,385072,21330,408865
244,385387,20435,408396
245,384368,20375,407243
246,383386,20647,406460
247,384443,20364,407325
248,384572,20395,407467
249,385868,20483,408943
250,385090,21885,409531
251,385590,20972,409025
252,384572,20374,407501
253,384479,20220,407218
254,384998,20474,408046
255,384424,20617,407578
256,386368,20241,409109
257,384202,20384,407030
258,385276,21619,409358
259,384813,21058,408334
260,385553,20479,408514
261,383794,20529,406786
262,384257,20412,407077
263,383943,20518,407016
264,385035,20494,408011
265,384350,20674,407524
266,385183,21817,409463
267,384146,21163,407772
268,385831,20787,409100
269,384517,20708,407780
270,383831,20462,406737
271,383294,20308,406139
272,385090,20599,408245
273,383572,20353,406425
274,384257,21329,408105
275,385017,20935,408433
276,384868,20503,407909
277,383942,20405,406922
278,386498,20381,409453
279,384017,20395,407004
280,384424,20408,407369
281,383924,20569,407067
282,385591,21564,409654
283,384054,21392,407926
