iter,compute_ns,wake_lag_ns,e2e_ns
0,9527340,117427,12713367
1,5841957,11727552,20877834
2,4526131,19890074,26823577
3,4589632,25832966,32838896
4,4520297,31847933,38854714
5,4537038,37864455,44863181
6,4571834,43927348,50966537
7,4583317,49976111,57055523
8,4553835,56064930,63296454
9,4738707,62308510,69565830
10,4738114,68576682,75806725
11,4715651,74816873,82108805
12,4680613,81117898,88330810
13,4694335,88341125,95543334
14,4747336,94552205,101851081
15,4692724,100860211,108107994
16,4734632,107117883,114434519
17,4830393,113444334,120810637
18,4815114,119821859,127250366
19,4783559,126260366,133609169
20,4831356,132618428,140023380
21,4816133,139033287,146489091
22,4841560,145499646,152926135
23,4817448,151935468,159345642
24,4884911,158355790,165811038
25,4869060,164821687,172286972
26,4885652,171296898,178760665
27,4862467,178770628,186237968
28,4940653,185246894,192811125
29,4902505,191821292,199332151
30,4899819,198341985,205835733
31,5003894,204844696,212465057
32,4922356,211475779,219232604
33,5177599,218244919,226162837
34,5027579,225174374,232950533
35,5085710,231962218,239679542
36,5010783,238690542,246348718
37,4953542,245360385,252983783
38,4939542,251994690,259565124
39,5002561,258575217,266189207
40,4985968,266199170,273817438
41,4947134,272827420,280405928
42,4996875,279416076,287046919
43,4939171,286056548,293618631
44,4942930,292628760,300251843
45,4978801,299263714,306893593
46,5037746,305903574,313575435
47,5027172,312586010,320258741
48,4991468,319268797,326904546
49,4973579,325914065,333525462
50,5057413,332535018,340233287
51,5037376,339242639,346929018
52,5015987,345939129,353646824
53,5027228,352657083,360322667
54,5014079,360332185,367999046
55,5066339,367008694,374708926
56,5022301,373718889,381396176
57,5042673,380406176,388232205
58,5218729,387242520,395188865
59,5134951,394200050,402006579
60,5037783,401017449,408760219
61,5057579,407769959,415491117
62,5056247,414500358,422226479
63,5106728,421235886,429008915
64,5075191,428018730,435866111
65,5099654,434887889,442653621
66,5185099,441663250,449533724
67,5156654,449543447,457391865
68,5147062,456401865,464288376
69,5134710,463297728,471101405
70,5149488,470111071,477947841
71,5140358,476957360,484830760
72,5246434,483840778,491761549
73,5170785,490770808,498611133
74,5155488,497620226,505470978
75,5218193,504480052,512384563
76,5179192,511393767,519257592
77,5181877,518267074,526191641
78,5191599,525201696,533132522
79,5197507,532141726,540039219
80,5178414,539049182,546927656
81,5187803,546937619,554854093
82,5219433,553863315,561789456
83,5216748,560798623,568701875
84,5301026,567712171,575757850
85,5254655,574768017,582772362
86,5252970,581781899,589731726
87,5320564,588741744,596762571
88,5305860,595772016,603791417
89,5266730,602801639,610762910
90,5256618,609772614,617727810
91,5340397,616737922,624787508
92,5311804,623798064,631816520
93,5342822,630826946,638891625
94,5263211,638902070,646883248
95,5270007,645892582,653863168
96,5352619,652885001,660955773
97,5344749,659966217,668077619
98,5296396,667087638,675172965
99,5317711,674183299,682215867
100,5301581,681225255,689234323
101,5351731,688244360,696324799
102,5459935,695334465,703559276
103,5403805,702569424,710768993
104,5417694,709778752,717970303
105,5464157,716980340,725204372
106,5421435,724213984,732406886
107,5410564,731416257,739630474
108,5495731,739641048,747970896
109,5487602,746981007,755246466
110,6146108,754256429,763536341
111,6363221,762550433,772000698
112,6475018,771015513,780716947
113,6469480,779732373,789447307
114,6569944,788460270,798259556
115,6290071,797273853,806459190
116,5740345,805472560,814068114
117,5597825,813081244,821536204
118,5553880,820547908,828882867
119,5501491,827894386,836165011
120,5568491,835175344,843528822
121,5562158,843539193,851882615
122,5623195,850893504,859313112
123,5561510,858324149,866724201
124,5551381,865735257,874115828
125,5595565,873126272,881520565
126,5571473,880530936,888898969
127,5598492,887909081,896309781
128,5601640,895320411,903727648
129,5628696,902737945,911189590
130,5599195,910200998,918612235
131,5580084,917622606,926022343
132,5661677,925118788,933607637
133,5586232,932618452,941022042
134,5629492,940032875,948548317
135,5632899,948559373,957009314
136,5660325,956018925,964496552
137,5686382,963506886,972025624
138,5591121,971036624,979446973
139,5624195,978457084,986961248
140,5613992,985971304,994411393
141,5643918,993421523,1001900761
142,5611122,1000910502,1009361869
143,5734141,1008371758,1016950812
144,5692899,1015961608,1024540384
145,5662492,1023551847,1032055270
146,5689233,1031064900,1039650954
147,5695826,1038661084,1047188970
148,5738622,1047198470,1055775042
149,5666288,1054785468,1063289003
150,5747215,1062298670,1070945261
151,5731011,1069956539,1078540593
152,5715733,1077549907,1086125276
153,5785345,1085135609,1093751774
154,5778770,1092762182,1101391477
155,5803437,1100401644,1109088550
156,5732603,1108099606,1116685178
157,5740623,1115695104,1124286361
158,5806993,1123296121,1132014472
159,5772696,1131025064,1139652952
160,5811123,1138663915,1147324414
161,5774734,1146334858,1154976209
162,5745567,1154985931,1163658967
163,5800752,1162670375,1171334188
164,5858123,1170344799,1179068539
165,5796938,1178078688,1186722816
166,5835975,1185733372,1194434204
167,5832771,1193445334,1202148500
168,5806530,1201158166,1209865240
169,5823068,1208888166,1217588813
170,5886624,1216598350,1225397239
171,5832549,1224408128,1233114053
172,5877957,1232124183,1240862442
173,5808530,1239884979,1248568756
174,5823568,1247578682,1256266995
175,5838994,1256276996,1264989402
176,5913827,1263999643,1272789772
177,5891605,1271800828,1280583606
178,5873198,1279594347,1288380495
179,5903069,1287390902,1296183791
180,5873309,1295194328,1304025236
181,5879105,1303035514,1311789735
182,6014717,1310800124,1319703384
183,5892531,1318713810,1327501144
184,5917439,1326511570,1335374885
185,5893049,1334385385,1343172496
186,5889456,1342182366,1351021200
187,5910198,1350031608,1358833811
188,5888624,1357844182,1366630404
189,5942550,1366639848,1375475386
190,5980198,1374485701,1383358201
191,5946716,1382368942,1391211498
192,5930087,1390222461,1399044646
193,5875679,1398054276,1406801035
194,5925050,1405811609,1414675258
195,5876291,1413685424,1422466128
196,6065143,1421476202,1430443833
197,5906846,1429454852,1438243240
198,5891180,1437252981,1446043314
199,5951328,1445052815,1453905667
200,5880105,1452915759,1461743556
201,5925643,1460753538,1469575464
202,5883623,1469585464,1478358371
203,5990383,1477368889,1486266761
204,5896568,1485277631,1494067779
205,5959106,1493077853,1501922835
206,5953327,1500932983,1509767261
207,5879476,1508777669,1517559558
208,5889438,1516570021,1525406484
209,5894790,1524416891,1533204225
210,6011143,1532214151,1541122114
211,5901365,1540132540,1548917300
212,5920328,1547926800,1556746670
213,5899198,1555756781,1564544485
214,5871401,1563554485,1572322522
215,5892939,1571332596,1580169763
216,5907957,1580180041,1588980504
217,5940050,1587990170,1596855819
218,5884327,1595879245,1604697968
219,6324924,1603708449,1613319474
220,6905613,1612334160,1622463227
221,6892761,1621477523,1631517533
222,6379553,1630531885,1639943687
223,6343016,1638957168,1648400544
224,6353869,1647415174,1656759975
225,6407239,1655773549,1680818186
226,6875225,1679831075,1691314801
227,7233672,1690330931,1701186355
228,6890892,1700201633,1710686981
229,6953021,1710701573,1721191643
230,6979226,1720208662,1730691880
231,6885280,1729707546,1740173486
232,6905150,1739191024,1749365313
233,6156015,1748380128,1757710521
234,6151292,1756723836,1766037174
235,6191978,1765049489,1774409438
236,6275275,1773422512,1782996333
237,5992939,1782008833,1791238874
238,6163070,1790251578,1799649027
239,6147422,1798662064,1808092884
240,5971902,1807106625,1816346536
241,6068995,1815359610,1824572410
242,6380072,1823585521,1833236861
243,6027032,1833249676,1842528273
244,5971105,1841540588,1850733850
245,5980810,1849746535,1858984187
