ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784227212,0.51,267924,3608240,37485
1784227213,1.03,288284,3587308,36998
1784227214,1.03,287492,3588100,37485
1784227215,1.03,287504,3588088,37972
1784227216,1.03,287756,3587836,37485
1784227217,1.26,287228,3588112,37485
1784227218,1.26,284484,3591108,38459
1784227219,1.26,282420,3593172,37485
1784227220,1.26,282932,3592660,38946
1784227222,1.26,281228,3593860,38459
1784227223,1.56,281868,3593724,38459
1784227224,1.56,281096,3594496,38946
1784227225,1.56,281596,3593996,38946
1784227226,1.56,280692,3594900,38946
1784227227,1.56,279524,3595964,38459
1784227228,1.76,279676,3595768,38946
1784227229,1.76,279220,3596372,38946
1784227230,1.76,279276,3596316,38946
1784227231,1.76,279080,3596512,38946
1784227232,1.76,278808,3596636,38459
1784227233,1.94,278644,3596696,38459
1784227234,1.94,278520,3596820,38946
1784227235,1.94,278560,3597032,38459
1784227236,1.94,279016,3596576,39433
1784227237,2.10,278020,3597320,38946
1784227238,2.10,278272,3597068,38946
1784227239,2.10,278184,3596768,38946
1784227240,2.10,278804,3596788,39920
1784227241,2.10,278188,3597152,38946
1784227243,2.26,278304,3597288,39433
1784227244,2.26,277856,3597376,39433
1784227245,2.26,278400,3597192,37972
1784227246,2.26,278024,3597316,38459
1784227247,2.26,278216,3596620,38946
1784227248,2.40,278196,3597396,39920
1784227249,2.40,278952,3596388,38946
1784227250,2.40,278368,3596720,39920
1784227251,2.40,278796,3596796,39433
1784227252,2.40,278072,3597120,38946
1784227253,2.68,277712,3598472,39433
1784227254,2.68,277288,3598052,39920
1784227255,2.68,277148,3597688,39433
1784227256,2.68,277728,3597864,39920
1784227257,2.79,277132,3598208,38946
1784227258,2.79,277472,3597616,39433
1784227259,2.79,277724,3597868,38459
1784227260,2.79,277276,3598064,39433
1784227261,2.79,277388,3597952,39433
1784227262,2.89,277628,3597712,39433
1784227264,2.89,278068,3597524,39433
1784227265,2.89,277104,3597984,39920
1784227266,2.89,277752,3597336,38459
1784227267,2.89,277560,3598032,38459
1784227268,3.14,277620,3597600,39433
1784227269,3.14,277532,3597808,39433
1784227270,3.14,277880,3597712,39920
1784227271,3.14,277984,3597356,38946
1784227272,3.14,278436,3597156,38946
1784227273,3.21,278108,3597484,40894
1784227274,3.21,277964,3597628,38946
1784227275,3.21,278656,3596936,40407
