ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784315847,1.51,426920,3448672,41381
1784315848,1.51,426916,3448676,40894
1784315849,1.51,426664,3448928,40894
1784315850,1.51,424476,3451116,40407
1784315851,1.51,428152,3447440,40407
1784315852,1.71,424924,3450668,39920
1784315854,1.71,423636,3452060,40407
1784315855,1.71,422384,3453208,40894
1784315856,1.71,420756,3454836,40407
1784315857,2.06,419920,3456412,39920
1784315858,2.06,433928,3441664,41381
1784315859,2.06,464896,3410444,39920
1784315860,2.06,479644,3396096,41381
1784315861,2.06,477668,3397672,41381
1784315862,2.13,484096,3391496,41381
1784315863,2.13,483400,3392036,40894
1784315864,2.13,490640,3384952,39920
1784315865,2.13,491392,3384200,39920
1784315866,2.13,505200,3370392,40407
1784315867,2.12,557724,3317868,41381
1784315868,2.12,567568,3308024,41381
1784315869,2.12,572340,3303000,41868
1784315870,2.12,594520,3281368,40894
1784315872,2.12,604156,3269420,40894
1784315873,2.51,629888,3245704,41868
1784315874,2.51,633820,3241772,40894
1784315875,2.51,670948,3204400,42355
1784315876,2.51,671296,3204796,40894
1784315877,2.31,671228,3204864,40894
1784315878,2.31,670972,3204116,40407
1784315879,2.31,671276,3204664,40407
1784315880,2.31,671180,3204412,39433
1784315881,2.31,671164,3204428,39920
1784315882,2.13,671108,3204452,39920
1784315883,2.13,671532,3204060,39433
1784315884,2.13,671232,3204360,38946
1784315885,2.13,670996,3204416,40407
1784315886,2.13,671128,3204464,38946
1784315887,2.04,671236,3204356,38946
1784315888,2.04,671232,3204108,38946
1784315889,2.04,671072,3204720,37972
1784315890,2.04,671124,3204468,38946
1784315892,2.04,671176,3204216,38459
1784315893,1.87,671060,3204528,39433
1784315894,1.87,671244,3204348,39433
1784315895,1.87,671120,3204220,38946
1784315896,1.87,670948,3204392,39433
1784315897,1.72,671052,3204540,39433
1784315898,1.72,671372,3204220,37972
1784315899,1.72,670912,3204680,39920
1784315900,1.72,671040,3204300,39920
1784315901,1.72,671292,3204500,40407
1784315902,1.58,671220,3204372,39920
1784315903,1.58,670968,3204372,39433
1784315904,1.58,670920,3204168,38946
1784315905,1.58,670968,3204372,39433
1784315906,1.58,671588,3204004,39433
1784315907,1.46,671388,3204204,39433
1784315908,1.46,671240,3204352,38459
1784315909,1.46,671140,3204500,39433
1784315910,1.46,687016,3188576,39433
1784315912,1.46,686892,3188500,38946
1784315913,1.42,686964,3188628,38459
1784315914,1.42,686908,3188684,38946
1784315915,1.42,687264,3187824,38946
1784315916,1.42,687216,3188376,38946
1784315917,1.31,686860,3188536,38459
1784315918,1.31,687056,3188284,39920
1784315919,1.31,687008,3188584,38946
1784315920,1.31,686604,3188988,39433
1784315921,1.31,686708,3188712,38946
1784315922,1.20,686720,3188872,38946
1784315923,1.20,687444,3188148,39433
1784315924,1.20,687696,3187896,38946
1784315925,1.20,687640,3187700,38946
1784315926,1.20,687492,3188100,39433
1784315927,1.10,687520,3188072,39433
1784315928,1.10,687584,3188008,38459
1784315929,1.10,687284,3188308,38459
1784315930,1.10,687284,3188308,38946
1784315931,1.10,687536,3188256,38459
