iter,compute_ns,wake_lag_ns,e2e_ns
0,2905361,4537,16664305
1,166254,38800802,39086033
2,98848,36338532,36504730
3,5994123,33754673,39901662
4,144273,37174511,37404874
5,106033,34658613,34830181
6,133310,32179769,32383577
7,87460,29633724,29783126
8,108108,27032180,27207933
9,91979,24457228,24611149
10,90108,21860129,22019772
11,90238,19268863,19421858
12,134421,16670579,16871331
13,92293,14122941,15538299
14,126829,12803742,12997476
15,116922,10247789,10436746
16,94830,7686393,10134455
17,188790,7410471,7690073
18,73775,4942238,5075937
19,69924,2324417,2451894
20,149772,1833652,2109679
21,163031,2787614,3118806
22,87978,388119,539058
23,166383,945483,1254269
24,171050,697820,1009254
25,238547,1964697,2342961
26,140106,835528,1100222
27,150958,836004,1116013
28,93090,485067,648024
29,72220,985304,1122966
30,70739,459206,598683
31,72794,948832,1085402
32,168846,422957,659023
33,135995,1000210,1253238
34,84552,607682,759269
35,65757,97694,285614
36,91423,624060,3523829
37,120940,797327,989042
38,162365,399391,695696
39,168068,2795247,3125402
40,72942,391548,523970
41,157494,924192,1233477
42,156976,654881,940705
43,130384,355961,606841
44,159124,2185651,2562138
45,89996,927024,1086129
46,66146,424925,552939
47,70331,888830,1020862
48,67275,357955,485080
49,64442,821656,946262
50,781084,281707,1703916
51,209733,1060119,1345683
52,153236,711441,982080
53,65813,341375,471759
54,127718,810928,1016161
55,118348,359050,596190
56,76386,953802,1095593
57,58701,432982,556663
58,121458,951348,1872538
59,95904,234090,452582
60,62071,789918,911487
61,58442,243784,360205
62,72646,689985,914811
63,973281,292142,1458305
64,149921,860821,1185143
65,143384,592326,898334
66,155846,2101342,2405294
67,132736,808716,1073744
68,116589,436668,752991
69,71164,100916,233226
70,59257,567413,675872
71,55627,1007745,1151684
72,58554,482184,588291
73,72201,930219,1053085
74,55480,384696,2417532
75,110885,787603,1104203
76,1082536,449295,1730250
77,232807,1514790,1865037
78,162680,842123,1418622
79,104534,788972,1038482
80,47591,388537,477700
81,50776,810591,898347
82,41332,229588,305234
83,40369,634810,710400
84,42221,1040883,2071940
85,100312,448121,677891
86,71979,706755,842566
87,47962,224730,418705
88,106700,780576,1030512
89,60109,391344,489174
90,114367,325434,525131
91,61757,869651,973092
92,41573,306684,381330
93,39906,710351,781904
94,40665,109478,181235
95,98589,682323,879316
96,59757,301813,402384
97,40906,726460,799698
98,40776,121884,202788
99,42258,524716,598584
100,40202,919661,990269
101,39424,310881,383397
102,97015,703195,837543
103,106385,249188,456884
104,140995,821181,1034063
105,44369,372285,453893
106,39202,788210,859004
107,36666,180911,260001
108,1805418,582318,2513010
109,51350,867785,1012743
110,29481,343872,406352
111,27239,728669,786259
112,26518,106926,166980
113,29110,498074,558313
114,26888,879871,936258
115,38165,256462,325015
116,28777,650165,710293
117,27721,1033147,1092386
118,26536,413868,471532
119,26814,792479,957603
120,82035,298528,516928
121,31054,863893,988684
122,139662,370257,710060
123,122570,1062894,1289275
124,28684,636497,694513
125,25277,1018904,1070458
126,34592,392162,452419
127,365172,769033,1289089
128,1174366,672587,1998837
129,74757,532050,697989
130,29980,1037713,1094766
131,22314,415859,457969
132,22537,778230,819951
133,22240,139766,219375
134,22851,539247,584190
135,21425,901619,942876
136,20814,261877,301024
137,20315,617859,656803
138,20332,975194,1014952
139,20407,332711,380950
140,103200,699323,827485
141,137217,180633,402514
142,44573,747219,838272
143,22888,166661,208548
144,20703,527217,567049
145,22351,884626,927809
146,20962,247458,287864
147,20425,607774,647365
148,20832,965386,1006014
149,20037,324588,376587
150,20665,705441,744254
151,20944,1069423,1108144
152,19795,425589,463847
153,25148,781534,826792
154,20517,146052,185198
155,24222,504071,547866
156,35850,865239,921533
157,24258,240626,283662
158,20537,602812,642237
159,20869,959684,1000034
160,20370,318275,357181
161,20055,675665,714219
162,21296,1031370,1072572
163,21351,390017,429812
164,20388,748444,787591
165,20054,105666,142905
166,90312,459407,573959
167,135661,914350,1138879
168,71609,747202,896030
169,64109,294047,428135
170,27795,764340,870040
171,22758,198244,241261
172,20592,561411,602632
173,20870,921727,962726
174,19870,281800,320558
175,19758,639357,678522
176,21536,999358,1040301
177,20092,358431,397855
178,19999,716025,754616
179,20018,1073470,1111376
180,19296,429580,477931
181,21573,795211,836524
182,20185,156191,195912
183,19722,514229,553191
184,19981,871156,910136
185,19425,227748,264524
186,19703,582305,620137
187,175438,938973,1136836
188,75497,898580,1090666
189,31221,457757,538329
190,21721,860683,901311
191,58349,241922,395676
192,26722,728603,788953
193,20573,109750,148471
194,21092,472695,511472
195,20314,829863,868732
196,19592,186788,223509
197,19832,541956,579566
198,18573,897235,933789
199,29499,249956,300954
200,19703,619920,658604
201,19444,976217,1013308
202,19684,337531,376418
203,19665,693551,732975
204,1672423,1051644,2807249
205,73201,57822,153282
206,21388,476284,522431
207,18147,841915,878691
208,17073,196951,233098
209,16907,550637,586617
210,16685,903101,937619
211,17092,263804,299803
212,17092,617379,651267
213,16684,969177,1003694
214,57350,342509,468856
215,19740,806839,847579
216,16814,166616,201707
217,20296,520580,562264
218,16685,881785,917154
219,16703,234692,269635
220,16981,587045,621229
221,88238,938990,1052431
222,63591,396319,533648
223,19481,876483,915500
224,19314,233186,361570
225,86627,705238,878714
226,46313,239509,390707
227,21740,738357,821058
228,19148,142002,181520
229,16870,502355,535798
230,16443,853431,2251474
231,53183,591750,687209
232,18610,1008434,1049118
233,17314,367933,404043
234,16611,722230,756859
235,18740,1073880,1110619
236,16203,429194,461656
237,16573,778714,811657
238,30406,128676,176322
239,16740,492862,526787
240,17295,846308,880288
241,16592,198048,232102
242,17129,586862,622935
243,16759,941123,974529
244,25666,293196,337954
245,16777,656086,690566
246,16666,1007143,1041123
247,16685,358494,391271
248,17666,709958,745364
249,17018,1062700,1097162
250,48720,469920,574731
251,18573,931769,969934
252,17278,289675,323822
253,19425,641621,684842
254,110181,1003474,1133673
255,614978,471636,1163963
256,131884,570035,787138
257,18388,123453,165433
258,15240,485621,518601
259,19351,836585,876083
260,15203,193251,227120
261,14499,544993,578251
262,14110,895698,926752
263,15073,246123,278455
264,14370,594717,731416
265,61498,1077491,1216394
266,17277,560171,597133
267,15406,916469,949801
268,15518,268060,302022
269,14870,620265,652394
270,14962,978267,1014710
271,17481,352154,390653
272,15351,708970,741765
273,14703,1058527,1091489
274,14555,408656,441043
275,14500,760731,793452
276,14463,111804,144581
277,14425,461769,505823
278,18889,822899,860991
279,14648,178898,210101
280,14259,527548,558158
281,65294,923103,1059710
282,47684,425819,768752
283,69368,2484279,2643404
284,18258,1004660,1048862
285,16703,366751,404250
286,16277,723549,760288
287,14407,1077772,1108493
288,26796,424160,467233
289,15832,781773,815938
290,20722,133568,172993
291,13814,488551,519402
292,14407,834978,866847
293,14444,183015,215125
294,17647,531942,565367
295,14073,881888,912516
