ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784312129,0.69,353984,3521608,36511
1784312130,0.69,353196,3522396,36998
1784312131,0.64,352856,3522736,36998
1784312132,0.64,352564,3523028,36511
1784312133,0.64,350940,3524652,36024
1784312135,0.64,348728,3526864,36511
1784312136,0.64,348016,3528168,36024
1784312137,0.59,347032,3528560,36511
1784312138,0.59,346516,3529372,36511
1784312139,0.59,345644,3529696,36998
1784312140,0.59,345052,3530540,36511
1784312141,0.59,344712,3530880,37485
1784312142,0.54,343880,3531712,37485
1784312143,0.54,343172,3532464,36998
1784312144,0.54,343068,3532524,36998
1784312145,0.54,342820,3532772,36998
1784312146,0.50,342120,3533472,36998
1784312147,0.50,341948,3533644,36511
1784312148,0.50,341700,3533892,36511
1784312149,0.50,341356,3534236,36511
1784312150,0.50,341064,3534528,36024
1784312151,0.45,341316,3534276,36511
1784312152,0.45,341112,3534628,37485
1784312153,0.45,340868,3534724,36024
1784312155,0.45,340632,3534960,36511
1784312156,0.45,340884,3535004,36998
1784312157,0.50,340784,3534808,36511
1784312158,0.50,340888,3534704,36998
1784312159,0.50,340784,3534808,36998
1784312160,0.50,340784,3534808,36511
1784312161,0.50,340592,3535000,36998
1784312162,0.46,340784,3534808,37485
1784312163,0.46,341020,3534572,36024
1784312164,0.46,341020,3534572,36998
1784312165,0.46,341156,3534436,36511
1784312166,0.42,340904,3534688,36998
1784312167,0.42,341156,3534436,36511
1784312168,0.42,341408,3534184,36998
1784312169,0.42,341408,3534184,37485
1784312170,0.42,341156,3534732,36511
1784312171,0.39,340520,3534568,36511
1784312172,0.39,340524,3535388,36511
1784312173,0.39,340456,3535136,36511
1784312174,0.39,340132,3535460,36511
1784312176,0.39,340636,3534956,37485
1784312177,0.36,340592,3534748,36511
1784312178,0.36,340568,3535024,36998
1784312179,0.36,340568,3534520,36998
1784312180,0.36,340892,3534700,36998
1784312181,0.36,340892,3534700,36511
1784312182,0.41,340640,3535144,36998
1784312183,0.41,340384,3535208,36998
1784312184,0.41,340636,3535492,36511
1784312185,0.41,340352,3535240,36511
1784312186,0.38,340352,3535240,36511
1784312187,0.38,340604,3534988,37485
1784312188,0.38,340856,3534736,36511
1784312189,0.38,341168,3534424,36024
1784312190,0.38,348552,3527292,37485
1784312191,0.43,348404,3527188,38946
