iter,compute_ns,wake_lag_ns,e2e_ns
0,328018,8426,368611
1,94796,31165,143498
2,83871,25477,124144
3,80630,23827,117901
4,96963,25084,139010
5,83648,24600,121619
6,83130,23839,121172
7,79630,24170,117318
8,77982,23075,114094
9,79185,23129,115592
10,79149,23626,115719
11,80926,23365,118254
12,78537,23307,114863
13,80333,22879,116249
14,77833,23155,113821
15,77814,23153,113615
16,79648,23873,117335
17,77445,23611,114130
18,77204,23035,112942
19,78093,23329,114144
20,77666,23068,113234
21,77352,23806,113991
22,77703,22934,113396
23,78149,23079,114079
24,77537,23059,113559
25,78111,23131,114390
26,79834,23517,116851
27,77834,23126,113830
28,79037,23235,114865
29,77037,22844,112640
30,77537,23064,113175
31,77407,23303,113414
32,76648,23115,112930
33,77074,23428,113206
34,76685,24018,113315
35,78000,23257,113720
36,77278,23088,112921
37,78149,23178,113771
38,77518,23010,113417
39,77703,22915,141304
40,77777,23487,115209
41,77389,23299,113447
42,77240,23001,113038
43,77703,23036,113295
44,76685,23774,112848
45,78203,22976,113790
46,77593,23066,113344
47,76778,23138,112731
48,76685,22988,112321
49,77074,22930,112689
50,76722,22891,111909
51,77074,22870,112518
52,76685,23016,113405
53,77444,22977,112995
54,77277,23012,112678
55,76963,22843,112435
56,76722,23470,112840
57,79686,23412,116431
58,77130,23373,113373
59,76796,22686,112112
60,79445,22998,114887
61,77149,23255,113052
62,77130,23068,112698
63,77277,22844,112677
64,77167,22841,115915
65,77444,22895,112932
66,76685,23041,112485
67,77203,23428,113205
68,77204,23018,112851
69,77797,23108,113571
70,77074,23291,113051
71,77074,22919,112474
72,77056,22861,112361
73,76907,22822,112229
74,76796,22801,112227
75,77296,23040,113021
76,76740,23334,115667
77,77185,22887,112794
78,76703,23163,112737
79,77185,23346,113475
80,77167,23121,113121
81,76944,23101,112804
82,76574,23228,112469
83,77222,23207,113429
84,76704,23094,112483
85,77685,22981,113703
86,76944,23016,112460
87,76556,23050,112254
88,76481,22919,111937
89,77037,22953,112620
90,77130,23488,130618
91,77907,23079,113764
92,76833,22947,113336
93,77019,23037,112630
94,76389,22905,111831
95,76870,22885,112459
96,76778,22975,112308
97,77518,23047,113121
98,78129,23434,114211
99,77148,22857,112598
100,77370,23133,112911
101,77315,22816,112890
102,76889,23295,112740
103,77037,23108,112515
104,76408,23050,112013
105,76852,23066,112511
106,77500,22935,113120
107,77203,23007,112673
108,77834,23578,114375
109,77056,23354,112835
110,77185,23074,112852
111,76463,23164,112183
112,77036,22922,112810
113,77685,23549,113827
114,76518,22769,111973
115,77685,22804,113211
116,76778,23005,112598
117,77260,22762,112410
118,76463,22982,112223
119,76537,23017,111980
120,79593,23311,116330
121,78018,23087,114068
122,76945,23029,112751
123,79056,23175,114842
124,76945,23154,112580
125,76870,23356,112930
126,77148,23317,112743
127,77259,23148,113037
128,77093,23164,113738
129,77166,22755,112366
130,77000,23012,112567
131,77426,22880,112750
132,77574,23267,113526
133,77408,23042,113283
134,77111,22855,112614
135,77648,22834,113223
136,76944,23517,112906
137,77444,23015,113144
138,77018,22976,112661
139,76759,22733,112399
140,77092,22842,112249
141,77093,22858,128376
142,77426,22708,112856
143,77333,22946,112835
144,77352,22870,112703
145,76722,22979,112182
146,77055,23199,112921
147,76666,23086,112141
148,76777,23454,113528
149,77240,22952,112581
150,77537,22968,113357
151,78055,22855,113299
152,76759,23038,112593
153,77444,23017,112980
154,79963,24311,118144
155,76852,23309,112679
156,77352,22973,112732
157,76704,22971,112212
158,76297,22913,111728
159,77000,23596,113263
160,76611,23187,112501
161,76741,22814,112222
162,77074,23386,113349
163,77240,22810,112310
164,76555,22956,111993
165,76889,23139,112694
166,77556,22803,112859
167,76834,22708,112171
168,76240,23003,111725
169,76648,23223,112408
170,77130,23072,112739
171,77259,23218,113088
172,76519,22864,112512
173,77092,22992,112732
174,77407,23286,113304
175,77408,22950,112932
176,76833,23059,112670
177,77371,22964,112779
178,76518,23092,111999
179,77185,22645,112441
180,76611,22939,111976
181,77834,23307,113641
182,77611,23139,113175
183,77426,23470,113673
184,77408,22930,112838
185,76981,22984,112539
186,76833,22889,112296
187,77167,22942,112757
188,77407,23181,113329
189,77148,22827,112605
190,77000,22806,112214
191,77166,22934,112785
192,76500,22876,112080
193,76444,23207,131429
194,77593,23371,114520
195,76907,23240,112628
196,76982,22941,112126
197,76926,22939,112569
198,77759,22974,113233
199,77000,23083,112675
200,77204,23210,113636
201,77834,22967,113375
202,76555,22817,111891
203,76574,22963,112167
204,76925,22813,112331
205,76796,22977,112384
206,76815,23104,112401
207,76574,22954,111787
208,77297,22970,112637
209,76722,22987,112394
210,76722,22966,112133
211,77092,22705,112353
212,76722,22888,111962
213,77185,22830,112348
214,76315,23309,111939
215,76315,22844,111714
216,76926,22879,112305
217,77463,23191,113099
218,77463,22856,112763
219,77093,22983,112150
220,76926,22926,112314
221,76315,22664,111201
222,76574,23032,112143
223,76648,22919,112067
224,78926,23565,115343
225,77204,23229,113137
226,76444,23061,112357
227,77296,22818,112910
228,76981,22964,112945
229,76944,23147,112998
230,76722,23089,113774
231,76482,23179,112846
232,77111,22788,115696
233,77574,22897,113138
234,76426,23191,112136
235,77111,22763,112059
236,77611,23057,113261
237,76851,23111,112592
238,76592,22905,111868
239,76889,22736,111754
240,76259,23326,111641
241,76815,23157,112305
242,76185,23100,111451
243,76722,23079,128875
244,77945,23206,113929
245,77556,22889,112963
246,77186,23072,112943
247,80556,23218,117403
248,77666,23420,113772
249,77648,23029,113158
250,77352,23323,113064
251,79833,23080,115580
252,76871,23244,112485
253,76870,23168,112316
254,86111,24573,127351
255,215333,35590,290386
256,214037,45532,294772
257,201018,35530,269030
258,213630,38620,288601
259,188296,40118,260673
260,227037,39633,306837
261,210944,42353,288575
262,208240,41165,284276
263,215185,49162,300292
264,211703,37993,288863
265,207388,43305,283656
266,219092,39117,291635
267,201389,36929,270818
268,255129,44352,337556
269,206518,40479,281923
270,199833,34773,267958
271,220130,38436,293381
272,215648,39619,292396
273,111259,28209,158060
274,87703,25410,127502
275,79648,23888,116444
276,80315,24497,119960
277,77314,23513,113994
278,79371,24065,116825
279,78334,23266,114007
280,77481,23171,113282
281,77611,23020,113353
282,77074,23091,187647
283,82389,25163,120811
284,77537,23271,114790
285,77778,23509,115583
286,77722,23284,113636
287,77870,22930,113504
288,78055,23001,113593
289,78611,23461,114665
290,81130,23662,117736
291,77148,23363,113752
292,77648,23008,113212
293,79129,23506,115524
294,76537,23095,112058
295,76871,23759,112870
296,76648,23238,112368
297,76908,23161,112661
298,76315,23214,112047
299,76945,23100,113045
300,76908,22875,112486
301,77297,23335,113095
302,76686,23073,112259
303,76833,22923,112385
304,76834,22975,112679
305,77981,23362,113787
306,77500,23655,113488
307,77703,23097,113652
308,76851,22761,112261
309,77037,22906,112239
310,76833,23237,112644
311,77740,23049,113252
312,76834,23453,112657
313,76556,23006,112191
314,76962,23078,112522
315,77556,22908,113297
316,77185,23850,113776
317,77963,23384,114032
318,77463,23344,113270
319,76666,23138,112323
320,76778,23024,112005
321,77111,22873,112410
322,77074,22944,113130
323,76982,22756,112942
324,76148,23217,111791
325,77148,22992,112918
326,76907,23137,112544
327,76685,23153,112264
328,77185,23021,112594
329,77759,23777,114277
330,77074,23163,112811
331,76945,23012,112327
332,76518,22917,111658
333,76462,22822,111618
334,76963,22763,112337
335,77074,23409,113983
336,77278,23239,112980
337,76667,22792,111959
338,76963,22937,112623
339,77260,23064,112786
340,77130,22969,112580
341,78407,23670,114596
342,76908,23278,112649
343,77093,22942,112757
344,76926,22884,112217
345,76315,23011,111918
346,76888,23101,112878
347,76777,23265,114653
348,76926,23058,112521
