method,n,margin,max_abs_full,rms_full,max_abs_interior,rms_interior
poly,1250,64,1.844440e+02,6.214364e+00,3.886652e-01,1.109661e-01
fft,1250,64,5.684342e-13,1.725345e-13,5.684342e-13,1.735268e-13
poly,2500,125,1.844440e+02,4.406402e+00,3.886652e-01,1.084146e-01
fft,2500,125,7.958079e-13,2.029493e-13,7.958079e-13,2.004818e-13
poly,5000,250,1.844440e+02,3.110222e+00,4.639125e-01,1.113857e-01
fft,5000,250,7.958079e-13,1.886105e-13,6.821210e-13,1.872442e-13
poly,10000,500,1.844440e+02,2.200769e+00,4.639125e-01,1.105795e-01
fft,10000,500,9.094947e-13,2.122567e-13,9.094947e-13,2.121850e-13
poly,20000,1000,1.844440e+02,1.557249e+00,5.195810e-01,1.118478e-01
fft,20000,1000,9.094947e-13,2.041098e-13,9.094947e-13,2.042078e-13
poly,40000,2000,1.844440e+02,1.105489e+00,5.195810e-01,1.111415e-01
fft,40000,2000,1.023182e-12,2.186263e-13,1.023182e-12,2.186670e-13
poly,80000,4000,1.844440e+02,7.852104e-01,5.638860e-01,1.109640e-01
fft,80000,4000,1.023182e-12,2.009614e-13,1.023182e-12,2.005453e-13
poly,160000,8000,1.844440e+02,5.610651e-01,5.638860e-01,1.115750e-01
fft,160000,8000,1.023182e-12,2.136511e-13,1.023182e-12,2.134822e-13
poly,325000,16250,1.844440e+02,4.017345e-01,6.423174e-01,1.122586e-01
fft,325000,16250,1.250555e-12,2.581843e-13,1.136868e-12,2.556216e-13
poly,650000,32500,1.844440e+02,2.979793e-01,6.423174e-01,1.125267e-01
fft,650000,32500,1.364242e-12,2.550164e-13,1.364242e-12,2.530441e-13
