iter,compute_ns,wake_lag_ns,e2e_ns
0,2132495,20664,2169290
1,1538298,26373,1575097
2,1518281,20675,1548566
3,1496910,20717,1527071
4,1484559,23955,1517717
5,1516335,20831,1546333
6,1501243,20873,1531042
7,1507392,20878,1537084
8,1503466,20846,1532886
9,1546039,23233,1578364
10,1517836,20275,1546796
11,1523244,20651,1552634
12,1530891,20545,1560251
13,1529854,23061,1562063
14,1534706,20936,1564438
15,1542132,20590,1571147
16,1572724,20725,1602486
17,1592206,20322,1621120
18,1586854,23709,1619525
19,1569798,20436,1599049
20,1568613,20738,1598184
21,1571650,20484,1600893
22,1578298,23352,1610687
23,1599335,20690,1628544
24,1622649,20992,1653123
25,1601039,20405,1630277
26,1603539,20780,1632986
27,1603390,23778,1635816
28,1606131,20931,1636062
29,1609353,20362,1638234
30,1613835,20331,1642795
31,1609113,22532,1640700
32,1707186,20704,1736593
33,1635464,20487,1665284
34,1623317,20863,1653419
35,1629020,20572,1658110
36,1630723,23550,1663163
37,1618483,20537,1647909
38,1623223,20876,1652692
39,1623520,20548,1652494
40,1627038,22601,1658083
41,1631965,20532,1661052
42,1632835,20556,1662113
43,1629482,20283,1658211
44,1634260,20770,1663512
45,1630205,23249,1662046
46,1627001,20532,1655811
47,1632150,20797,1661427
48,1636464,20635,1665507
49,1635446,23096,1667097
50,1639056,20601,1668065
51,1636761,20717,1665681
52,1642205,20482,1671094
53,1641186,20450,1670414
54,1641686,22503,1672486
55,1641797,20527,1670898
56,1643260,20792,1672441
57,1694223,20278,1723223
58,1678335,24146,1711739
59,1668464,20781,1697930
60,1656056,20398,1684898
61,1679149,20736,1708552
62,1663187,20649,1692650
63,1658316,22980,1690258
64,1852980,20244,1882243
65,1733186,21157,1763657
66,1686019,20940,1715829
67,1715722,23771,1748789
68,1690223,20757,1720221
69,1688667,20300,1717874
70,1716463,20527,1746176
71,1695259,20699,1724515
72,1701186,23641,1733086
73,1705871,20646,1735388
74,1697222,20707,1726578
75,1692204,20787,1721639
76,1688760,23432,1720692
77,1687890,20493,1716846
78,1693056,20628,1722110
79,1691167,20726,1720523
80,1691593,20787,1721102
81,1696593,23284,1728507
82,1695019,20864,1724049
83,1699019,20684,1728351
84,1698427,20930,1728041
85,1689353,23149,1721113
86,1691556,20618,1720377
87,1695834,20456,1724790
88,1703575,20647,1732518
89,1702482,20504,1731801
90,1700686,23353,1732687
91,1703500,20562,1732489
92,1701760,20938,1731216
93,1703334,20702,1732629
