iter,compute_ns,wake_lag_ns,e2e_ns
0,1905881,20585,1947373
1,1486938,25684,1522529
2,1465735,20542,1495332
3,1468716,20307,1497857
4,1472012,24280,1505237
5,1487143,20176,1516021
6,1524179,20200,1553009
7,1505402,20151,1534349
8,1504438,20509,1533707
9,1511364,24316,1544143
10,1515975,20489,1544982
11,1524012,20458,1553007
12,1527087,20223,1555625
13,1532160,23900,1564820
14,1541272,20536,1570197
15,1580364,20191,1609573
16,1561642,20549,1590894
17,1557919,20796,1586900
18,1559345,23825,1591652
19,1564975,20349,1594102
20,1582716,20670,1611868
21,1580864,20232,1609652
22,1579567,23669,1611699
23,1583938,20490,1613002
24,1586716,20311,1615397
25,1594141,20095,1622625
26,1607049,20545,1635742
27,1605993,23685,1638012
28,1608160,20358,1636926
29,1603920,20327,1632210
30,1608568,20334,1637049
31,1605586,24140,1638152
32,1620012,20498,1648621
33,1619549,20486,1648239
34,1618364,20529,1647134
35,1616808,20332,1645066
36,1621031,24398,1653725
37,1616456,20423,1644972
38,1623530,20244,1651978
39,1627752,20472,1656336
40,1626605,23631,1658531
41,1625585,20526,1654445
42,1637419,20551,1666007
43,1631123,20390,1659606
44,1633253,20285,1661630
45,1632660,24536,1665530
46,1629456,20413,1658221
47,1634827,20512,1663524
48,1641141,20370,1669882
49,1637846,23269,1669670
50,1640012,20442,1668602
51,1635289,20393,1663738
52,1655437,20547,1684133
53,1644845,20665,1673806
54,1641197,23286,1672576
55,1637790,20422,1666508
56,1638826,20428,1667440
57,1645585,20583,1674409
58,1660864,23704,1692808
59,1654697,20766,1684092
60,1651437,20476,1679969
61,1653789,20630,1682512
62,1652197,20636,1681130
63,1655086,23795,1687103
64,1847326,20857,1876664
65,1728141,23548,1761411
66,1686141,21017,1715677
67,1715326,24620,1748521
68,1688345,20775,1717786
69,1682123,20540,1710996
70,1709715,20472,1738910
71,1689437,20219,1718472
72,1675493,24600,1708260
73,1676605,20292,1705229
74,1680660,20446,1709217
75,1680789,20508,1709612
76,1675160,23481,1707289
77,1686548,20617,1715499
78,1685790,20494,1714413
79,1688845,20333,1717067
80,1688215,20432,1716759
81,1686530,24479,1719343
82,1690049,20393,1718646
83,1694586,20585,1723559
84,1686642,20517,1715825
85,1689456,23435,1721428
86,1692678,20441,1721786
87,1684733,20243,1713403
88,1692938,20083,1721261
89,1694716,20608,1723934
90,1689179,23785,1721519
91,1695253,20662,1724247
92,1696790,20260,1725439
93,1698104,20230,1726741
94,1698215,23407,1730103
95,1702790,20617,1731702
96,1708715,20327,1737523
97,1703641,20222,1732622
98,1707660,20395,1736814
99,1705401,23775,1737398
100,1709660,20337,1738478
101,1714307,20473,1743077
102,1751715,20553,1781046
103,1717196,24064,1750501
104,1714734,20255,1743489
105,1718382,20262,1747199
106,1719253,20305,1747816
107,1717568,20552,1746582
108,1719327,23710,1751777
109,1719715,20180,1748191
110,1722178,20260,1750827
111,1724141,20118,1752463
112,1782104,24240,1815121
113,1775475,20561,1805424
114,1781104,20530,1810763
115,1745048,20832,1774233
116,1740308,20505,1769387
117,1747104,25016,1780694
118,1739456,20448,1768237
119,1733382,20176,1762225
120,1736808,20257,1765639
121,1736104,24730,1769223
122,1739438,20348,1768285
123,1745660,20206,1774291
124,1743511,20064,1772186
125,1752826,20107,1781155
126,1748493,24377,1781518
127,1747178,20383,1776209
128,1823344,20482,1852641
129,1781308,20525,1810296
130,1821307,24554,1854454
131,1765567,20727,1795590
132,1760567,20418,1789707
133,1773456,20221,1802362
134,1770790,20579,1800035
135,1761548,23997,1794175
136,1762326,20299,1791033
137,1759049,20435,1787799
138,1773845,20479,1802527
139,1765900,24396,1798797
140,1763993,20662,1793081
141,1760993,20261,1789513
142,1764437,20452,1792964
143,1768011,20384,1796359
144,1774604,23691,1806721
145,1780326,20457,1809320
146,1779492,20185,1808141
147,1772345,20432,1801166
148,1773326,23924,1805639
149,1768011,20171,1796275
150,1772159,20529,1801040
151,1776271,20276,1804547
152,1782160,20079,1810571
153,1784678,23459,1816434
154,1781993,20336,1810570
155,1779530,20398,1808150
156,1780196,20293,1808619
