iter,compute_ns,wake_lag_ns,e2e_ns
0,1926357,19722953,21670441
1,1472746,18704461,20185911
2,1458968,17239117,18707418
3,1461042,15752735,17222351
4,1471542,15265205,16745080
5,1474228,13787841,15270569
6,1484635,12312127,13805040
7,1485784,10846486,12340585
8,1492302,9382327,10883038
9,1503303,8924039,10435361
10,1514877,7476529,8999592
11,1514470,6041872,7564583
12,1520766,4606288,6135185
13,1518341,4176242,5703046
14,1525914,2743825,4277889
15,1534378,1319131,2861621
16,1566639,26294,1601544
17,1568694,20770,1598187
18,1562232,24037,1594991
19,1564009,20754,1593319
20,1572546,20563,1601406
21,1578602,20446,1607549
22,1579157,23899,1611705
23,1583899,20356,1612570
24,1600122,20554,1629195
25,1604826,20530,1633819
26,1603381,20432,1632331
27,1616512,23718,1648581
28,1634178,20712,1664391
29,1616919,20447,1646422
30,1611141,20664,1640471
31,1604955,23209,1636609
32,1622622,20685,1651604
33,1642809,20420,1671951
34,1630179,20840,1660611
35,1625623,20760,1654957
36,1623104,23824,1655836
37,1623882,20707,1653293
38,1621308,20683,1650454
39,1626456,20585,1655893
40,1626067,23760,1658679
41,1630660,20736,1659674
42,1637401,20397,1666335
43,1625122,20391,1654255
44,1635845,20904,1665694
45,1630012,23634,1662406
46,1633716,20666,1663233
47,1639475,20641,1668969
48,1658513,20673,1688575
49,1642846,23607,1674990
50,1723071,20768,1752617
51,1695292,20947,1726759
52,1659642,20905,1689881
53,1643142,20658,1673375
54,1653290,23871,1686347
55,1646105,20365,1675322
56,1649790,20507,1679316
57,1648290,20335,1677533
58,1647883,24251,1680986
59,1652513,20486,1682258
60,1654920,20683,1684548
61,1655921,20956,1685821
62,1675736,20487,1704927
63,1662198,23736,1695305
64,2115883,20471,2145725
65,1710811,23965,1745277
66,1684903,20941,1714548
67,1699588,23783,1732576
68,1692218,20351,1722310
69,1683773,20401,1713026
70,1707552,20766,1737781
71,1692829,20334,1722275
72,1678606,23213,1710783
73,1682051,20392,1711092
74,1687125,20312,1716179
75,1687403,20584,1716580
76,1684144,23593,1716459
77,1679810,20643,1708935
78,1684458,20526,1713318
79,1686347,20613,1715331
80,1686588,20496,1715455
81,1685866,23301,1717537
82,1690514,20536,1719439
83,1688199,20474,1717174
84,1689625,20358,1718576
85,1684422,23644,1716584
86,1693922,20416,1722523
87,1689514,20355,1718628
88,1690200,20367,1719012
89,1698385,20639,1727025
90,1690699,23185,1722089
91,1693107,20624,1721805
92,1696700,20266,1725133
93,1701644,20371,1730405
94,1698015,22991,1729321
95,1696885,20578,1725574
96,1708775,20405,1737587
97,1724164,20363,1753490
98,1708886,20394,1738057
99,1714349,24329,1747696
100,1716552,20323,1745449
101,1708015,20428,1737054
102,1748295,20367,1777161
103,1720904,23523,1752965
104,1717275,20425,1746626
105,1715664,20290,1744490
106,1713367,20543,1742207
107,1716664,20371,1745238
108,1722182,22583,1753154
109,1730664,20596,1759612
110,1724905,20571,1754199
111,1728794,20695,1757952
112,1724997,22815,1756294
113,1728072,20346,1757177
114,1726553,20303,1755523
115,1729849,20446,1758869
116,1730516,20385,1759530
117,1724997,23171,1756594
118,1732942,20295,1761830
119,1729275,20289,1757953
120,1745572,20376,1774670
121,1734405,23329,1766179
122,1741535,20434,1770543
123,1742979,20595,1772130
124,1734868,20293,1763772
125,1746127,20398,1774934
126,1742257,22592,1773183
127,1743442,20420,1772140
128,1754776,20210,1783264
129,1747757,20241,1776221
130,1750498,23232,1782286
131,1755165,20374,1784132
132,1757184,20424,1786182
133,1755221,20214,1784009
134,1753832,20375,1782615
135,1754443,23717,1786697
136,1766647,20396,1796155
137,1776426,20094,1805094
138,1775907,20107,1804570
139,1762276,23079,1793800
140,1755406,20462,1784683
141,1763629,20215,1792307
142,1777832,20135,1806765
143,1784648,20500,1813870
144,1778518,23509,1810471
145,1779518,20484,1808392
146,1775148,20367,1803700
147,1776888,20325,1805658
148,1787111,23463,1819204
149,1769944,20290,1798753
150,1778610,20377,1807525
151,1778092,20279,1806593
152,1780870,20421,1809643
153,1784852,23800,1817097
154,1787333,20406,1815980
155,1791462,20473,1820695
156,1786332,20374,1814836
157,1791388,23622,1823474
158,1790185,20208,1818930
159,1806926,20386,1836350
160,1805574,20491,1834398
161,1798000,20317,1827021
162,1795481,24010,1828047
163,1798462,20337,1827151
164,1800537,20385,1829496
165,1804981,20452,1833916
166,1810426,25257,1844016
167,1806759,20416,1835565
168,1805425,20409,1834298
169,1803814,20180,1832680
170,1804648,20322,1833451
171,1805444,22996,1837256
172,1808537,20119,1837101
173,1815649,20408,1844557
174,1826353,20290,1855328
175,1821223,23113,1852577
176,1819167,20273,1847866
177,1816778,20358,1845711
178,1816259,20277,1845278
179,1818353,20493,1847234
180,1817593,23353,1849464
181,1818000,20642,1846772
182,1818408,20357,1847321
183,1818408,20276,1847351
184,1817815,23525,1849489
185,1813926,20277,1842759
186,1818685,20733,1847827
187,1819871,20338,1848394
188,1817500,20275,1846165
189,1815611,23728,1847913
190,1818871,20702,1848425
191,1814797,20603,1844011
192,1813575,20466,1842392
193,1818389,24455,1851012
194,1821890,20411,1850653
195,1817500,20423,1846553
196,1816407,20638,1845195
197,1816945,20409,1845466
198,1816130,23862,1848640
199,1822093,20466,1850874
200,1817908,20403,1846960
201,1818649,20267,1847601
202,1817833,23756,1850238
203,1816593,20323,1845583
204,1818389,20076,1847058
205,1822704,20273,1851440
206,1816685,20284,1845563
207,1825390,24311,1858126
208,1815500,20322,1844526
209,1817481,20463,1846464
210,1832223,20068,1860643
211,1812963,23465,1844835
212,1825908,20291,1855014
213,1818259,20414,1847470
214,1814853,20203,1843389
215,1821445,20270,1850327
216,1820037,22963,1851409
217,1818352,20197,1846957
218,1812389,20561,1841154
219,1815890,20572,1844943
220,1817630,23321,1849155
221,1818130,20332,1847000
222,1816908,20511,1846011
223,1818001,20319,1847023
224,1817445,20293,1846664
225,1814370,23246,1846450
226,1818315,20239,1847295
227,1815093,20121,1843806
228,1812574,20336,1841299
229,1825204,23918,1857882
230,1821963,20411,1851116
231,1819334,20423,1848405
232,1819463,20527,1848694
233,1816371,20390,1845669
234,1819167,24435,1852270
235,1821982,20428,1850818
236,1820537,20477,1849645
237,1815908,20248,1844675
238,1822111,23571,1854053
239,1822907,21138,1852435
240,1823778,20353,1852724
241,1822926,20550,1852292
242,1818612,20358,1847692
243,1816649,24273,1849329
244,1820852,20563,1850137
245,1814315,20408,1843297
246,1817167,20456,1846087
247,1821093,23890,1853372
248,1817093,20272,1845810
249,1816611,20469,1845469
250,1819093,20258,1848000
251,1816352,20418,1845326
252,1823519,23630,1855649
253,1817185,20586,1846679
254,1817482,20208,1845950
255,1815259,20535,1843980
256,1816686,24080,1849525
257,1824723,20221,1853370
258,1851372,20566,1880846
259,1824464,22374,1855319
260,1822075,20330,1850794
261,1824037,24560,1856839
262,1818593,20201,1847387
263,1819297,20398,1848325
264,1822111,20206,1850800
265,1815037,24251,1847789
266,1816778,20466,1845634
267,1817815,20330,1846423
268,1815519,20675,1844786
269,1818963,20390,1847872
270,1822871,23509,1854788
271,1816501,20335,1845281
272,1820556,20329,1849718
273,1818001,20211,1846656
274,1818260,23107,1849941
275,1815963,20249,1844786
276,1821500,20260,1850483
277,1815297,20290,1844495
278,1815463,20413,1844673
279,1818667,23754,1851403
280,1819759,20340,1849156
281,1819704,20426,1848982
282,1820908,20474,1850068
283,1816130,23371,1847964
284,1818445,20364,1847661
285,1817649,20746,1846877
286,1816685,20739,1846129
287,1820685,20214,1849622
288,1816000,23889,1848482
289,1817204,20400,1846216
290,1817685,20375,1846931
291,1813444,20220,1842535
292,1810296,24079,1842913
293,1820334,20591,1849962
294,1821112,20529,1850455
295,1819315,20429,1848430
296,1813889,20070,1842515
297,1815444,24393,1848246
298,1817630,20386,1846665
299,1812223,20694,1841528
300,1816463,20317,1845336
301,1815629,23880,1848122
302,1813315,20447,1842966
303,1815890,20274,1844589
304,1814055,20434,1843175
305,1816741,20464,1845687
306,1814556,24453,1847380
307,1819186,21224,1849151
308,1818074,20180,1846570
309,1813055,20358,1841914
310,1815130,23626,1847348
311,1819427,20322,1848064
312,1819019,20297,1847612
313,1816093,20401,1844920
314,1815833,20079,1844543
315,1813000,23217,1844884
316,1824741,20377,1853341
317,1832945,21055,1863167
318,1819575,20659,1849438
319,1819056,23760,1851631
320,1823390,20327,1852346
321,1815074,20246,1843821
322,1811463,20276,1840314
323,1813185,20566,1842344
324,1816408,24166,1849296
325,1815074,20326,1843993
326,1813704,20448,1842523
327,1827500,20516,1856869
328,1822352,24098,1855136
329,1818334,20350,1847388
330,1813500,20380,1842103
331,1816685,20318,1845503
332,1815982,20440,1844608
333,1815371,23615,1847467
334,1815593,20089,1844257
335,1820260,20620,1849287
336,1819186,20187,1847854
337,1817722,23584,1849714
338,1815315,20503,1844540
339,1822575,20811,1851700
