iter,compute_ns,wake_lag_ns,e2e_ns
0,2012008,21249,2045757
1,1530178,22956,1562800
2,1523548,20385,1553303
3,1472807,20907,1503084
4,1468011,23748,1500037
5,1499826,20474,1528744
6,1478400,20644,1507506
7,1488085,20517,1516861
8,1490622,20743,1519698
9,1547196,23140,1578798
10,1512714,20532,1541950
11,1516067,20220,1544731
12,1520530,20483,1549142
13,1523789,23232,1555187
14,1530122,20457,1558635
15,1531474,20479,1559805
16,1562918,20316,1591141
17,1578936,20467,1607644
18,1570529,23457,1602764
19,1579251,20312,1608508
20,1584325,20538,1613400
21,1574196,20578,1603181
22,1577585,23142,1609874
23,1578751,20441,1607859
24,1588307,20093,1617159
25,1592492,20522,1621662
26,1594270,20525,1623480
27,1597511,22126,1627896
28,1603955,20389,1632603
29,1598917,20485,1627402
30,1603899,20377,1632591
31,1599584,22330,1630118
32,1670492,20333,1699065
33,1626862,20299,1655883
34,1616677,20358,1645220
35,1618566,20250,1647168
36,1618806,23295,1650269
37,1610992,20780,1640087
38,1615528,20543,1644442
39,1619880,20361,1648612
40,1616529,23277,1648620
41,1620084,20428,1648790
42,1633769,20394,1662516
43,1632251,20453,1661315
44,1633566,20197,1662059
45,1624973,22779,1656512
46,1624269,20246,1652719
47,1627788,20212,1656222
48,1627807,20382,1656448
49,1631381,22816,1662437
50,1633010,20653,1662256
51,1630880,20267,1659796
52,1631232,20104,1659762
53,1650510,20496,1679562
54,1674214,23134,1706162
55,1657270,20508,1686740
56,1668121,20418,1698021
57,1652177,20440,1681209
58,1649010,23448,1681403
59,1651565,20600,1680684
60,1664844,20344,1693817
61,1654307,20292,1683079
62,1657269,20073,1685416
63,1652047,23118,1683480
64,1844083,20455,1873297
65,1738657,22069,1770023
66,1683862,20924,1713693
67,1696177,23229,1727887
68,1682270,20473,1711001
69,1682233,20717,1711208
70,1705936,20516,1735008
71,1683955,20538,1712807
72,1675788,23917,1707853
73,1671455,20309,1700597
74,1679806,20497,1708211
75,1674659,20427,1703492
76,1675232,23435,1706963
77,1674603,20642,1703633
78,1672788,20553,1701489
79,1682992,20519,1712010
80,1683696,20355,1712217
81,1682510,22938,1713652
82,1686103,20423,1714636
83,1687047,20259,1715825
84,1682103,20244,1710569
85,1678769,23234,1709892
86,1686028,20811,1715025
87,1687066,20426,1715602
88,1694565,20429,1723217
89,1690751,20284,1719461
90,1690862,23329,1722673
91,1694880,20518,1723787
92,1691436,20447,1720438
93,1696584,20376,1725553
94,1694325,22162,1724839
95,1697324,20221,1726046
96,1702770,20299,1731549
97,1699399,20394,1728015
98,1697028,20305,1725630
99,1696862,22813,1727897
100,1713343,20372,1742234
101,1708158,20487,1737015
102,1745158,20138,1773462
103,1716009,23443,1747823
104,1710695,20427,1739400
105,1705139,20542,1733848
106,1714677,20286,1743129
107,1707658,20252,1736429
108,1713603,23631,1745789
109,1720177,20375,1748922
110,1719436,20323,1748221
111,1733825,20696,1762613
112,1737714,23723,1769825
113,1725028,20319,1753366
114,1731732,20396,1760480
115,1727806,20214,1756557
116,1728935,20199,1757987
117,1729213,22763,1760180
118,1724010,20211,1752424
119,1726862,20233,1755316
120,1736639,20162,1765227
121,1734306,23300,1765976
122,1734806,20396,1763368
123,1735676,20325,1764260
124,1731176,20384,1760078
125,1736862,20165,1764952
126,1741566,22710,1772312
127,1739732,20361,1768260
128,1813176,20291,1841578
129,1773398,20257,1802377
130,1744584,23284,1775923
131,1745473,20287,1774019
132,1749195,20198,1777633
133,1743362,20182,1771785
134,1745603,20408,1774714
135,1741640,22046,1772167
136,1749565,20512,1778374
137,1760954,20145,1789784
138,1762528,20371,1791510
139,1751880,23009,1783407
140,1748658,20716,1777540
141,1756083,20441,1784728
142,1763250,20241,1791732
143,1766825,20040,1795198
144,1766491,23437,1798058
145,1768176,20441,1796672
146,1772732,20222,1800879
147,1767862,20447,1796568
148,1768917,22919,1800206
149,1769343,20311,1797857
150,1769194,19999,1797657
151,1773861,20410,1802642
152,1780991,20209,1809608
153,1780528,22718,1811431
154,1785602,20314,1814156
155,1783565,20169,1811993
156,1776898,20153,1805293
157,1785843,22810,1817097
158,1813101,20480,1842489
159,1796583,20724,1825733
160,1802880,20635,1831959
161,1816880,20193,1846203
162,1801621,23350,1834007
163,1804250,20501,1833474
164,1799102,20319,1828310
165,1801528,20230,1830202
166,1801269,22776,1832674
167,1797065,20316,1825936
168,1794824,20430,1823532
169,1802769,20026,1831147
170,1804454,20233,1833020
171,1803306,22297,1833917
172,1834602,20282,1863309
173,1814694,20266,1843387
174,1812824,19936,1841112
175,1827436,23463,1859213
176,1820880,20096,1849420
177,1819250,20451,1848201
178,1821824,20251,1850630
179,1822009,20458,1850578
180,1820157,23392,1851846
181,1848250,20395,1877979
182,1829768,22991,1861297
183,1825936,20439,1854893
184,1819842,22873,1850938
185,1816120,20265,1844849
186,1817084,20343,1846111
187,1819324,20753,1848707
188,1815842,20442,1844692
189,1811695,23913,1844311
190,1812250,20213,1840815
191,1833305,20123,1861707
192,1823675,20293,1852210
193,1816936,23135,1848811
194,1814694,20268,1842907
195,1822342,20197,1850818
196,1814417,20534,1843154
197,1818139,20389,1846935
198,1817787,22860,1849036
199,1820731,20512,1849725
200,1819324,20145,1847691
201,1824324,20481,1853101
202,1811435,22712,1842480
203,1821027,20234,1849576
204,1858194,20755,1888061
205,1819602,22370,1850601
206,1824806,20447,1853641
207,1823805,23307,1855557
208,1821398,20311,1850190
209,1821972,20258,1850416
210,1829713,20243,1858160
211,1812269,23418,1843761
212,1824509,20625,1853190
213,1824842,20332,1853045
214,1811102,20539,1839678
215,1822343,20598,1850811
216,1814490,23291,1845671
217,1813694,20369,1841915
218,1814084,20187,1842400
219,1817621,20468,1846273
220,1817361,22643,1847985
221,1821250,20220,1849378
222,1811953,20149,1840362
223,1812325,20134,1840403
224,1832657,20137,1861702
225,1815306,23664,1847266
226,1813046,20334,1841343
227,1815602,20097,1843606
228,1814657,20637,1843443
229,1817287,23016,1848525
230,1814824,20075,1843065
231,1819157,20374,1847550
232,1818121,20359,1846387
233,1812898,20307,1841242
234,1812083,23315,1843528
235,1814620,20189,1842716
236,1822213,20414,1850757
237,1812546,20399,1841223
238,1814435,23574,1845972
239,1814232,20540,1843086
240,1813287,20451,1841886
241,1813417,20065,1842037
242,1812065,20013,1840374
243,1812269,23688,1843956
244,1817547,20154,1845700
245,1813787,20102,1842444
246,1817750,20346,1846318
247,1816213,23484,1847623
248,1813769,20432,1842182
249,1813861,20250,1842259
250,1832175,20327,1860855
251,1817435,20497,1846210
252,1820027,23265,1851589
253,1818195,20268,1846555
254,1815324,20123,1843391
255,1817102,20293,1845580
256,1816231,23079,1847385
257,1817639,20230,1846017
258,1814509,20141,1842799
259,1808454,20107,1836728
260,1816306,20407,1845157
261,1815435,23860,1847369
262,1811435,20363,1840002
263,1814935,20070,1843172
264,1818306,20184,1846786
265,1815861,23007,1846924
266,1817398,20270,1845835
267,1815824,20181,1843783
268,1810731,20147,1838841
269,1816232,20317,1844993
270,1814639,23233,1845742
271,1820027,20384,1848412
272,1816768,20239,1845230
273,1945694,20965,1978233
274,1843824,32510,1885612
275,1839621,21495,1870300
276,1836064,22572,1867748
277,1828862,20520,1858307
278,1827046,20319,1856032
279,1826750,24161,1859411
280,1823399,20368,1851896
281,1833305,20279,1861714
282,1823602,20115,1852180
283,1815565,23790,1847837
284,1826583,20183,1855136
285,1823121,20260,1852177
286,1823343,20485,1852217
287,1825824,20563,1854609
288,1816269,23479,1848136
289,1821750,20204,1850028
290,1824102,20355,1852587
291,1824343,20136,1852701
292,1821491,24386,1854284
293,1826027,20259,1854194
294,1823658,20262,1851864
295,1816102,20432,1844442
296,1841102,20288,1869778
297,1827787,23518,1859509
298,1825176,20484,1853753
299,1823195,20080,1851441
300,1827324,20269,1855815
301,1819787,23166,1851027
302,1817620,19965,1845771
303,1815805,20543,1844589
304,1820231,20268,1848722
305,1824398,20216,1852892
306,1814843,23798,1846808
307,1824102,20283,1852700
308,1823639,20416,1852277
309,1821787,20179,1849855
310,1821787,23946,1854048
311,1821213,20561,1850311
312,1814916,20138,1843407
313,1819435,20197,1847928
314,1818750,20459,1847061
315,1816509,23838,1848310
316,1822361,20378,1851184
317,1816973,20271,1845446
318,1834306,23533,1866635
319,1821102,24819,1854328
320,1819176,20082,1847591
321,1822917,20252,1851391
322,1821194,20273,1849894
323,1818009,20295,1846879
324,1816269,24118,1848591
325,1822565,20122,1851242
326,1813676,20421,1842356
327,1821269,20239,1849693
328,1819342,23229,1850757
329,1823547,20584,1852631
330,1817916,20254,1846578
331,1821083,20276,1849674
332,1821305,20279,1850196
333,1819361,23028,1850593
334,1816787,20476,1845671
335,1816954,20109,1845322
336,1827657,20186,1856251
337,1814806,23010,1846185
338,1812547,20328,1841189
339,1819583,20164,1848155
340,1819842,20075,1848640
341,1858176,20226,1886958
342,1880046,23735,1912077
343,1868102,24405,1900636
344,1867084,19038,1894213
345,1864731,22393,1895605
346,1866694,23401,1898373
347,1865546,24960,1899173
348,1869675,25019,1903176
349,1861306,21818,1891494
350,1866139,21859,1896108
351,1864046,23034,1895209
352,1864306,21926,1894509
353,1866657,20466,1895345
354,1860175,22840,1891256
355,1870305,22885,1901431
356,1859768,17629,1885397
357,1865916,22892,1897308
358,1863897,21099,1893645
359,2336470,20713,2366331
360,1880212,415923,2304876
361,1869287,23891,1901419
362,1868917,20320,1897181
363,1866306,25490,1900370
364,1871750,23684,1903897
365,1870342,20872,1899678
366,1866750,18357,1893736
