iter,compute_ns,wake_lag_ns,e2e_ns
0,2142303,794484,2953046
1,1538621,27823,1576500
2,1515028,21473,1546261
3,1510584,21234,1542078
4,1485807,23334,1518011
5,1528843,20484,1558142
6,1498325,20745,1527756
7,1499195,20747,1528517
8,1508769,21360,1538389
9,1550621,21960,1580951
10,1525769,20517,1554546
11,1527269,21334,1557215
12,1542806,20410,1571846
13,1539177,22955,1570613
14,1546158,20827,1575466
15,1546566,20292,1575042
16,1576695,20349,1605248
17,1597880,20518,1627231
18,1587250,22192,1617313
19,1571732,20435,1600444
20,1580066,20511,1608909
21,1580344,20531,1608985
22,1586046,22020,1616326
23,1593157,20392,1621531
24,1599768,20839,1628830
25,1601954,20229,1630369
26,1608306,20287,1636685
27,1608751,22331,1639304
28,1617065,20315,1645676
29,1615417,20261,1643937
30,1612435,20504,1640865
31,1613398,21604,1642891
32,1696898,20513,1725689
33,1631417,20422,1660284
34,1628158,20498,1656971
35,1637379,20371,1665824
36,1631194,22989,1662721
37,1629325,20472,1658315
38,1630917,20345,1659743
39,1627102,20310,1656060
40,1650454,23187,1681882
41,1640657,20449,1669402
42,1640657,20376,1669423
43,1641102,20267,1669425
44,1641472,20288,1670075
45,1632065,21999,1662434
46,1630528,20482,1659288
47,1629213,20466,1657808
48,1640010,20319,1668718
49,1636028,21956,1666281
50,1643546,20532,1672208
51,1641287,20238,1669710
52,1640009,20629,1668675
53,1650824,20297,1679566
54,1649990,22786,1681092
55,1647324,21510,1677038
56,1644361,20235,1672818
57,1649916,20236,1678635
58,1650639,23244,1681864
59,1672472,20375,1701718
60,1657527,20414,1686220
61,1668028,20231,1696685
62,1663306,20381,1692205
63,1659009,22463,1689768
64,1858323,20187,1886991
65,1723398,21800,1753809
66,1684083,20357,1713403
67,1717972,22865,1749707
68,1676510,20293,1706005
69,1685880,20443,1714989
70,1697194,20648,1726528
71,1684805,20687,1713696
72,1681936,23232,1713611
73,1677990,20530,1706965
74,1687861,20439,1716411
75,1689898,20274,1718728
76,1685065,23486,1717050
77,1682417,20432,1710904
78,1684676,20397,1713739
79,1692935,20306,1721963
80,1693491,20401,1722150
81,1693287,23223,1724954
82,1808416,20965,1840622
83,1720195,20375,1749328
84,1708250,20432,1737015
85,1700361,24180,1732967
86,1703343,20645,1732080
87,1703583,20332,1731878
88,1703176,20427,1731751
89,1713731,20188,1742419
90,1704361,22788,1735334
91,1699935,20475,1728743
92,1710009,21125,1739319
93,1708731,20849,1737618
94,1705269,22820,1736514
95,1708139,20470,1736942
96,1710120,20546,1738758
97,1708972,20325,1737446
98,1709157,20531,1737855
99,1716676,22927,1747844
100,1714842,20207,1743086
101,1717583,20505,1746199
102,1750101,20359,1778534
103,1722342,23570,1754098
104,1720620,20165,1748914
105,1740934,20500,1769731
106,1727972,20094,1756103
107,1726546,20411,1754865
108,1727934,23622,1759853
109,1736008,20420,1764559
110,1731972,20330,1760228
111,1730860,20221,1759137
112,1731990,23191,1763274
113,1732213,20211,1760665
114,1735342,20269,1763759
115,1742694,20141,1770817
116,1742879,20310,1771374
117,1737101,23280,1768696
118,1742083,20671,1770809
119,1736491,20432,1764848
120,1738379,19990,1766406
121,1743046,23145,1774210
122,1747120,20777,1776045
123,1751601,20427,1779936
124,1748064,20577,1776419
125,1747639,20394,1776199
126,1758176,23679,1789539
127,1755528,20366,1783782
128,1829841,20294,1858098
129,1794620,20184,1822804
130,1757231,23840,1789312
131,1759268,20472,1787536
132,1765750,20233,1794056
133,1760101,20068,1788373
134,1763138,20403,1791653
135,1770786,23577,1802456
136,1771824,20190,1800143
137,1772934,20452,1801553
138,1774823,20379,1803221
139,1772453,23220,1803914
140,1768731,20278,1797434
141,1776990,20150,1805566
142,1777601,20392,1806031
143,1785583,20339,1814051
144,1780564,24013,1812725
145,1786324,20607,1814912
146,1786861,20517,1815340
147,1788638,20389,1816861
148,1789805,23563,1821331
149,1792730,20435,1821462
150,1801898,20289,1830298
151,1844878,20513,1873781
152,1815620,20441,1844450
153,1803934,23467,1835698
154,1796287,20284,1824848
155,1797545,20230,1825868
156,1793638,20306,1822037
