iter,compute_ns,wake_lag_ns,e2e_ns
0,1912818,35017676,36951883
1,1482932,34015086,35507537
2,1454933,32554055,34017302
3,1458765,31060450,32527401
4,1468025,30569660,32045536
5,1480266,29086166,30574709
6,1481117,27617060,29106289
7,1488488,26148696,27645406
8,1489562,24686276,26184115
9,1502451,24225134,25735954
10,1541358,22776676,24326293
11,1522488,21371237,22901836
12,1521080,19944021,21473378
13,1523247,19514952,21046347
14,1526247,18087180,19621297
15,1559672,16661574,18229173
16,1550784,15274691,16833733
17,1550672,13877233,15435776
18,1552895,13478738,15039577
19,1553672,12082799,13644490
20,1561006,10686897,12255699
21,1568710,9297995,10874538
22,1571320,8916963,10496172
23,1577043,7539135,9124307
24,1580802,6166048,7754664
25,1587209,4796349,6391466
26,1591950,3433650,5033508
27,1593598,3075766,4677327
28,1596857,1719346,3324443
29,1597191,366628,1971763
30,1617005,25440,1650612
31,1609134,22757,1639910
32,1623468,20565,1651848
33,1627543,21244,1657046
34,1622060,20257,1650540
35,1620579,20251,1648607
36,1625228,22586,1655906
37,1620727,20154,1649159
38,1622616,20314,1650745
39,1631783,20123,1659869
40,1628912,22606,1659815
41,1629153,20285,1657476
42,1633079,20298,1661470
43,1631376,20069,1659574
44,1641580,20230,1670013
45,1633413,22380,1663589
46,1628264,20244,1656361
47,1658801,20479,1687187
48,1645282,20380,1673774
49,1640190,21975,1670091
50,1656764,20302,1684918
51,1647598,20592,1676171
52,1640376,20401,1669276
53,1655523,20950,1684548
54,1651431,22711,1682142
55,1646227,20076,1674395
56,1653023,20718,1681760
57,1652820,20341,1681309
58,1643468,22158,1673533
59,1667764,20689,1697027
60,1657005,20405,1685799
61,1657190,20584,1685792
62,1663487,20189,1691860
63,1653338,22469,1683862
64,2090168,20259,2118816
65,1709875,23845,1742627
66,1681486,20135,1709640
67,1715246,21786,1745494
68,1695004,20502,1723784
69,1689597,20329,1718241
70,1710912,20674,1740068
71,1695949,20224,1724376
72,1682079,23059,1713008
73,1682838,20331,1711076
74,1687616,20214,1715996
75,1692467,20374,1720860
76,1681931,22450,1712621
77,1686986,20148,1715189
78,1690652,20216,1719294
79,1689153,20321,1717770
80,1689560,20092,1717560
81,1693894,21816,1723451
82,1695856,20162,1723759
83,1698930,20656,1727623
84,1694226,20094,1722340
85,1697801,22170,1728175
86,1706283,20479,1734613
87,1699874,20325,1728163
88,1703689,20448,1732323
89,1705060,20349,1733613
90,1721245,22333,1751615
91,1720393,20456,1748942
92,1713597,20117,1741658
93,1721245,20314,1749597
94,1713523,23391,1745450
95,1708671,20551,1737204
96,1715041,20100,1743086
97,1715226,20187,1743228
98,1709264,20255,1737518
99,1714153,22664,1744539
100,1719948,20195,1748311
101,1722838,20152,1751101
102,1758337,20238,1786613
103,1736152,24277,1769078
104,1725745,20271,1754053
105,1735856,21117,1765084
106,1721319,20074,1749226
107,1721856,20049,1749683
108,1727393,22125,1757370
109,1729837,20175,1758345
110,1731060,20113,1759006
111,1729559,20477,1758370
112,1738171,21757,1767761
113,1738745,20066,1766773
114,1743504,20078,1771934
115,1742412,20257,1770613
116,1740764,20103,1769070
117,1742615,22827,1773535
118,1739022,20061,1766899
119,1740097,20315,1768411
120,1748301,20234,1776275
121,1744874,21922,1774703
122,1747763,20286,1775901
123,1751004,20168,1778821
124,1746467,20440,1774666
125,1756522,20119,1784568
126,1749875,23862,1781699
127,1751337,21170,1780397
