iter,compute_ns,wake_lag_ns,e2e_ns
0,1916052,20942,1958087
1,1496253,26059,1532664
2,1468049,20806,1497800
3,1497179,20682,1527843
4,1484919,22365,1516841
5,1483513,20816,1513365
6,1496531,20581,1526334
7,1494031,20550,1523044
8,1494401,20353,1523328
9,1507567,21591,1537955
10,1511846,21060,1541517
11,1526198,20511,1555338
12,1529123,20554,1558363
13,1527457,21941,1557935
14,1534198,20410,1563089
15,1541531,20341,1570354
16,1561476,20792,1591009
17,1558587,20446,1587792
18,1557309,21555,1587031
19,1557550,20506,1586630
20,1598884,20215,1628562
21,1578420,20370,1607531
22,1574642,22682,1606640
23,1587957,20225,1617035
24,1593957,20213,1623059
25,1595161,20330,1624288
26,1597939,20336,1627423
27,1604291,23001,1636051
28,1597958,20155,1626816
29,1605365,20365,1634563
30,1605439,20519,1634365
31,1602605,22128,1633419
32,1625161,20282,1654221
33,1620495,20547,1649801
34,1630661,20294,1659770
35,1629273,20448,1658462
36,1625143,22724,1656534
37,1622921,20434,1652132
38,1622068,20421,1651712
39,1623162,20483,1652385
40,1625736,22536,1657124
41,1629865,20302,1658741
42,1629921,20289,1659006
43,1634050,20277,1662938
44,1631236,20357,1660500
45,1634292,22188,1665368
46,1660735,20546,1691411
47,1638032,20385,1667288
48,1639087,20595,1668960
49,1650791,22334,1681829
50,1643088,20525,1672520
51,1737218,20420,1768175
52,1687495,20592,1717458
53,1672865,20487,1702927
54,1653903,23837,1686758
55,1652310,20269,1681172
56,1652662,20423,1681918
57,1654384,20429,1683702
58,1661495,22964,1693441
59,1665421,20600,1695040
60,1651347,20365,1680545
61,1653625,20334,1682107
62,1660995,20303,1690076
63,1652940,22968,1684667
64,1857774,20270,1887767
65,1731552,21443,1762624
66,1697403,20616,1727778
67,1719403,22836,1752535
68,1696125,20619,1727004
69,1697700,20607,1727973
70,1713699,20391,1743923
71,1681717,20212,1711522
72,1685199,23247,1717390
73,1685476,20419,1715155
74,1678810,20481,1708458
75,1683996,20320,1713204
76,1684607,22948,1716573
77,1683032,20287,1711931
78,1682866,20460,1712585
79,1682143,20558,1711554
80,1690940,20287,1719967
81,1689773,22618,1721391
82,1695236,20420,1725249
