ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784658821,0.59,266860,3609028,36511
1784658822,0.59,286800,3588792,36511
1784658823,0.70,293784,3581556,36998
1784658824,0.70,293076,3582516,36024
1784658825,0.70,292352,3583684,36024
1784658826,0.70,291668,3583924,35537
1784658827,0.70,299896,3575696,36998
1784658828,0.81,300084,3575508,36998
1784658830,0.81,299716,3575876,36511
1784658831,0.81,299804,3575788,36998
1784658832,0.81,299036,3577148,36024
1784658833,0.90,298500,3577092,36511
1784658834,0.90,297268,3578620,36511
1784658835,0.90,296820,3578520,36998
1784658836,0.90,296040,3579300,35537
1784658837,0.90,295752,3579692,37972
1784658838,1.07,294636,3581000,36511
1784658839,1.07,294032,3581412,37972
1784658840,1.07,293428,3582608,36024
1784658841,1.07,293164,3582872,36511
1784658842,1.07,292724,3582616,36511
1784658843,1.23,292728,3582968,37485
1784658844,1.23,292000,3583652,37485
1784658845,1.23,291548,3584044,37972
1784658846,1.23,291440,3584300,37972
1784658847,1.29,290776,3584816,36511
1784658848,1.29,290980,3585056,36998
1784658850,1.29,290992,3585044,37485
1784658851,1.29,290508,3584832,36998
1784658852,1.29,290612,3585572,36511
1784658853,1.27,290716,3585024,37972
1784658854,1.27,290968,3584120,38459
1784658855,1.27,291220,3584372,37972
1784658856,1.27,291212,3584800,36998
1784658857,1.27,291044,3584296,37972
1784658858,1.16,291296,3584296,36998
1784658859,1.16,291112,3584228,37972
1784658860,1.16,291216,3584376,37972
1784658861,1.16,291072,3584520,37485
1784658862,1.16,291020,3584572,37972
1784658863,1.15,290888,3584704,37485
1784658864,1.15,290888,3584452,36998
1784658865,1.15,291392,3584200,36998
1784658866,1.15,291496,3584096,37972
1784658867,1.14,291244,3584096,36998
1784658869,1.14,291348,3584244,37972
1784658870,1.14,291032,3584560,36998
1784658871,1.14,291284,3584308,36998
1784658872,1.14,290760,3585276,37485
1784658873,1.21,290820,3584772,36511
1784658874,1.21,290924,3584668,36998
1784658875,1.21,290820,3584772,38459
1784658876,1.21,290820,3584772,37485
