ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784657525,0.42,272592,3603296,36024
1784657526,0.42,293416,3582176,36998
1784657527,0.71,292216,3583376,37485
1784657528,0.71,292136,3583456,37485
1784657529,0.71,291544,3584048,36511
1784657530,0.71,290772,3584820,36998
1784657531,0.71,290024,3585316,36998
1784657532,1.05,289560,3586032,37485
1784657533,1.05,287844,3587748,37485
1784657534,1.05,287816,3587924,37972
1784657535,1.05,287776,3587816,37485
1784657536,1.05,287988,3587604,37485
1784657537,1.29,287580,3588012,38459
1784657538,1.29,287432,3588308,37485
1784657539,1.29,286816,3588776,38946
1784657540,1.29,285312,3590428,38459
1784657541,1.29,285340,3590696,37972
1784657542,1.50,284360,3591232,37972
1784657543,1.50,284604,3590988,38459
1784657544,1.50,284080,3591660,37972
1784657546,1.50,282948,3592392,38459
1784657547,1.70,282992,3593044,38946
1784657548,1.70,282740,3593364,37972
1784657549,1.70,282480,3592756,37972
1784657550,1.70,282524,3593068,37972
1784657551,1.70,282312,3593280,37485
1784657552,1.89,282020,3593320,36998
