ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784668487,2.27,283764,3591828,36024
1784668488,2.27,292076,3583524,36998
1784668490,2.27,295508,3580084,37972
1784668491,2.09,294672,3580920,38459
1784668492,2.09,293768,3581884,37485
1784668493,2.09,292312,3583576,37972
1784668494,2.09,291448,3584336,37485
1784668495,2.09,290156,3585392,38459
1784668496,1.92,289792,3586328,38459
1784668497,1.92,288920,3586776,37972
1784668498,1.92,287868,3587872,36998
1784668499,1.92,287312,3588028,37972
1784668500,1.92,286780,3589440,38459
1784668501,2.01,284972,3590756,38459
1784668502,2.01,284504,3591088,38459
1784668503,2.01,284320,3591084,37972
1784668504,2.01,283760,3591832,38459
1784668505,2.01,283520,3592072,38459
1784668506,2.17,283624,3592116,38946
1784668507,2.17,283284,3592308,38459
1784668509,2.17,282884,3592708,38459
1784668510,2.17,282372,3593220,38946
1784668511,2.07,281928,3593412,37972
1784668512,2.07,282088,3593800,37485
1784668513,2.07,282036,3593556,37972
1784668514,2.07,281944,3593648,38459
1784668515,2.07,281840,3594048,38946
1784668516,1.91,281712,3594176,38459
1784668517,1.91,281372,3594220,38459
1784668518,1.91,280056,3595536,38459
1784668519,1.91,279824,3595828,38459
1784668520,1.91,283292,3592300,38459
1784668521,1.83,283544,3592048,38459
1784668522,1.83,283544,3592048,37972
1784668523,1.83,283544,3591796,38459
1784668524,1.83,283292,3592300,38459
1784668525,1.83,283544,3592048,37485
1784668526,1.85,283144,3592448,37485
1784668528,1.85,283292,3592048,37485
1784668529,1.85,283544,3592048,38459
1784668530,1.85,283544,3592048,37972
1784668531,1.70,283648,3591692,38946
1784668532,1.70,283504,3591836,37972
1784668533,1.70,283652,3591940,38459
1784668534,1.70,283156,3591932,38459
1784668535,1.70,283660,3591932,38459
1784668536,1.64,283660,3591680,38459
1784668537,1.64,283868,3592168,38459
1784668538,1.64,283612,3591980,38946
1784668539,1.64,283364,3592228,38946
1784668540,1.64,283112,3592228,38459
1784668541,1.59,283484,3592108,37972
1784668542,1.59,283484,3592108,37972
