iter,compute_ns,wake_lag_ns,e2e_ns
0,1440630,21574,1483092
1,1090167,21148,1121888
2,1065575,20703,1095518
3,1072074,21000,1102463
4,1069981,22388,1101240
5,1081871,21314,1112463
6,1087797,21148,1118574
7,1086888,20722,1117277
8,1094037,20740,1124018
9,1095407,22370,1127277
10,1101833,20759,1132185
11,1109796,20888,1140425
12,1109648,20666,1140000
13,1111185,21944,1142351
14,1115630,20740,1145481
15,1145593,20944,1176944
16,1136649,21092,1166907
17,1132019,21425,1163185
18,1135518,22481,1167722
19,1141148,21000,1171685
20,1141389,21351,1172185
21,1140574,20925,1170925
22,1139241,22222,1170722
23,1146092,21240,1176481
24,1137889,20833,1167962
25,1136908,20833,1166518
26,1147925,20759,1177722
27,1148333,22462,1179500
28,1147314,20907,1177185
29,1156944,20888,1186648
30,1157407,20722,1187037
31,1154314,21851,1185166
32,1162463,20666,1191870
33,1159056,20685,1188722
34,1159666,20611,1189222
35,1162593,20777,1192296
36,1162148,22333,1193166
37,1163018,20759,1192481
38,1212240,21111,1244722
39,1176945,20796,1207537
40,1168722,22981,1200703
41,1175222,20814,1205388
42,1167870,20722,1197481
43,1175759,21462,1206296
44,1185870,20574,1215629
45,1173833,22129,1205499
46,1176148,21425,1206759
47,1171685,20814,1201777
48,1170611,20648,1200407
49,1180630,22314,1211740
50,1180426,20759,1210296
51,1177500,20740,1207240
52,1178352,20944,1208074
53,1177186,20685,1206055
54,1177852,22036,1208685
55,1192593,20722,1222740
56,1181704,20685,1211574
57,1182870,20759,1212333
58,1182908,22333,1214185
59,1190056,20777,1219518
60,1190037,20925,1219999
61,1237241,20796,1268666
62,1204889,21036,1235185
63,1194425,22425,1225370
64,1205815,20574,1234851
65,1207796,20555,1236611
66,1207370,21222,1237907
67,1203018,22036,1233981
68,1204389,20555,1233555
69,1203592,21629,1233796
70,1199463,20981,1229518
71,1202685,20833,1232203
72,1193296,22907,1225111
73,1204222,20925,1233425
74,1203926,20703,1233648
75,1208407,20629,1237777
76,1205796,22592,1237111
77,1205852,20573,1234740
78,1210555,20685,1240203
79,1202926,20666,1231999
80,1208130,20722,1237907
81,1215185,22018,1246148
82,1206574,20629,1236277
83,1209518,20462,1238759
84,1208537,20555,1237888
85,1208389,22036,1238833
86,1208463,20796,1238833
87,1210741,20777,1240018
88,1211223,20611,1240944
89,1214667,21573,1244962
90,1212871,22314,1244388
91,1213500,20777,1243111
92,1220907,21148,1251296
93,1219814,20685,1249148
