iter,compute_ns,wake_lag_ns,e2e_ns
0,431845,21405,465029
1,260148,21160,284382
2,249925,20971,273822
3,244517,21689,268910
4,246610,21407,270628
5,245851,20569,269235
6,244147,20935,267656
7,244535,20727,267856
8,246555,20593,269777
9,245980,20571,269162
10,246943,21196,270899
11,246851,20673,270339
12,246110,21206,269853
13,252018,22165,277146
14,247888,21864,272419
15,248832,20379,271729
16,250832,20671,274133
17,249961,20481,273054
18,250832,20662,274050
19,251684,20656,274914
20,252313,20558,275445
21,250813,20681,274069
22,251906,20620,275119
23,252906,21632,277076
24,254740,21626,278959
25,259480,20472,282527
26,260499,20337,283410
27,258721,20423,281775
28,257054,20399,280046
29,256740,20560,279837
30,256128,20406,279090
31,256740,20381,279658
32,256203,20357,279078
33,254777,21480,278720
34,255202,21141,278881
35,255036,20246,277856
36,255573,20388,278499
37,256202,20660,279363
38,255591,20414,278487
39,255869,20389,278759
40,256499,20365,279419
41,254776,20470,277784
42,256980,20501,280000
43,254462,21365,278457
44,254981,21285,278840
45,254851,20576,278130
46,254740,20459,277791
47,255499,20508,278655
48,254536,20410,277649
49,255110,20589,278292
50,255351,20490,278508
51,254851,20466,278002
52,255110,20516,278292
53,253629,21195,277453
54,255221,21059,279003
55,254351,20257,277293
56,254295,20381,277398
57,254554,20319,277577
58,255054,20498,278201
59,255147,20289,278140
60,254721,20357,277745
61,254907,20370,277924
62,255351,20475,278474
63,254962,21043,278672
64,254573,21130,278369
65,255517,20457,278697
66,255518,20451,278654
67,254833,20538,278055
68,255351,20458,278512
69,255333,20433,278321
70,254776,20501,277871
71,255036,20384,278068
72,255480,20471,278507
73,254092,21076,277816
74,255388,21515,279421
75,254369,20360,277322
76,256092,20836,279409
77,312355,25460,341833
78,284241,21232,309270
79,272611,20948,297337
80,266315,20720,290016
81,256351,20491,279713
82,256592,21745,281355
83,255369,21146,279034
84,255610,20622,279028
85,254184,20486,277356
86,255073,20573,278164
87,256628,20456,279733
88,254721,20542,277912
89,254999,20518,278202
90,254703,20327,277548
91,254721,20710,277987
92,253665,21334,277481
93,254073,21235,277827
94,254851,20692,278228
95,254943,20445,278018
96,254277,20773,277624
97,255332,20507,278581
98,254350,20427,277408
99,253906,20440,276828
100,255128,20434,278081
101,255591,20595,278686
102,254721,20978,278292
103,253777,21120,277656
104,255832,20410,278854
105,254221,20553,277348
106,255665,21232,279546
107,254240,20559,277410
108,256240,20368,279145
109,255147,20362,278065
110,254332,20486,277522
111,254999,20535,278220
112,253665,21307,277417
113,273241,23487,300376
114,257999,20610,281202
115,255259,20363,278400
116,255591,20746,278894
117,256203,20426,279166
118,254999,20549,278048
119,255258,20284,278228
120,254795,20500,277833
121,255388,20457,278401
122,254092,21359,278043
123,254925,20964,278463
124,254036,20217,276902
125,254665,20248,277636
126,254925,20650,278279
127,254795,20255,277754
128,253888,20638,277267
129,254518,20725,278057
130,255666,20423,278736
131,253888,20528,277082
132,254202,21318,277984
