iter,compute_ns,wake_lag_ns,e2e_ns
0,1460889,45204,1527537
1,1114056,586926,1712334
2,1094537,759241,1863389
3,1094370,907297,2011204
4,1096075,1053630,2158704
5,1102648,1200037,2311537
6,1112203,1353019,2474519
7,1112926,1517019,2639130
8,1115000,1680519,2804648
9,1122129,1846352,2977315
10,1127722,2017593,3154519
11,1133000,2195167,3337222
12,1135685,2377167,3521797
13,1133093,3562241,4704445
14,1138130,3744334,4891334
15,1145611,3931519,5085926
16,1150389,4126297,5285685
17,1144370,4326037,5479185
18,1147704,4520760,5677315
19,1155074,4718204,5881945
20,1163111,4924426,6096463
21,1162426,5137667,6308889
22,1162240,5349574,6520834
23,1164444,5560963,6734037
24,1161777,5774019,6944445
25,1162111,5984926,7155945
26,1171611,6195278,7375630
27,1175296,7415778,8599797
28,1173018,7639963,8821519
29,1177407,7861834,9048093
30,1180223,8087889,9277185
31,1178426,8317297,9504648
32,1188703,8544241,9741759
33,1187482,8783185,9979389
34,1182963,9020445,10212241
35,1185055,9253648,10447648
36,1210185,9488648,10707871
37,1195481,9753037,10957352
38,1192130,9999778,11200630
39,1189537,10242926,11441222
40,1190611,11483408,12682704
41,1196555,11724371,12929908
42,1192518,11971815,13173278
43,1195482,12214630,13418852
44,1201296,12460908,13670945
45,1197851,12712352,13919445
46,1202907,12961334,14172741
47,1197704,13214945,14421278
48,1196167,13462074,14667000
49,1202574,13708093,14919093
50,1204260,13959630,15172519
51,1205555,14213371,15427463
52,1202056,14468630,15679482
53,1201315,14720574,15930056
54,1205241,15971074,17185093
55,1206593,16226074,17441019
56,1206722,16481482,17697000
57,1208555,16736963,17953519
58,1211500,16993389,18213556
59,1214889,17253537,18476685
60,1213186,17516945,18739056
61,1210593,17779648,18997945
62,1211463,18037982,19258037
63,1209333,18299334,19517185
64,1221352,18557815,19787630
65,1222333,18828722,20059371
66,1223685,19100852,20333334
67,1225407,20374704,21608963
68,1224240,20650037,21883241
69,1220982,20924148,22153889
70,1223815,21195056,22427519
71,1224815,21468630,22701926
72,1220370,21742834,22971834
73,1223907,22012871,23244759
74,1230759,22286222,23526037
75,1232222,22567982,23809074
76,1227574,22850648,24087037
77,1227963,23128408,24364315
78,1230723,23404574,24644093
79,1226482,23684519,24919148
80,1236685,23960074,25205482
81,1237537,25247426,26493408
82,1231389,25535185,26775408
83,1230815,25816945,27056241
84,1235760,26097926,27342519
85,1233870,26383685,27626222
86,1233019,26667315,27909667
87,1235723,26950445,28194630
88,1234612,27235982,28479482
89,1234944,27520278,28763741
90,1234333,27804500,29048241
91,1237037,28088815,29334834
92,1240778,28375704,29625778
93,1249722,28667889,29926759
94,1242667,29969408,31221185
95,1239148,30262796,31510241
96,1244037,30552389,31805926
97,1243537,30847500,32099463
98,1243241,31140408,32392704
99,1243574,31433371,32685111
100,1248074,31725685,32982537
101,1242334,32023463,33274519
102,1338037,32315278,33661630
103,1303870,32705556,34018222
104,1302018,33059352,34370408
105,1303056,33411482,34723204
106,1303814,33764093,35077056
107,1305574,34118685,35433334
108,1310648,35474630,36794537
109,1307445,35837389,37153463
110,1304315,36195259,37508537
111,1308982,36549611,37867074
112,1306019,36908056,38223111
113,1306000,37264537,38579222
114,1307815,37620408,38937111
115,1301611,37978352,39288463
116,1309982,38328945,39647556
117,1320241,38689463,40018148
118,1315185,39059926,40383889
119,1312112,39425445,40746445
120,1320482,39787908,41117204
121,1317093,41159148,42485093
122,1322241,41527519,42858908
123,1318296,41900593,43228019
124,1318426,42269667,43597426
125,1317945,42639778,43966704
126,1321686,43008333,44339093
127,1318148,43380482,44707426
128,1418630,43748445,45176759
129,1326019,44226574,45562667
130,1294259,44607519,45911130
131,1291018,44955130,46255833
132,1283315,45298908,46591037
133,1290370,45632815,46932296
134,1301204,45976408,47286815
135,1283259,47330408,48622778
136,1286519,47665259,48960315
137,1284204,48002556,49295630
138,1312889,48337889,49659574
139,1286129,48702833,49997778
140,1285519,49039278,50333648
141,1287611,49375556,50671926
142,1297649,49753445,51060167
143,1287055,50102519,51398648
144,1288260,50440833,51737296
145,1287074,50779945,52075722
146,1291111,51117333,52416741
147,1291592,51458148,52758482
148,1291500,52800315,54100389
149,1293796,53141593,54444037
150,1292500,53485037,54786074
151,1293481,53827204,55129130
152,1299019,54170278,55478056
153,1298759,54520056,55827500
154,1299537,54869704,56178241
155,1300370,55219371,56528630
156,1299463,55570611,56878852
157,1303370,55920000,57231852
158,1301833,56272945,57583482
159,1301666,56625037,57935389
160,1297963,56976389,58282982
161,1303203,57324333,58635926
162,1304389,58676482,59988945
163,1303778,59029704,60341908
164,1307389,59383667,60699722
165,1305686,59741093,61055074
166,1304648,60096611,61409852
167,1312074,60450815,61771482
168,1311703,60813741,62133815
169,1312166,61175259,62496241
170,1307000,61537667,62853093
171,1311833,61895296,63215463
172,1310944,62257519,63576833
173,1313815,62618889,63941148
174,1312704,62983445,64304574
175,1313630,64345278,65667037
176,1315370,64708148,66032111
177,1315037,65073519,66397093
178,1319223,65438500,66766445
179,1326315,65808630,67143852
180,1320630,66186796,67516093
181,1321167,66557370,67886796
182,1321907,66928667,68259111
183,1320815,67301333,68630759
184,1324037,67672741,69005093
185,1319167,68046537,69374241
186,1322203,68416093,69746889
187,1326945,68787741,70123278
188,1320981,69163889,70493370
189,1327796,70534648,71871056
190,1323871,70912815,72245333
191,1328055,71287537,72624463
192,1327574,71666093,73001852
193,1327926,72043056,73380056
