ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784668420,2.12,273844,3602180,36511
1784668421,2.12,294792,3580800,36998
1784668423,2.12,293640,3581952,36998
1784668424,2.12,293508,3582084,37972
1784668425,2.12,293508,3582084,38459
1784668426,2.27,292964,3582628,37972
1784668427,2.27,292412,3583180,37485
1784668428,2.27,291068,3584524,37485
1784668429,2.27,290352,3585240,37972
1784668430,2.27,289828,3585764,38946
1784668431,2.57,289084,3586508,38459
1784668432,2.57,288104,3587488,37972
1784668433,2.57,286384,3591520,38459
1784668434,2.57,283420,3592172,38946
1784668435,2.57,282692,3592900,38459
1784668436,2.68,282384,3593208,38946
1784668437,2.68,281808,3593784,38946
1784668438,2.68,281488,3594104,38946
1784668439,2.68,281156,3594688,38946
1784668440,2.79,280688,3594904,38459
1784668442,2.79,280000,3595340,38946
1784668443,2.79,280264,3595328,38946
1784668444,2.79,280212,3595380,38946
1784668445,2.79,280036,3596000,38459
1784668446,2.89,279900,3595988,38946
1784668447,2.89,279940,3595652,37972
1784668448,2.89,279904,3595984,38459
1784668449,2.89,279544,3596048,38946
