iter,compute_ns,wake_lag_ns,e2e_ns
0,1433408,22259,1476722
1,1076481,24092,1111167
2,1051908,156537,1217389
3,1059537,21759,1090981
4,1058944,132055,1199963
5,1072019,21018,1101981
6,1072371,142592,1224407
7,1081834,22278,1114037
8,1078371,153574,1241129
9,1085093,21852,1116796
10,1091463,156944,1257741
11,1095611,21574,1126833
12,1100185,166074,1275259
13,1102408,21759,1133129
14,1100444,172648,1281833
15,1105704,21185,1135944
16,1122241,175018,1306315
17,1121371,22611,1153537
18,1113426,196481,1319241
19,1119185,21592,1150092
20,1122741,189944,1321722
21,1124259,21389,1154926
22,1124111,193370,1326778
23,1129370,21481,1160352
24,1124944,199241,1333259
25,1122204,21463,1152500
26,1130130,192333,1331463
27,1134259,21204,1164555
28,1138500,204778,1352315
29,1140129,21704,1170926
30,1141408,210722,1360852
31,1137074,20889,1166963
32,1150130,21463,1180315
33,1146852,219815,1375685
34,1139241,21259,1169204
35,1141703,207074,1357611
36,1139722,21092,1169778
37,1148500,207852,1364944
38,1153259,23611,1186204
39,1147314,225222,1381815
40,1146648,21315,1176592
41,1150074,215500,1374833
42,1150667,21370,1181074
43,1151481,220000,1380389
44,1155629,21852,1186352
45,1152278,225407,1386815
46,1150685,21278,1180463
47,1152649,219741,1381074
48,1155463,21537,1185648
49,1161130,223222,1392815
50,1161852,21500,1192333
51,1161186,230148,1400074
52,1156945,21241,1187148
53,1159981,225204,1393611
54,1161648,22407,1192741
55,1163778,231481,1403926
56,1164722,21259,1194629
57,1165575,233204,1406944
58,1170037,21259,1199889
59,1171167,238000,1417666
60,1172666,21592,1203166
61,1169074,241481,1418963
62,1168185,21407,1198389
63,1171703,237778,1417703
64,1179593,21574,1209500
65,1188778,21741,1219166
66,1187593,259426,1455981
67,1184445,21555,1214574
68,1182630,254907,1446000
69,1183314,21203,1212778
70,1184611,252981,1446241
71,1183741,21778,1213741
72,1179296,253852,1441537
73,1181889,21537,1211518
74,1183129,251889,1443796
75,1186926,23055,1218629
76,1188982,258148,1455796
77,1184352,21648,1214259
78,1189129,252833,1450685
79,1193018,21500,1223185
80,1201148,264648,1474778
81,1198908,22000,1229648
82,1192871,269907,1471629
83,1193204,21370,1222611
84,1193278,262518,1464463
85,1194537,21352,1224166
86,1195982,263852,1469148
87,1195481,21592,1225426
88,1195148,264796,1468852
89,1195111,21648,1225129
90,1198722,265278,1472796
91,1198981,22611,1230537
92,1200278,270241,1479370
93,1201537,21111,1231129
94,1199981,270185,1478963
95,1198055,21500,1227574
96,1198537,267278,1474537
97,1203870,21648,1233944
98,1200074,21370,1230129
99,1204574,270481,1483111
100,1220259,21629,1251037
101,1239297,298741,1548055
102,1255370,22648,1287000
103,1216389,329815,1554907
104,1216222,22370,1247185
105,1215056,286796,1510537
106,1226667,21407,1257537
107,1218277,298389,1525389
108,1220186,21796,1250518
109,1216074,291074,1515185
110,1217908,21926,1248389
111,1218463,288222,1514981
112,1218889,24426,1252518
113,1220704,292907,1522111
114,1218722,21759,1249166
115,1218556,290129,1516852
116,1221445,21759,1251500
117,1220963,290907,1519796
118,1224593,21870,1254759
119,1223889,293740,1526203
120,1227148,21926,1257518
121,1222000,296648,1527018
122,1226018,21685,1256278
123,1230760,296352,1535574
124,1230907,22740,1262852
125,1230834,304500,1543666
126,1230463,21740,1260889
127,1231611,300629,1541055
128,1373037,22648,1405574
129,1272259,452611,1734611
130,1247388,22463,1279000
131,1244408,21926,1275426
132,1252444,316370,1577592
133,1277537,22259,1309092
134,1251019,352796,1612926
135,1269167,21444,1299574
136,1250426,339740,1599111
137,1247000,22166,1277870
138,1246796,317574,1573185
139,1248722,22185,1279333
140,1245130,319759,1573703
141,1245963,21870,1276648
142,1248852,317129,1574833
143,1246833,21889,1277778
144,1249259,316926,1574703
145,1249833,21889,1280777
146,1251092,320815,1580222
147,1248519,21407,1278722
148,1252296,318277,1578981
149,1255685,22815,1287481
150,1256222,326203,1590889
151,1251111,21889,1281518
152,1253148,321333,1583092
153,1255518,21907,1286018
154,1259908,326203,1594740
155,1262704,22240,1293518
156,1262852,333592,1605500
157,1258407,21481,1288333
158,1269981,365092,1644592
159,1265889,21981,1296666
160,1265408,336759,1610815
161,1265259,22352,1296074
162,1267037,334981,1610222
163,1264463,21203,1294185
164,1264389,21259,1294352
165,1269111,333815,1611500
166,1270518,22111,1301315
167,1266797,342018,1617648
168,1271092,22166,1301796
169,1269944,341555,1620426
170,1267944,23074,1299518
171,1275111,338870,1622500
172,1272537,21092,1302074
173,1274407,342129,1624777
174,1294074,21444,1324389
175,1333815,372537,1716500
176,1293000,22500,1324759
177,1282444,365833,1656796
178,1282426,21481,1312500
179,1282833,352981,1644333
180,1285963,21611,1316518
181,1281741,356963,1647166
182,1310240,21815,1341333
183,1290056,384907,1683426
184,1285760,22203,1316129
185,1302334,357815,1668759
186,1302333,21944,1333352
187,1292519,375740,1676907
188,1288963,21703,1319203
189,1366370,358166,1733759
190,1337555,24555,1373518
191,1306111,419463,1734481
192,1305463,21907,1335926
193,1287723,378259,1675018
194,1294074,22240,1324722
195,1279481,365203,1653092
196,1279963,21555,1309685
197,1297111,23963,1329629
198,1293741,371000,1673203
199,1289834,21370,1320148
200,1294611,360370,1663222
201,1287666,21352,1317666
202,1283612,357444,1649185
203,1293315,21555,1323500
204,1293352,363277,1664833
205,1287277,21444,1317277
206,1289426,356907,1654352
207,1290852,21555,1321129
208,1295796,360963,1665055
209,1287296,21611,1317518
210,1289981,356926,1654944
211,1288129,21518,1318370
212,1276223,357981,1642537
213,1280463,23314,1312352
214,1278352,352370,1638481
215,1276648,21740,1306889
216,1275574,345629,1629629
217,1278074,21314,1307833
218,1276241,346277,1630389
219,1275870,21537,1305833
220,1274389,343981,1626666
221,1273500,21240,1303259
222,1275352,342296,1625500
223,1276871,21259,1306537
224,1277055,345666,1631166
225,1276074,21333,1305759
226,1276555,345037,1629777
227,1277518,21481,1307481
228,1278555,347518,1634111
229,1276000,22981,1307463
230,1274277,21296,1303481
231,1277611,342870,1629092
232,1278093,21370,1307666
233,1275871,346426,1631166
234,1282574,23037,1313926
235,1283389,354722,1646518
236,1275630,21426,1305463
237,1280278,345685,1634722
238,1278926,21555,1308537
239,1280537,348407,1637574
240,1280185,21481,1309926
241,1282500,349833,1640870
242,1280907,21389,1310537
243,1293870,348703,1651370
244,1292426,21722,1322814
245,1290092,364351,1663074
246,1286796,21611,1316796
247,1286982,357592,1653037
248,1284833,21629,1314851
249,1286074,354389,1648629
250,1302797,23333,1334277
251,1301222,374870,1684870
252,1286889,21796,1316926
253,1292926,357000,1658166
254,1299408,21907,1330240
255,1294185,371444,1673833
256,1303759,21537,1333574
257,1303445,374370,1685740
258,1299389,21463,1329685
259,1279611,368685,1656777
260,1279815,21407,1309629
261,1282444,349370,1640111
262,1283648,21926,1313555
