iter,compute_ns,wake_lag_ns,e2e_ns
0,1420907,20297,1463148
1,1070259,24945,1106074
2,1054926,20648,1084834
3,1073889,22148,1106482
4,1063074,22537,1094778
5,1071963,20352,1101630
6,1072482,21963,1104130
7,1075037,20148,1104371
8,1079129,22130,1110278
9,1080259,21630,1110926
10,1090370,20315,1120019
11,1094278,22500,1126223
12,1096741,21704,1127241
13,1104463,20685,1134741
14,1105296,21889,1135926
15,1109166,20408,1138611
16,1113296,21463,1143463
17,1109315,21241,1139723
18,1107055,19945,1136741
19,1116537,21630,1147111
20,1119592,20278,1148908
21,1124092,21889,1155204
22,1123074,21741,1154037
23,1135408,19889,1164852
24,1125037,21445,1155130
25,1121500,22037,1152426
26,1129056,20260,1158056
27,1133629,21037,1163278
28,1140370,20185,1169334
29,1139129,21352,1169148
30,1151111,21926,1182204
31,1144778,20722,1174556
32,1150908,21445,1180945
33,1145445,21722,1175945
34,1145204,20167,1174315
35,1147092,21519,1177630
36,1146574,20185,1175741
37,1148241,21611,1178630
38,1152407,22389,1183648
39,1153056,20185,1181908
40,1150593,21278,1180334
41,1156297,20593,1185574
42,1154592,21500,1184611
43,1152370,21408,1182593
44,1160408,20037,1188982
45,1156666,21871,1187611
46,1158648,21537,1188834
47,1158148,20093,1187167
48,1159760,22463,1190852
49,1162315,19982,1191111
50,1184333,22352,1216297
51,1173611,22204,1204667
52,1167370,20130,1196167
53,1166463,21259,1195722
54,1167704,21389,1197722
55,1173334,19963,1201593
56,1170574,21648,1201000
57,1197833,20204,1226871
58,1179370,22408,1210519
59,1175204,21704,1204908
60,1175167,20148,1203926
61,1175223,21463,1204389
62,1176129,20037,1204704
63,1173148,21445,1202593
64,1190093,21593,1219926
65,1188444,20278,1217093
66,1186055,21352,1216074
67,1193204,21111,1223093
68,1192963,20630,1222259
69,1180944,21574,1211315
70,1190222,20093,1218889
71,1183778,21204,1213352
72,1181315,21778,1211630
73,1184815,20074,1212834
74,1186167,21426,1216519
75,1187407,21834,1217667
76,1193444,19926,1222093
77,1187704,21371,1217204
78,1192722,20796,1222093
79,1190500,21426,1220074
80,1188204,21389,1218408
81,1191167,19778,1219315
82,1189722,21500,1220093
83,1209018,20130,1237537
84,1208963,22722,1241778
85,1198537,22519,1229204
86,1195889,20019,1225074
87,1197204,22074,1227296
88,1196019,21945,1227056
89,1201111,20093,1229630
90,1202926,21482,1233556
91,1198463,20130,1227334
92,1200537,22130,1231667
93,1198463,21926,1228908
94,1201685,20500,1230963
95,1198852,22334,1229648
96,1201519,21445,1231834
97,1204074,20296,1232593
98,1200277,21537,1230778
99,1214092,20019,1242037
100,1213889,21871,1244889
101,1209963,22371,1240778
102,1249833,20111,1278556
103,1213352,22334,1244500
104,1214297,20093,1243648
105,1218277,22241,1249204
106,1215722,21926,1246833
107,1215296,20222,1243982
108,1216148,21852,1247093
109,1217445,22148,1248056
110,1228778,20148,1258259
111,1228315,22759,1259796
112,1225463,20241,1254537
113,1222074,22000,1252648
114,1221278,21815,1252000
115,1227148,20500,1256278
116,1218981,21648,1249111
117,1222796,21426,1252408
118,1223315,20222,1252519
119,1222167,21815,1252611
120,1224796,20000,1253296
121,1222260,21685,1252500
122,1225333,21722,1255778
123,1228204,20037,1256982
124,1230463,21704,1260871
125,1230666,20222,1259389
126,1232852,21519,1263130
127,1233185,21445,1263611
128,1374889,19982,1404389
129,1282334,23445,1315315
130,1267888,21759,1299537
131,1260055,20222,1289537
132,1254630,22148,1285759
133,1252056,19963,1280889
134,1249038,22333,1280148
135,1275889,21574,1306648
136,1260370,20889,1290111
137,1249982,21426,1280222
138,1251130,21908,1282037
139,1252649,19815,1281093
140,1253592,22167,1284889
141,1252944,20222,1281722
142,1257297,21500,1287722
143,1257074,22333,1288704
144,1261778,20648,1291408
145,1254611,22148,1285500
146,1259204,20445,1288352
147,1255685,21926,1286815
148,1254371,21778,1284852
149,1261278,20408,1290463
150,1259685,22241,1290963
151,1261814,21741,1292463
152,1261667,20130,1290630
153,1265649,22685,1297185
154,1278852,19908,1308185
155,1266074,21648,1296408
156,1269277,21778,1300056
157,1271130,20185,1300333
158,1269093,22037,1300130
159,1267166,21704,1297648
160,1269667,20167,1298593
161,1281000,21945,1312241
162,1278592,19945,1307482
163,1281111,22482,1312648
164,1283796,21370,1314574
165,1281389,20093,1310241
166,1278888,21426,1309815
167,1277444,20259,1307148
168,1277944,21945,1308778
169,1276740,21945,1307593
170,1280037,20259,1309463
171,1280445,21445,1310426
172,1275556,22352,1307111
173,1282741,20445,1311963
174,1278037,21482,1308556
175,1284685,20130,1313630
176,1283408,21889,1314482
177,1279555,21926,1310093
178,1305704,20148,1335315
179,1293963,22315,1324741
180,1293315,22204,1324833
181,1291704,20259,1320593
182,1287815,21704,1318259
183,1290852,20741,1320333
184,1289481,21704,1319815
185,1290352,22000,1321148
186,1290500,20037,1319519
187,1294408,22500,1326222
188,1293833,19889,1322630
189,1293814,21778,1324444
190,1289407,22000,1320148
191,1307667,20000,1336815
192,1297500,22130,1328315
193,1283889,21463,1314482
194,1293834,19963,1322667
195,1282667,21482,1312815
196,1284333,19889,1313000
197,1298556,22241,1329296
198,1301796,21296,1332130
199,1299296,20278,1328778
200,1299260,21630,1329685
201,1295426,22000,1326222
202,1283722,20037,1312500
203,1291370,21722,1321852
204,1300482,20019,1329593
205,1295592,21407,1326056
206,1290834,21759,1321352
207,1294926,20852,1324778
208,1294055,21704,1324259
209,1293518,20000,1322796
210,1297926,22204,1328648
211,1290963,21630,1321556
212,1282278,20093,1311167
213,1283537,21741,1314370
214,1280704,21759,1311056
215,1283963,20037,1312778
216,1279056,21241,1308870
217,1285852,20463,1315370
218,1279222,21759,1309537
219,1280000,21278,1310185
220,1285371,19981,1313833
221,1286278,21667,1316704
222,1285352,21278,1315074
223,1285926,19926,1314778
224,1285241,21796,1315259
225,1287000,20037,1315611
226,1283630,21630,1313741
227,1284408,21463,1314500
228,1285981,20185,1314759
229,1285815,21296,1315796
230,1282315,19963,1310741
231,1287296,22259,1318556
232,1285833,21315,1315407
233,1288074,19907,1316611
234,1291593,21463,1321574
235,1286833,21778,1317352
236,1289778,20074,1318278
237,1286056,21222,1315981
238,1288611,19944,1317056
239,1287777,21518,1318018
240,1288260,21611,1318389
241,1292518,20370,1321704
242,1291518,21296,1321852
243,1290148,21056,1320426
244,1293814,20111,1322593
245,1298148,21722,1329241
246,1296000,19944,1324648
247,1296574,21518,1327556
248,1294760,21537,1325352
249,1295574,20222,1324500
250,1309018,21056,1338481
251,1314759,19981,1344111
252,1301778,21630,1332704
253,1298722,22056,1329981
254,1310519,20111,1339944
255,1299333,22130,1330426
256,1306703,21759,1337426
257,1307222,19870,1335722
258,1301815,21778,1332574
259,1284037,20056,1313056
260,1285870,21611,1316018
261,1281982,21241,1312185
262,1283852,20000,1312167
263,1295741,22204,1326315
264,1282926,21370,1312555
265,1297407,20315,1326055
266,1282444,21574,1312518
267,1282574,19907,1310981
268,1283055,21481,1312981
269,1283722,21259,1313759
270,1287723,20037,1316333
271,1294611,21555,1324944
272,1300130,20093,1329185
273,1295888,21759,1326111
274,1283704,21537,1313741
275,1296685,20555,1325611
276,1300796,22037,1330833
277,1296518,21574,1326574
278,1295870,19907,1324370
279,1296389,21074,1325593
280,1283296,20093,1311555
281,1298574,21333,1328148
282,1283278,21555,1313167
283,1286907,20037,1315389
284,1297982,21444,1327815
285,1297945,21407,1327741
286,1299704,20518,1328481
287,1293648,21426,1323389
288,1293815,20074,1322037
289,1298371,21352,1328148
290,1287500,21648,1317630
291,1300519,20000,1329111
292,1296834,21741,1326944
293,1299463,19907,1327889
294,1295740,21500,1325463
295,1283870,21130,1313074
296,1299204,20500,1327722
297,1291222,21296,1320592
298,1303148,21259,1332778
299,1310000,19981,1338870
300,1303037,21907,1333130
301,1305667,19926,1334463
302,1291037,21389,1320889
303,1304556,21963,1334889
304,1305704,20092,1334444
305,1306704,21444,1337018
306,1299611,21648,1329833
307,1297574,20130,1325981
308,1289592,21315,1319796
309,1295833,19981,1323944
310,1310149,22092,1340722
311,1302167,21833,1332648
312,1295000,20055,1323055
313,1296889,21611,1327055
314,1287889,20241,1316722
315,1298093,21796,1328481
316,1290370,21463,1320074
317,1307945,20074,1336815
318,1321815,23000,1354055
319,1310648,22574,1341889
320,1313777,20296,1342555
321,1300926,21481,1330833
322,1299963,20055,1328629
323,1296333,21667,1326648
324,1293537,21667,1323574
325,1307945,19926,1336315
326,1298037,21296,1327852
327,1299519,22241,1330389
328,1297797,19963,1326278
329,1295297,21296,1324815
330,1294204,20796,1323796
331,1307203,21407,1337278
332,1302222,21722,1333074
333,1308667,20167,1337333
334,1301611,21778,1332704
335,1298352,20222,1326759
336,1301963,21870,1332870
337,1303334,22241,1334055
338,1310500,20129,1339352
339,1402500,21463,1433518
340,1583777,25537,1627185
341,1614166,22259,1659129
342,1466611,30852,1512481
343,1619389,21685,1663389
344,1513981,27555,1558666
345,1494686,27870,1537259
346,1647445,24407,1693074
347,1537407,30222,1582092
348,1541185,30778,1587000
349,1559926,22926,1600426
350,1588334,29944,1633741
351,1614056,21352,1652778
352,1581685,28685,1626407
353,1569518,31111,1616944
354,1615944,22963,1657722
355,1560500,29296,1606555
356,1633852,23944,1677315
