ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784671635,1.51,277100,3598924,38459
1784671636,1.51,297280,3578312,37972
1784671637,1.55,304120,3571472,38459
1784671638,1.55,304588,3571004,38946
1784671640,1.55,304588,3571004,38946
1784671641,1.55,303324,3572372,38946
1784671672,1.55,299148,3576444,38459
1784671673,1.42,297620,3578076,38459
1784671674,1.42,296488,3578852,38459
1784671675,1.42,295956,3579740,38459
1784671676,1.42,294704,3580888,39433
1784671677,1.39,292836,3582016,38459
1784671678,1.39,292572,3583020,38459
1784671679,1.39,291784,3583808,39920
1784671680,1.39,291100,3584240,39433
1784671681,1.39,290656,3585528,38946
1784671682,1.52,290060,3585532,38946
1784671683,1.52,289436,3586556,38946
1784671684,1.52,289448,3585892,38459
1784671685,1.52,289132,3586208,38459
1784671686,1.52,289604,3586136,39433
1784671687,1.56,289352,3585484,39433
1784671689,1.56,289380,3585960,38946
1784671690,1.56,289492,3586108,39920
1784671691,1.56,289480,3586112,39433
1784671692,1.56,289644,3585696,39433
1784671693,1.59,289524,3586068,38459
1784671694,1.59,289480,3586112,38946
1784671695,1.59,290308,3585836,38946
1784671696,1.59,289824,3585768,38946
1784671697,1.47,289616,3585724,38946
1784671698,1.47,289620,3585972,38946
1784671699,1.47,289508,3586084,38946
1784671700,1.47,289424,3586168,39433
1784671701,1.47,289144,3586448,37972
1784671702,1.43,289104,3586236,39433
1784671703,1.43,288848,3586744,39433
1784671704,1.43,289548,3586044,38946
1784671705,1.43,288984,3586608,39433
1784671706,1.43,289108,3586484,39433
1784671707,1.31,288540,3586800,38459
1784671709,1.31,289148,3586444,38459
1784671710,1.31,288660,3587232,38946
1784671711,1.31,287672,3588364,38946
1784671712,1.31,287636,3587704,38459
1784671713,1.21,287740,3586948,39920
